,sentiment,occurences,sentimentsSummary,sentimentEdges,score
2.2 aperture,"[0.11706349206349208, 0.013571428571428585, 0.013571428571428585]",3,[0.0136 0.0136 0.0653],0.06531746031746033,0.615956688560002
3.5 mm headset portBluetooth,"[0.11706349206349208, 0.013571428571428585]",2,[0.0394 0.0653 0.0912],0.0911904761904762,0.6679192456627743
5000 mAh battery,"[0.4000000000000001, 1.0]",2,[0.55 0.7  0.85],0.85,0.8656319968245754
Good Thing,"[0.4454545454545455, 0.4454545454545455, 0.4454545454545455]",3,[0.4455 0.4455 0.4455],0.4454545454545455,1.2012613476737715
adoptable storage,"[0.0, -0.125]",2,[-0.0938 -0.0625 -0.0312],-0.09375,0.7259468498534375
app,"[0.1, 0.0, 0.0, 0.0]",4,[0.    0.    0.025],0.025,1.412258572430755
apps,"[0.10714285714285714, 0.016666666666666663, 0.0]",3,[0.0083 0.0167 0.0619],0.0619047619047619,0.9673828218401401
battery champ,"[0.34375, 0.0]",2,[0.0859 0.1719 0.2578],0.2578125,0.8221292253212452
battery life,"[0.0, 0.14583333333333334, 0.5, 0.00833333333333334, 0.9765625, 0.0, 0.08, -0.06666666666666667, 0.0, -0.1, 0.20833333333333334, 0.25, 0.4, 0.5]",14,[0.     0.1129 0.3625],0.36250000000000004,2.5226824614505934
considering picking one,"[-0.3333333333333333, 0.1854166666666667]",2,[-0.2036 -0.074   0.0557],-0.20364583333333333,0.6211952151883383
daily driver,"[0.00833333333333334, 0.18000000000000002]",2,[0.0513 0.0942 0.1371],0.13708333333333333,0.7854267592083822
family member,"[-0.30000000000000004, 0.0]",2,[-0.225 -0.15  -0.075],-0.22500000000000003,0.7523858033498311
fingerprint sensor,"[0.5725, 0.0]",2,[0.1431 0.2862 0.4294],0.429375,0.8374613088033033
hard restart,"[0.0, -0.2916666666666667]",2,[-0.2188 -0.1458 -0.0729],-0.21875,0.759364861089838
internal memory,"[-0.05, 0.0, -0.03333333333333333, 0.0]",4,[-0.0375 -0.0167  0.    ],-0.037500000000000006,1.3302792979293612
little bit,"[-0.1875, 0.14583333333333334, 0.1854166666666667]",3,[-0.0208  0.1458  0.1656],0.16562500000000002,1.2733213669389565
many apps,"[0.35, 0.5]",2,[0.3875 0.425  0.4625],0.4625,0.8993172704295591
market reality,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.6082490276163333
move media,"[-0.2, 0.4]",2,[-0.05  0.1   0.25],0.25000000000000006,0.7454032935888726
new email,"[0.06818181818181818, 0.13636363636363635]",2,[0.0852 0.1023 0.1193],0.11931818181818181,0.8431457588101205
normal use,"[0.15, 0.15]",2,[0.15 0.15 0.15],0.15,0.8834643871496045
other apps,"[0.037500000000000006, 0.0]",2,[0.0094 0.0188 0.0281],0.028125000000000004,0.9438530778041819
phones,"[0.16666666666666666, 0.0, 0.0]",3,[0.     0.     0.0833],0.08333333333333333,0.9014533608730662
portable storage,"[0.0, 0.175]",2,[0.0438 0.0875 0.1312],0.13124999999999998,0.6298592380275886
price,"[0.8, 0.7, 0.7, 0.0]",4,[0.525 0.7   0.725],0.7249999999999999,1.0705900977322471
proximity sensor,"[0.073015873015873, 0.0]",2,[0.0183 0.0365 0.0548],0.054761904761904755,0.7621679406271649
round icons,"[-0.16666666666666666, -0.1375, -0.016666666666666673]",3,[-0.1521 -0.1375 -0.0771],-0.15208333333333335,1.0600825745139353
same size,"[0.1875, 0.0]",2,[0.0469 0.0938 0.1406],0.140625,0.7988745833198194
same thing,"[0.06818181818181818, 0.0]",2,[0.017  0.0341 0.0511],0.05113636363636363,0.8729198869700509
screen being,"[0.1, 0.0]",2,[0.025 0.05  0.075],0.07500000000000001,0.6082150357942472
security properties,"[0.0, 0.13636363636363635]",2,[0.0341 0.0682 0.1023],0.10227272727272727,0.7251034101345036
unlock code,"[0.0, 0.0, 0.08333333333333334]",3,[0.     0.     0.0417],0.04166666666666667,1.3805368525690216
unlocked one,"[0.1, 0.5, 0.0]",3,[0.05 0.1  0.3 ],0.3,0.88592536990626
verizon prepaid model,"[0.4375, 0.0, -0.1875]",3,[-0.0938  0.      0.2188],0.21875,1.5119470132184043
volume button,"[0.17333333333333334, 0.0]",2,[0.0433 0.0867 0.13  ],0.13,0.8610723045740877
was wondering,"[0.0, 0.1854166666666667]",2,[0.0464 0.0927 0.1391],0.13906250000000003,0.8650987377075682
wifi network,"[0.08333333333333333, 0.5]",2,[0.1875 0.2917 0.3958],0.3958333333333333,0.7694675101001884
