,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 GB,"[0.05000000000000002, 0.0, 0.0, 0.25625, -0.06666666666666667]",5,[0.   0.   0.05],0.05000000000000002,1.2562961169936098
1 GB RAM,"[0.0, 0.08333333333333333, 0.012499999999999997]",3,[0.0062 0.0125 0.0479],0.04791666666666666,0.8575555115685283
1 GB RAM model,"[0.0, 0.025000000000000005]",2,[0.0063 0.0125 0.0188],0.018750000000000003,0.7854909772278816
1 GB model,"[0.2833333333333333, 0.2833333333333333, 0.35, 0.15833333333333333, 0.4]",5,[0.2833 0.2833 0.35  ],0.35,1.8238535683059478
1 GB version,"[0.0, 0.15000000000000002, 0.0, 0.0, 0.0, 0.15, -0.25]",7,[0.    0.    0.075],0.075,2.1899711752405517
1 gb,"[0.0, 0.4, 0.4, -0.09583333333333334, 0.05416666666666667, -0.4, -0.0625, 0.35, -0.125, 0.0, 0.0, 0.16, 0.0, 0.0, 0.0, 0.0]",16,[-0.0156  0.      0.0806],0.080625,2.1642291503511064
1 gb model,"[0.1, 0.0, 0.16, 0.049999999999999996]",4,[0.0375 0.075  0.115 ],0.11500000000000002,1.5709819544557633
1 gb ram,"[0.4, -0.1, 0.7, 0.2, 0.35, 0.1, 0.26666666666666666, 0.05, -0.12222222222222223]",9,[0.05 0.2  0.35],0.35,1.7151110231370565
1 gig,"[0.178125, 0.14166666666666666, -0.16666666666666666]",3,[-0.0125  0.1417  0.1599],0.15989583333333335,0.7499391683350957
1000 irreplaceable pictures,"[-0.09583333333333333, -0.09583333333333333, -0.09583333333333333, -0.09583333333333333]",4,[-0.0958 -0.0958 -0.0958],-0.09583333333333333,0.9737254810749875
125 miles round trip,"[-0.2, -0.2]",2,[-0.2 -0.2 -0.2],-0.2,0.8060359363063444
15 inches,"[0.016666666666666677, 0.0, 0.1757142857142857]",3,[0.0083 0.0167 0.0962],0.09619047619047619,0.7661862874988873
16 GB,"[0.35, 0.2833333333333333, 0.21428571428571427, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, -0.1125, 0.25]",13,[0.   0.   0.25],0.25,2.002149876779496
16 GB model,"[0.0, 0.0, -0.15, 0.4, 0.25, 0.0, 0.5, 0.0, 0.0]",9,[0.   0.   0.25],0.25,2.4899474871220164
16 GB storage,"[0.0, 0.016666666666666663]",2,[0.0042 0.0083 0.0125],0.012499999999999997,0.7734978421270414
16 gb,"[0.0, 0.0, -0.1, 0.0, 0.08333333333333333, 0.225, -0.3125, 0.0, 0.25, 0.0, 0.0, 0.10714285714285714, 0.20833333333333334, 0.0, 0.0, 0.2333333333333333, 0.5, 0.13636363636363635, 0.0]",19,[0.     0.     0.1723],0.17234848484848486,2.2983721382932747
16 gb memory,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.7702911371396015
16 gb model,"[0.0, 0.0, 0.2]",3,[0.  0.  0.1],0.1,1.2449737435610082
16/2 GB model,"[0.05, 0.05]",2,[0.05 0.05 0.05],0.05,0.7854909772278816
16/2 version,"[0.0, -0.07916666666666666, 0.11666666666666665, 1.0, 0.4166666666666667]",5,[0.     0.1167 0.4167],0.4166666666666667,1.0319896682174945
1GB/8 GB model,"[0.014682539682539672, 0.4166666666666667]",2,[0.1152 0.2157 0.3162],0.3161706349206349,0.7854909772278816
1st Gen,"[0.0, -0.25, 0.0, 0.5]",4,[-0.0625  0.      0.125 ],0.125,0.7612597457893115
1st gen,"[0.0, 1.0, -0.29583333333333334, 0.0, 0.16666666666666666, 0.075, 0.55, -0.09272727272727274, -0.09272727272727274, 0.5833333333333334, 0.2715909090909091, 0.08333333333333337, 0.08333333333333337, -0.15, 0.0, 0.08333333333333334]",16,[-0.0232  0.0792  0.1929],0.19289772727272728,1.522519491578623
1st generation,"[0.0, 0.2715909090909091, 0.4158730158730159]",3,[0.1358 0.2716 0.3437],0.34373196248196247,0.7245079676803821
2 GB,"[0.0, 0.0, 0.5, 0.39999999999999997, 0.0, 0.16666666666666666, 0.0]",7,[0.     0.     0.2833],0.2833333333333333,1.5189398394246814
2 GB RAM,"[-0.8, 0.016666666666666663, 0.0]",3,[-0.4     0.      0.0083],-0.4,0.8575555115685283
2 GB model,"[0.35, 0.0, 0.21904761904761905]",3,[0.1095 0.219  0.2845],0.2845238095238095,1.2449737435610082
