,sentiment,occurences,sentimentsSummary,sentimentEdges,score
2017 security patch,"[0.0, 0.1875, 0.0]",3,[0.     0.     0.0938],0.09375,1.4107559985710227
32 GB model,"[0.4416666666666667, 0.0]",2,[0.1104 0.2208 0.3313],0.33125000000000004,0.7854909772278816
3rd party app,"[0.0, 0.16666666666666666]",2,[0.0417 0.0833 0.125 ],0.125,0.8516478667545032
4 GB version,"[0.0, 0.0, 0.1, 0.05]",4,[0.     0.025  0.0625],0.0625,1.560166944360173
4 apps,"[-0.0625, 0.35]",2,[0.0406 0.1438 0.2469],0.24687499999999996,0.6103506053928607
64 GB,"[0.4416666666666667, 0.0, 0.0, 0.38888888888888884]",4,[0.     0.1944 0.4021],0.4020833333333333,1.0821145751755532
64 GB tonight,"[0.2333333333333333, 0.2333333333333333]",2,[0.2333 0.2333 0.2333],0.2333333333333333,0.7268065599251552
64 GB version,"[0.4166666666666667, 1.0, 0.0]",3,[0.2083 0.4167 0.7083],0.7083333333333334,1.2364030508377926
Battery life,"[0.5, 0.39999999999999997, 0.85, 0.25]",4,[0.3625 0.45   0.5875],0.5875,1.3251627510929627
Buy,"[0.3375, 1.0]",2,[0.5031 0.6688 0.8344],0.834375,0.6280937270359803
Chrome app,"[0.0, 0.2]",2,[0.05 0.1  0.15],0.15000000000000002,0.9233736037271563
Good luck,"[0.75, 0.7, 0.875]",3,[0.725  0.75   0.8125],0.8125,1.2726928606902024
Great news,"[0.18293650793650792, 1.0]",2,[0.3872 0.5915 0.7957],0.7957341269841269,0.7434396564840143
OS updates,"[0.7, 0.0]",2,[0.175 0.35  0.525],0.5249999999999999,0.8826443215793263
One thing,"[0.35, 0.1, 0.08333333333333334, 0.0]",4,[0.0625 0.0917 0.1625],0.1625,0.9592919002031174
Same problem,"[0.0, 0.0, 0.1]",3,[0.   0.   0.05],0.05,1.5831959690541748
Same thing,"[-0.10833333333333334, 0.06818181818181818]",2,[-0.0642 -0.0201  0.0241],-0.06420454545454546,0.8729198869700509
Thanks,"[0.2, 0.2, 0.1, 0.16818181818181818, 0.2, 0.2, 0.2, 0.2, 0.2, -0.1, 0.2, 0.25, 0.2888888888888889, 0.2, -0.056249999999999994, 0.10277777777777779]",16,[0.1518 0.2    0.2   ],0.2,1.6395872745622253
USB cable,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.791909410489365
Verizon apps,"[0.0, 1.0]",2,[0.25 0.5  0.75],0.75,0.8905580996433905
account,"[0.5, 0.0, 0.0, 0.5]",4,[0.   0.25 0.5 ],0.5,0.6877435774640214
adaptive brightness,"[0.0, -0.25]",2,[-0.1875 -0.125  -0.0625],-0.1875,0.6577888996062372
adoptable storage,"[0.5666666666666667, 0.0]",2,[0.1417 0.2833 0.425 ],0.425,0.7259468498534375
airplane mode,"[0.0, 0.3181818181818182]",2,[0.0795 0.1591 0.2386],0.23863636363636365,0.6585925416174272
anything,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,1.0086334476920757
