,sentiment,occurences,sentimentsSummary,sentimentEdges,score
One button nav,"[0.1598639455782313, 0.5]",2,[0.2449 0.3299 0.415 ],0.41496598639455784,0.8738980089063746
Thanks,"[0.03333333333333333, 0.2, 0.2, 0.1, 0.2, 0.2, 0.2]",7,[0.15 0.2  0.2 ],0.2,1.150725851346319
battery life,"[1.0, 0.2333333333333333, 0.475]",3,[0.3542 0.475  0.7375],0.7375,1.0501666339174147
big difference,"[0.16666666666666666, 0.0]",2,[0.0417 0.0833 0.125 ],0.125,0.8164720362680556
bottom speaker,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,1.2600213705115808
build quality,"[1.0, 0.13, 0.0]",3,[0.065 0.13  0.565],0.565,1.2114105772391228
camera app,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.7061292862153775
camera lag,"[0.0, 0.46666666666666673, 0.0]",3,[0.     0.     0.2333],0.23333333333333336,0.6516684083835707
cellular networks,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6852108464333955
contact list,"[0.0, 0.1875]",2,[0.0469 0.0938 0.1406],0.140625,0.7081051101859261
correct forum,"[0.2, 0.06818181818181818, 0.0]",3,[0.0341 0.0682 0.1341],0.1340909090909091,1.1787041194555057
default ringtone,"[0.1, 0.2]",2,[0.125 0.15  0.175],0.17500000000000002,0.7330973856170298
external storage,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.6196038520700132
fingerprint sensor,"[0.07878787878787878, 0.15]",2,[0.0966 0.1144 0.1322],0.13219696969696967,0.8374613088033033
forums,"[0.8, 0.8, 0.8, -0.1027777777777778, 0.8, 0.8]",6,[0.8 0.8 0.8],0.8,1.1902634493400286
home button,"[0.03333333333333333, -0.05]",2,[-0.0292 -0.0083  0.0125],-0.029166666666666674,0.8412845134108682
long press,"[0.03333333333333333, -0.05, -0.05]",3,[-0.05   -0.05   -0.0083],-0.05,1.1528652468799612
low signal,"[0.25, 0.12227272727272727]",2,[0.1542 0.1861 0.2181],0.21806818181818183,0.8833008541029505
notifications,"[0.5, 0.13333333333333333, 0.0]",3,[0.0667 0.1333 0.3167],0.31666666666666665,0.8668318515189464
off button,"[-0.375, 0.0]",2,[-0.2812 -0.1875 -0.0938],-0.28125,0.9646177121128201
other users,"[0.18293650793650792, 0.025000000000000005]",2,[0.0645 0.104  0.1435],0.14345238095238094,0.9000199043098052
phones,"[0.0, 0.0, -0.35]",3,[-0.175  0.     0.   ],-0.175,0.9014533608730662
portable storage,"[0.0, 0.2]",2,[0.05 0.1  0.15],0.15000000000000002,0.6298592380275886
previous devices,"[0.14444444444444446, -0.16666666666666666]",2,[-0.0889 -0.0111  0.0667],-0.08888888888888888,0.697226791901311
price range,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.8308466115887911
problem,"[0.0, 0.025000000000000005, 0.0]",3,[0.     0.     0.0125],0.012500000000000002,1.0911184984529678
problems,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.6254864238087618
screen protector,"[0.11666666666666668, -0.35, 0.0]",3,[-0.175   0.      0.0583],-0.175,0.7142100380575126
security patch,"[0.0, 0.0, 0.13636363636363635, -0.04999999999999999, 0.5]",5,[0.     0.     0.1364],0.13636363636363635,2.066720182100526
security updates,"[0.0, -0.1416666666666667]",2,[-0.1062 -0.0708 -0.0354],-0.10625000000000001,0.8878737215240945
similar problem,"[0.18293650793650792, 0.025000000000000005]",2,[0.0645 0.104  0.1435],0.14345238095238094,0.9647690000808005
state tax,"[0.019047619047619035, 0.0]",2,[0.0048 0.0095 0.0143],0.014285714285714277,0.8096497678538754
storage settings,"[0.0, 0.09523809523809523]",2,[0.0238 0.0476 0.0714],0.07142857142857142,0.784351526279117
update,"[0.0, 0.025]",2,[0.0062 0.0125 0.0188],0.018750000000000003,0.6429940700581986
