,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 full charge cycle,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.7931897914561976
1000mah battery pack,"[1.0, 0.5]",2,[0.625 0.75  0.875],0.875,0.842327541907728
2 versions,"[0.44999999999999996, -0.06, 0.2, 0.6]",4,[0.135  0.325  0.4875],0.48749999999999993,0.861264216381902
2.5 oz,"[0.2, 1.0, 0.2, 0.0]",4,[0.15 0.2  0.4 ],0.4,0.6788499272598323
2000mAh battery,"[0.05555555555555557, 0.45, 0.44999999999999996, -0.16666666666666666, -0.30000000000000004]",5,[-0.1667  0.0556  0.45  ],0.44999999999999996,1.5384663110304893
3150mah battery,"[0.80078125, 0.1]",2,[0.2752 0.4504 0.6256],0.6255859375,0.6625813755464813
Buy,"[0.33333333333333337, 0.4166666666666667, 0.33333333333333337, 1.0, 1.0, 0.3444444444444445]",6,[0.3361 0.3806 0.8542],0.8541666666666666,1.6235987313261988
Good point,"[0.7, 0.7, 0.7]",3,[0.7 0.7 0.7],0.7,1.1216250039208415
IR blaster,"[-0.05, 0.5]",2,[0.0875 0.225  0.3625],0.3625,0.7256567210598253
Last night,"[0.0, 0.1590909090909091]",2,[0.0398 0.0795 0.1193],0.11931818181818182,0.6639010612363101
Sound boost 2,"[0.31212121212121213, 0.27272727272727276]",2,[0.2826 0.2924 0.3023],0.3022727272727273,0.6477137121402927
System update,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.8623056005540328
Thanks,"[0.2, 0.025000000000000005, 0.2, 0.037500000000000006, 0.18, 0.2, 0.2, 0.2, 0.35, 0.2, 0.3578571428571429, 0.2375, 0.2, 0.2, 0.1, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",23,[0.2 0.2 0.2],0.2,1.8541936547112217
VU SOLO charger,"[0.2125, 0.2125, 0.2125, 0.2125]",4,[0.2125 0.2125 0.2125],0.2125,1.5637521752380876
Wireless charging,"[0.0, 0.0, 0.16666666666666666]",3,[0.     0.     0.0833],0.08333333333333333,1.178736796233663
access fee,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6315694563347877
actual camera hump,"[-0.15625, -0.15625, -0.15625]",3,[-0.1562 -0.1562 -0.1562],-0.15625,0.8826343355784725
additional functionality,"[0.15555555555555556, 0.2583333333333333]",2,[0.1812 0.2069 0.2326],0.23263888888888887,0.7145289380967663
airplane mode,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.6585925416174272
announcement,"[0.0, 0.13636363636363635, -0.5, 0.375]",4,[-0.125   0.0682  0.196 ],0.19602272727272727,0.6226416578196464
app update,"[0.0, 0.2, 0.15000000000000002, 0.0]",4,[0.     0.075  0.1625],0.16250000000000003,2.0214953762302468
app yesterday,"[0.0, 0.7]",2,[0.175 0.35  0.525],0.5249999999999999,0.8865710413901874
automation experience,"[1.0, 1.0]",2,[1. 1. 1.],1.0,0.7222191902646358
back cover,"[0.0, -0.075]",2,[-0.0562 -0.0375 -0.0188],-0.056249999999999994,0.9193854808187616
back plate,"[0.0, -0.18958333333333335, -0.2]",3,[-0.1948 -0.1896 -0.0948],-0.1947916666666667,1.2027586979113933
back plates,"[0.0, 0.26666666666666666]",2,[0.0667 0.1333 0.2   ],0.2,0.7345978575753914
bad reviews,"[0.029166666666666716, 0.029166666666666716]",2,[0.0292 0.0292 0.0292],0.029166666666666716,0.9050510905220208
ballistic nylon,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.6435647607613543
barcode scanner,"[0.1, 0.0, -0.025]",3,[-0.0125  0.      0.05  ],0.05,1.0094046469410238
baseball game,"[-0.4, -0.4, -0.061904761904761914]",3,[-0.4   -0.4   -0.231],-0.4,0.8302389326602871
basic style shell,"[0.3666666666666667, 0.3666666666666667]",2,[0.3667 0.3667 0.3667],0.3666666666666667,0.7170204554731343
batt mod,"[0.35, 0.2]",2,[0.2375 0.275  0.3125],0.31249999999999994,0.6747070087411737
battery,"[0.0, 0.0, -0.4, 0.35, 0.5, 0.05, -0.16666666666666666, 0.0, 0.0, 0.2, 0.0, 0.0, 0.4166666666666667, 0.2, 0.10714285714285714, 0.35, 0.0972222222222222, 0.0, 0.06666666666666667, 0.2, 0.0, 0.25, 0.0]",23,[0.   0.05 0.2 ],0.2,2.9972279032139872
battery capacity,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.7914373979681542
battery level,"[0.23095238095238094, 0.014814814814814808, 0.07500000000000001, 0.2, 0.0, 0.05, 0.0]",7,[0.0074 0.05   0.1375],0.1375,2.588521139248968
battery life,"[0.0, 0.4, 0.6, -0.0225, 0.0, 0.0, 0.35, 0.35, 0.35, 0.0, 0.0, 0.20000000000000004, 0.0, 0.16999999999999998, 0.2, 0.0, 0.5, 0.15714285714285717, 0.1, 0.15625, 0.0, 0.0, 0.0, 0.1107142857142857, 0.0, 0.5, 0.0, 0.1, -0.20000000000000004, 0.36363636363636365, 0.0, 0.45, 0.19999999999999998, 0.0]",34,[0.     0.1    0.3125],0.31249999999999994,3.37085812739726
battery mod,"[0.5, 0.04, 0.2, 0.2, 0.5, 0.2, 0.16818181818181818, 0.1, 0.2, 0.2, 0.2, 0.2, 0.1, 0.2, 0.2, 0.2, 0.07500000000000001, 0.44999999999999996, 0.0, 0.2333333333333333, 0.15000000000000002, 0.30000000000000004, 0.24285714285714285, 0.2, 0.2, 0.2, 0.2, 0.35, 0.2, 0.2, 0.2, 0.6, 0.35, 0.175, 0.1, 0.037500000000000006, 0.2, 0.275, 0.275, 0.2, 0.2, 0.16666666666666666, 0.0, 0.09375, 0.3125, 0.3125, 0.1, 0.2, 0.1, 0.2, 0.26666666666666666, 0.1, 0.2, 0.2, 0.225, 0.2, 0.2, 0.016666666666666677, 0.10000000000000002, 0.225, 0.1, 0.16999999999999998, 0.2, 0.2, 0.30000000000000004, 0.175, 0.2, 0.15, 0.15000000000000002, 0.2, 0.2, 0.2, 0.2, 0.2, 0.25, 0.2, 0.13333333333333333, 0.2333333333333333, 0.125, 0.1, 0.2787878787878788, 0.1, 0.2, 0.2, 0.1, 0.2, 0.1, 0.2, 0.225, 0.2, 0.1, 0.1, 0.44999999999999996, 0.2333333333333333, -0.016666666666666663, 0.31071428571428567, 0.1708333333333333, 0.2, 0.07037037037037036, 0.2333333333333333, 0.2, 0.2, 0.2, 0.2, 0.2, 0.225, 0.022222222222222213, 0.2, 0.2, 0.2, 0.2, 0.10208333333333333, 0.6, 0.49, 0.2, 0.26666666666666666, 0.11666666666666668, 0.2, 0.2, 0.2, -0.15, 0.1, 0.2, 0.2, 0.21666666666666667, 0.1, 0.30833333333333335, 0.39999999999999997, 0.2, 0.30000000000000004, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.3, 0.30833333333333335, 0.15416666666666667, 0.06666666666666667, 0.2111111111111111, 0.2, 0.1, 0.1, 0.2, 0.2, -0.15, 0.037500000000000006, -0.004166666666666659, 0.4, 0.49, 0.13333333333333333, 0.35, 0.2, 0.5, 0.2, 0.2, 0.2, 0.2, 0.2, 0.1, 0.08285714285714285, 0.1, 0.20000000000000004]",165,[0.15 0.2  0.2 ],0.2,6.556803554348666
battery mod work,"[0.13809523809523808, 0.13]",2,[0.132  0.134  0.1361],0.13607142857142857,1.032612662251933
battery pack,"[0.1, 0.0, 0.0, 0.35, 0.3181818181818182, 0.11212121212121212, 0.0, 0.6, 0.25, 0.0, 1.0, 0.25, 0.0, 0.0, 0.6, 0.25, 0.0, 0.0, 0.6, 0.3, 0.5, 0.0, 0.08214285714285713, 0.0, 0.39, 0.0, 0.0, 0.06780303030303031, 0.2, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.2, 0.08, 0.07142857142857142, 0.0, 0.7, 0.1875]",40,[0.     0.0811 0.2625],0.2625,4.48280661037615
battery packs,"[0.0, -0.024999999999999994, 0.15714285714285714]",3,[-0.0125  0.      0.0786],0.07857142857142857,1.3453373309797547
battery version,"[0.2, 0.0, 0.0]",3,[0.  0.  0.1],0.1,1.3762371464227998
big deal,"[0.0, 0.0, 0.05, 0.1, 0.33333333333333337, -0.15104166666666669, 0.0]",7,[0.    0.    0.075],0.07500000000000001,1.8892077793642235
bit,"[-0.15555555555555559, 0.0, 0.0]",3,[-0.0778  0.      0.    ],-0.07777777777777779,1.031619516508908
bit MIA folks,"[-0.5, -0.5, -0.5, -0.5]",4,[-0.5 -0.5 -0.5],-0.5,1.7313476578847031
black leather,"[0.08333333333333334, -0.08333333333333333, -0.08333333333333333, -0.08333333333333333, 0.11666666666666668, 0.05952380952380952, -0.18333333333333335, -0.08333333333333333, -0.16666666666666666]",9,[-0.0833 -0.0833  0.0595],-0.08333333333333333,1.686933966558583
black nylon,"[0.04166666666666667, 0.023015873015873014, 0.40416666666666673, 0.4166666666666667]",4,[0.037  0.2229 0.4073],0.4072916666666667,0.7254092897441997
blank white background,"[0.06666666666666667, 0.06666666666666667]",2,[0.0667 0.0667 0.0667],0.06666666666666667,0.9452432146933938
bought one,"[0.0, 0.36363636363636365]",2,[0.0909 0.1818 0.2727],0.2727272727272727,0.663919277134011
box,"[0.35416666666666663, 0.21249999999999997, 0.0, 0.0]",4,[0.     0.1062 0.2479],0.24791666666666665,0.689987527211165
branded ones,"[0.2, 0.2, 0.2, 0.2]",4,[0.2 0.2 0.2],0.2,1.7282674131298748
bulk,"[-0.16666666666666666, -0.21428571428571427, 0.1]",3,[-0.1905 -0.1667 -0.0333],-0.19047619047619047,0.8189566230419216
bumper,"[0.4, 0.0, 0.2, 0.19999999999999998, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]",10,[0.  0.  0.2],0.2,1.2616054561416583
bumper case,"[-0.1125, 0.0, 0.0, 0.0, 0.2, 0.10000000000000002, 0.0, 0.0, 0.5, 0.25, 0.0, 0.7, 0.0, 0.0]",14,[0.    0.    0.175],0.17500000000000002,3.2222361689006895
bumper cases,"[0.15, 0.0, 0.0]",3,[0.    0.    0.075],0.075,1.1071875676304996
buy,"[1.0, 0.5]",2,[0.625 0.75  0.875],0.875,0.6280937270359803
camera lens,"[0.35, 0.03333333333333333, 0.0, 0.25, -0.11607142857142858, 0.16666666666666669]",6,[0.0083 0.1    0.2292],0.22916666666666669,1.355292759605022
camera mod,"[0.15000000000000002, 0.3, 0.15000000000000002, 0.3, 0.2, 0.2, -0.15, 0.3333333333333333, 0.125, 0.18333333333333335, 0.2, 0.2, 0.28888888888888886, 0.2, -0.19999999999999998, 0.12916666666666665, 0.12916666666666665, 0.2, 0.35, 0.0027777777777777866, 0.2, 0.19642857142857142]",22,[0.1344 0.2    0.2   ],0.2,2.158858189231482
campaign everyone,"[0.41660714285714284, 0.21142857142857144]",2,[0.2627 0.314  0.3653],0.3653125,0.780625356275578
campaign launch,"[0.0, 0.1]",2,[0.025 0.05  0.075],0.07500000000000001,0.6653067525630454
camping,"[0.6, 0.0, 0.0, 0.0]",4,[0.   0.   0.15],0.15,0.6450651852541371
car charger,"[0.35, 0.2759027777777778]",2,[0.2944 0.313  0.3315],0.3314756944444444,0.864752050070385
car dock,"[0.0, 0.13636363636363635, 0.0]",3,[0.     0.     0.0682],0.06818181818181818,1.3803706047212911
