,sentiment,occurences,sentimentsSummary,sentimentEdges,score
000 mAh battery,"[0.0, 0.8]",2,[0.2 0.4 0.6],0.6000000000000001,0.8656319968245754
1080p native resolution,"[1.0, 1.0]",2,[1. 1. 1.],1.0,0.8058454315604802
128 GB,"[0.5, 0.4, 0.0]",3,[0.2  0.4  0.45],0.45,0.8575555115685283
128 gb,"[0.5, 0.0, 0.1, 0.01666666666666667]",4,[0.0125 0.0583 0.2   ],0.2,1.0821145751755532
16 GB,"[0.20000000000000004, 0.45, 0.625, 0.2333333333333333, 0.0, 0.12499999999999999, 0.12499999999999999, 0.0, 0.4166666666666667]",9,[0.125  0.2    0.4167],0.4166666666666667,1.7151110231370565
16 gb,"[0.0, 0.4, 0.17142857142857143, 0.26, 0.0, 0.1625, 0.0, 0.07837301587301587, 0.5]",9,[0.     0.1625 0.26  ],0.26,1.7151110231370565
2 problems,"[0.30000000000000004, -0.05]",2,[0.0375 0.125  0.2125],0.21250000000000002,0.6254864238087618
280 mAh battery,"[0.21428571428571427, 0.0]",2,[0.0536 0.1071 0.1607],0.1607142857142857,0.8656319968245754
2nd gen,"[0.25, -0.35, 0.01666666666666667]",3,[-0.1667  0.0167  0.1333],-0.16666666666666666,0.6032840751922894
30 mins,"[-0.025000000000000022, 0.12569444444444444, 0.12569444444444444]",3,[0.0503 0.1257 0.1257],0.12569444444444444,0.6514714872669906
3000mh battery,"[0.3098958333333333, 0.3098958333333333]",2,[0.3099 0.3099 0.3099],0.3098958333333333,0.6625813755464813
32 GB,"[0.0, 0.325, 0.0, 0.0, 0.45, 0.625, 0.0, -0.5, 0.3, 0.0]",10,[0.     0.     0.3188],0.31875000000000003,1.7973534045813868
32 GB model,"[0.5, 0.16666666666666666]",2,[0.25   0.3333 0.4167],0.4166666666666667,0.7854909772278816
32 GB versions,"[0.12499999999999999, 0.12499999999999999]",2,[0.125 0.125 0.125],0.12499999999999999,0.7715994476508768
32 bit,"[0.3055555555555556, 0.5, 0.6041666666666667]",3,[0.4028 0.5    0.5521],0.5520833333333334,1.031619516508908
32 gb,"[0.0, -0.18333333333333335, 0.0, 0.0, -0.4]",5,[-0.1833  0.      0.    ],-0.18333333333333335,1.2562961169936098
3630mAh battery,"[0.5, 0.25]",2,[0.3125 0.375  0.4375],0.4375,0.6625813755464813
3rd gen,"[0.0, 0.0, 0.095, 0.25]",4,[0.     0.0475 0.1338],0.13375,0.7612597457893115
3rd party apps,"[0.0, 0.25, 0.0]",3,[0.    0.    0.125],0.125,1.228427421129025
4 GB,"[0.0, 0.0, 0.21428571428571427, 0.0]",4,[0.     0.     0.0536],0.05357142857142857,1.0821145751755532
5 using Tapatalk,"[0.0, 0.0, 0.0, 0.4, 0.6, 0.0, 0.09318181818181819, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, -0.004999999999999993, 0.0, 0.06666666666666667, 0.0, 0.0, 0.0, 0.20000000000000004, 0.0, 0.3333333333333333]",30,[0.   0.   0.05],0.05,2.992232217869572
5.1 update,"[0.0, -0.125]",2,[-0.0938 -0.0625 -0.0312],-0.09375,0.6429940700581986
"5.1"" display","[0.5, 0.5, 0.5]",3,[0.5 0.5 0.5],0.5,0.6158474389937951
"5.2"" display","[0.0, 0.4, 0.0, 0.0]",4,[0.  0.  0.1],0.1,0.7771129458439365
5.5 inch,"[0.0, 0.0, 0.39285714285714285]",3,[0.     0.     0.1964],0.19642857142857142,0.6467263787225664
"5.5"" display","[0.0, -0.2833333333333334, 0.25, 0.056428571428571425, 0.0]",5,[0.     0.     0.0564],0.056428571428571425,0.9022001909278587
5.7 inches,"[0.0625, 0.0, 0.25]",3,[0.0312 0.0625 0.1562],0.15625,0.7661862874988873
