,sentiment,occurences,sentimentsSummary,sentimentEdges,score
-leather materials,"[-0.3, -0.3, -0.3, -0.3]",4,[-0.3 -0.3 -0.3],-0.3,0.7353346721017057
000 mAh,"[0.0, 0.6, 0.0]",3,[0.  0.  0.3],0.3,0.6966093375435327
000 mAh battery pack,"[0.0, 0.018181818181818174]",2,[0.0045 0.0091 0.0136],0.01363636363636363,1.003959525781095
1 app,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.7061292862153775
1 micro SD support,"[-0.15555555555555559, -0.15555555555555559, -0.15555555555555559]",3,[-0.1556 -0.1556 -0.1556],-0.15555555555555559,1.5264291078501637
1 security update,"[0.6, -0.125]",2,[0.0562 0.2375 0.4188],0.41874999999999996,0.953407771275869
10 SD Cards amd,"[0.17500000000000002, 0.17500000000000002]",2,[0.175 0.175 0.175],0.17500000000000002,0.9554240822834199
10 am,"[-0.15555555555555559, 0.5, 0.5]",3,[0.1722 0.5    0.5   ],0.5,1.0797007413238136
10 gb,"[0.0, 0.0, 0.06666666666666667]",3,[0.     0.     0.0333],0.03333333333333333,0.8575555115685283
10 posts,"[0.0, 0.0, 0.0, -0.16666666666666666]",4,[-0.0417  0.      0.    ],-0.041666666666666664,1.2408672886433876
10 taps,"[0.43333333333333335, 0.0, 0.0]",3,[0.     0.     0.2167],0.21666666666666667,0.6169650379746886
100 bucks,"[0.2708333333333333, 0.5, 0.18253968253968256, 0.5]",4,[0.2488 0.3854 0.5   ],0.5,0.7256725340573227
100 high quality pics,"[0.16, 0.16]",2,[0.16 0.16 0.16],0.16,0.9084696699471806
11 mm,"[0.0, -0.30000000000000004, 0.0, 0.0, 0.0, -0.31666666666666665]",6,[-0.225  0.     0.   ],-0.22500000000000003,1.0294301643402537
11 pm,"[-0.05555555555555555, 0.0, 0.5, 0.2, 0.16666666666666666, 0.16666666666666666, 0.2, 0.0, -0.18333333333333335]",9,[0.     0.1667 0.2   ],0.2,1.6682930864963608
12 GB,"[0.0, 0.2333333333333333, 0.0, 0.2]",4,[0.     0.1    0.2083],0.20833333333333334,1.0821145751755532
12 coverage,"[0.13012987012987015, 0.13012987012987015, 0.13012987012987015, 0.13012987012987015]",4,[0.1301 0.1301 0.1301],0.13012987012987015,1.0834281829040189
12 support,"[0.09821428571428571, -0.3619047619047619, -0.15972222222222224]",3,[-0.2608 -0.1597 -0.0308],-0.2608134920634921,0.6022756700538475
12 use,"[0.21428571428571427, 0.21428571428571427]",2,[0.2143 0.2143 0.2143],0.21428571428571427,0.7065725584689245
120 degrees,"[0.22142857142857142, 0.20714285714285713, 0.0, 0.0, 0.0]",5,[0.     0.     0.2071],0.20714285714285713,0.6440473070245615
128 GB,"[0.0, 0.0, 0.16666666666666666, 0.21428571428571427, 0.0, 0.0]",6,[0.    0.    0.125],0.125,1.3986127991563049
128 GB High Speed MicroSDXC Class 10,"[0.16, 0.16, 0.16]",3,[0.16 0.16 0.16],0.16,1.393199107593436
128 GB SD Card,"[0.4047619047619047, 0.4047619047619047, 0.0]",3,[0.2024 0.4048 0.4048],0.4047619047619047,1.5752261410255577
128 GB card,"[0.13333333333333333, 0.275, 0.175, 0.275, 0.175, 0.0, 0.0, 0.2, 0.0, 0.35714285714285715, 0.2, 0.2, 0.0, 0.2, 0.0, 0.2, 0.0]",17,[0.    0.175 0.2  ],0.2,3.081846819450465
128 GB microSD card,"[0.0, 0.0, 0.0, 1.0]",4,[0.   0.   0.25],0.25,1.5079509902077737
128 GB version,"[0.17261363636363636, 0.6, 0.6, 0.0, 0.17261363636363636, 0.17261363636363636, 0.17261363636363636, 0.0]",8,[0.1295 0.1726 0.2795],0.27946022727272724,2.3402504165402593
128 gb,"[0.13285714285714287, -0.08333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.65, 0.13636363636363635]",12,[0.     0.     0.0332],0.03321428571428572,1.9396700867440815
128 gb card,"[0.0, 0.0, 0.3]",3,[0.   0.   0.15],0.15,1.1950228862023284
1440p display,"[0.14895833333333333, 0.0, 1.0]",3,[0.0745 0.149  0.5745],0.5744791666666667,0.6158474389937951
15 feet,"[0.35, 0.35, -0.15555555555555559]",3,[0.0972 0.35   0.35  ],0.35,0.7150057822619642
15 mb,"[0.2, 0.2, 0.04659090909090909]",3,[0.1233 0.2    0.2   ],0.2,0.7824982313329131
15 min,"[0.0, 0.15000000000000002, 0.1, 0.0, 0.0, 0.0, 0.0]",7,[0.   0.   0.05],0.05,1.4768750371862813
15th delivery,"[0.875, 0.0, 0.0]",3,[0.     0.     0.4375],0.4375,0.9262874911898193
