,sentiment,occurences,sentimentsSummary,sentimentEdges,score
16 GB option,"[0.3, 0.15833333333333333]",2,[0.1937 0.2292 0.2646],0.2645833333333333,0.8222411161395392
32 GB option,"[0.3, 0.15833333333333333]",2,[0.1937 0.2292 0.2646],0.2645833333333333,0.8222411161395392
359 price,"[0.0, -0.019642857142857136, -0.019642857142857136]",3,[-0.0196 -0.0196 -0.0098],-0.019642857142857136,0.8484225792745048
400 base price,"[-0.019642857142857136, -0.019642857142857136]",2,[-0.0196 -0.0196 -0.0196],-0.019642857142857136,0.7706015186637966
advertised price,"[0.125, 0.125]",2,[0.125 0.125 0.125],0.125,0.734749567815833
base 32 GB model,"[-0.8, -0.8]",2,[-0.8 -0.8 -0.8],-0.8,0.9575422777570886
base spec,"[-0.8, -0.8]",2,[-0.8 -0.8 -0.8],-0.8,0.742842775916027
battery icon,"[0.0, 0.0, 0.0, 0.19555555555555554]",4,[0.     0.     0.0489],0.048888888888888885,1.3251627510929627
battery life,"[0.09333333333333334, 0.10416666666666666, 0.13906250000000003, 0.0, 0.2]",5,[0.0933 0.1042 0.1391],0.13906250000000003,1.5384663110304893
black base model,"[-0.15555555555555556, -0.15555555555555556]",2,[-0.1556 -0.1556 -0.1556],-0.15555555555555556,0.7131568049180769
bluetooth audio,"[0.0, 0.6666666666666666]",2,[0.1667 0.3333 0.5   ],0.5,0.7166023894588419
bluetooth connection,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.6522566048744299
candy crush saga,"[0.08712121212121211, 0.1416666666666667]",2,[0.1008 0.1144 0.128 ],0.12803030303030305,0.7051621578693201
car,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.6262899993890222
carphone warehouse,"[-0.25, 0.0, 0.4]",3,[-0.125  0.     0.2  ],0.2,0.7048048335447833
date,"[0.2, 0.0, 0.0, 0.0, 0.375]",5,[0.  0.  0.2],0.2,1.3578046567541375
extra 16 GB,"[0.078125, 0.078125]",2,[0.0781 0.0781 0.0781],0.078125,0.8672219651467468
few defective phones,"[-0.2, -0.2]",2,[-0.2 -0.2 -0.2],-0.2,0.9810608125881725
huge hit,"[-0.019642857142857136, -0.019642857142857136]",2,[-0.0196 -0.0196 -0.0196],-0.019642857142857136,0.808026485801583
international version,"[0.06818181818181818, 0.19012987012987012]",2,[0.0987 0.1292 0.1596],0.15964285714285714,0.6407018778449435
issue,"[0.0, 0.5, -0.0625]",3,[-0.0312  0.      0.25  ],0.25,0.8662454500999403
last device,"[0.125, 0.125]",2,[0.125 0.125 0.125],0.125,0.7692664825290224
light gold accent,"[0.07777777777777779, 0.11666666666666668]",2,[0.0875 0.0972 0.1069],0.10694444444444445,0.7435924145004823
moderate usage,"[0.13906250000000003, 0.0]",2,[0.0348 0.0695 0.1043],0.10429687500000002,0.7813078444852753
music playback,"[-0.225, 0.0]",2,[-0.1688 -0.1125 -0.0562],-0.16875,0.6495431834698989
new unit,"[0.08712121212121211, 0.021590909090909133, 0.13636363636363635]",3,[0.0544 0.0871 0.1117],0.11174242424242423,1.050117994791686
nice bright white screen,"[0.3940476190476191, 0.3940476190476191]",2,[0.394 0.394 0.394],0.3940476190476191,0.9623563389837674
order status,"[0.1, 0.0]",2,[0.025 0.05  0.075],0.07500000000000001,0.8255905853295733
other factors,"[0.1875, 0.1875]",2,[0.1875 0.1875 0.1875],0.1875,0.8745797178551803
pure android experience,"[-0.039642857142857146, -0.03273809523809524]",2,[-0.0379 -0.0362 -0.0345],-0.03791666666666667,0.8499331121701381
same issue,"[0.0, 0.125]",2,[0.0312 0.0625 0.0938],0.09375,0.9116384241248474
sd card,"[0.075, -0.006249999999999999, -0.006249999999999999, 0.08750000000000001, 0.125]",5,[-0.0062  0.075   0.0875],0.08750000000000001,1.7745763670693586
sim card,"[0.0, 0.05833333333333333, 0.0]",3,[0.     0.     0.0292],0.029166666666666664,0.6364762053324088
sim card tray,"[0.13333333333333333, 0.23214285714285715]",2,[0.158  0.1827 0.2074],0.20744047619047618,0.6019737260318158
straight swap,"[0.35, 0.2]",2,[0.2375 0.275  0.3125],0.31249999999999994,0.8435728371683905
tracking number,"[0.1, -0.05, 0.0]",3,[-0.025  0.     0.05 ],0.05,1.3762351295250226
turbo charger,"[0.0, 0.0, 0.16666666666666666]",3,[0.     0.     0.0833],0.08333333333333333,0.7689151900098105
video file,"[0.0, 0.32999999999999996]",2,[0.0825 0.165  0.2475],0.24749999999999997,0.7573110619332855
were buying,"[-0.019642857142857136, -0.019642857142857136]",2,[-0.0196 -0.0196 -0.0196],-0.019642857142857136,0.7613606076209953
while,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.6418409868069157
