,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Great review,"[1.0, 1.0]",2,[1. 1. 1.],1.0,0.7276967834126316
Thanks,"[0.20000000000000004, 0.2, 0.2]",3,[0.2 0.2 0.2],0.2,0.6496710867101825
adoptable storage,"[0.0, 0.1]",2,[0.025 0.05  0.075],0.07500000000000001,0.7259468498534375
battery,"[0.25, 0.125, 0.275]",3,[0.1875 0.25   0.2625],0.2625,1.0501666339174147
battery life,"[0.5, 0.0, 1.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.4, 0.79, 0.09999999999999999, 0.0, 0.0, 0.0, 0.03125, 0.07500000000000001, 0.1]",16,[0.     0.0875 0.35  ],0.35,2.6503255021859253
camera app,"[0.5, 0.0, -0.1, -0.4, 0.0]",5,[-0.1  0.   0. ],-0.1,1.6395814282862444
card,"[-0.024999999999999998, 0.0, 0.0]",3,[-0.0125  0.      0.    ],-0.012499999999999999,0.6364762053324088
carrier,"[-0.010101010101010102, 0.0]",2,[-0.0076 -0.0051 -0.0025],-0.007575757575757576,0.6222401675283693
case,"[0.25, -0.15]",2,[-0.05  0.05  0.15],0.15,0.6783525904436862
daily driver,"[-0.15, 0.0]",2,[-0.1125 -0.075  -0.0375],-0.11249999999999999,0.7854267592083822
early reviews,"[0.14583333333333331, -0.1]",2,[-0.0385  0.0229  0.0844],0.08437499999999998,0.8380327248570649
fingerprint sensor,"[0.0, 0.79]",2,[0.1975 0.395  0.5925],0.5925,0.8374613088033033
flagship phones,"[0.1, -0.2916666666666667]",2,[-0.1938 -0.0958  0.0021],-0.19375,0.783476375854106
form factor,"[0.6339285714285714, 0.6339285714285714]",2,[0.6339 0.6339 0.6339],0.6339285714285714,0.7409002857555613
headphone jack sound quality,"[0.4, 0.30000000000000004]",2,[0.325 0.35  0.375],0.37500000000000006,1.0034181949560506
internal storage,"[0.0, 0.03333333333333333, 0.0, 0.0]",4,[0.     0.     0.0083],0.008333333333333333,1.3377404841827907
issue,"[0.0, 0.32916666666666666, 0.0]",3,[0.     0.     0.1646],0.16458333333333333,0.8662454500999403
many options,"[0.5, 0.625]",2,[0.5312 0.5625 0.5938],0.59375,0.7728360975034205
much space,"[0.20000000000000004, 0.10833333333333334]",2,[0.1312 0.1542 0.1771],0.17708333333333337,0.8311402796220811
new text message,"[-0.13181818181818183, 0.19318181818181818]",2,[-0.0506  0.0307  0.1119],0.11193181818181819,0.9257792402096117
one button nav,"[0.1, 0.0, -0.2]",3,[-0.1   0.    0.05],-0.1,1.3850955735714867
only one,"[0.0, 0.2125, -0.25]",3,[-0.125   0.      0.1062],-0.125,1.013251832029469
other phones,"[-0.0625, -0.125, 0.024999999999999994]",3,[-0.0938 -0.0625 -0.0188],-0.09375,1.4556913884038074
outdoor visibility,"[-0.25, 0.1]",2,[-0.1625 -0.075   0.0125],-0.1625,0.6323037829171723
price range,"[0.8, -0.125, 0.024999999999999994, -0.2916666666666667]",4,[-0.1667 -0.05    0.2188],0.21875,1.6616932231775823
unlocked version,"[0.0, 0.0, 0.5]",3,[0.   0.   0.25],0.25,1.2565737437455538
was brand,"[0.11818181818181818, 0.13636363636363635]",2,[0.1227 0.1273 0.1318],0.1318181818181818,0.8216925718025048
wifi calling,"[0.0, 0.0, 0.075]",3,[0.     0.     0.0375],0.0375,1.19154682560462
