,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 bar,"[-0.15555555555555559, 0.35, 0.0]",3,[-0.0778  0.      0.175 ],0.175,0.6827060121432827
1 min,"[-0.2, 0.0, 0.0]",3,[-0.1  0.   0. ],-0.1,0.8338067744123265
1 security patch,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,1.4107559985710227
10 am,"[-0.2, 0.0, 0.0]",3,[-0.1  0.   0. ],-0.1,1.0797007413238136
100 percent,"[0.0, 0.0, -0.4, 0.2833333333333333]",4,[-0.1     0.      0.0708],-0.1,1.0612834474565058
15 hrs,"[0.0, -0.15555555555555559, 0.7]",3,[-0.0778  0.      0.35  ],0.35,0.7598497650227735
2 free mods,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.7413053196017895
2 pack,"[0.4166666666666667, 0.0, 0.0]",3,[0.     0.     0.2083],0.20833333333333334,0.6272998433279556
2 phones,"[0.25, 0.55, 0.55, 0.55, 0.0, 0.0]",6,[0.0625 0.4    0.55  ],0.55,1.4702071077048717
2.4 GHz,"[-0.03888888888888888, -0.125, 0.0, 0.5, 0.0]",5,[-0.0389  0.      0.    ],-0.03888888888888888,0.7909926516260436
200 gift card,"[0.0, 0.5333333333333333, 0.25, 0.2681818181818182]",4,[0.1875 0.2591 0.3345],0.334469696969697,1.1996067695791937
256 GB card,"[0.0, 0.2, 0.26666666666666666]",3,[0.1    0.2    0.2333],0.23333333333333334,1.1950228862023284
3 dots,"[0.0, 0.39285714285714285, 0.0, 0.14285714285714285]",4,[0.     0.0714 0.2054],0.20535714285714285,1.012377810072263
3 g network extender,"[-0.1, 0.05]",2,[-0.0625 -0.025   0.0125],-0.06250000000000001,0.6861306164995323
3 phones,"[0.7, 0.35, -0.16666666666666666]",3,[0.0917 0.35   0.525 ],0.5249999999999999,0.9014533608730662
3.5 mm,"[0.27083333333333337, -0.0625, -0.03888888888888888, -0.0027777777777777957, 0.0, 0.16666666666666666]",6,[-0.0299 -0.0014  0.125 ],0.125,1.0294301643402537
3.5 mm headphone jack,"[0.0, -0.05]",2,[-0.0375 -0.025  -0.0125],-0.037500000000000006,0.8993171664068812
3.5MM jack,"[0.0, 0.0, 0.2]",3,[0.  0.  0.1],0.1,0.6371601994378344
300 trade,"[0.13636363636363635, 0.34285714285714286, 0.25, 0.0, 0.0, 0.0]",6,[0.     0.0682 0.2216],0.2215909090909091,1.0736804072969888
3150mah battery,"[0.80078125, 0.1]",2,[0.2752 0.4504 0.6256],0.6255859375,0.6625813755464813
32 GB version,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.7800834721800864
3300 mah battery,"[0.1, -0.25]",2,[-0.1625 -0.075   0.0125],-0.1625,0.8656319968245754
3500 mAh battery,"[-0.15, -0.3, 0.375]",3,[-0.225  -0.15    0.1125],-0.22499999999999998,1.371994254391327
3500mah battery,"[-0.16666666666666666, 0.0, 0.016666666666666663]",3,[-0.0833  0.      0.0083],-0.08333333333333333,1.0501666339174147
3rd party app,"[0.0, 0.03333333333333333, -0.0625]",3,[-0.0312  0.      0.0167],-0.03125,1.3498299326250556
3rd party apps,"[-0.03272727272727273, 0.175, -0.04285714285714286, 0.0, 0.0]",5,[-0.0327  0.      0.    ],-0.03272727272727273,1.7996136440778314
3rd party camera apps,"[0.033333333333333326, 0.16666666666666666]",2,[0.0667 0.1    0.1333],0.13333333333333333,0.7750514100933567
3rd party launcher,"[0.0, 0.0, -0.08333333333333333]",3,[-0.0417  0.      0.    ],-0.041666666666666664,1.1735394691965302
4 g signal,"[-0.30000000000000004, -0.4, -0.15, 0.35714285714285715, 0.35714285714285715, -0.6999999999999998, 0.1, 0.0]",8,[-0.325  -0.075   0.1643],-0.32500000000000007,1.576422323523838
5 inches,"[-0.125, 0.5, 0.175]",3,[0.025  0.175  0.3375],0.3375,0.7661862874988873
6 am,"[0.0642857142857143, 0.0, 0.18333333333333335]",3,[0.0321 0.0643 0.1238],0.12380952380952381,1.0797007413238136
64 GB model,"[0.16666666666666666, 0.1]",2,[0.1167 0.1333 0.15  ],0.15,0.7854909772278816
64 GB version,"[0.0, 0.1, 0.0]",3,[0.   0.   0.05],0.05,1.2364030508377926
64 gb,"[0.0, 0.0, -0.15]",3,[-0.075  0.     0.   ],-0.075,0.8575555115685283
7.0 update,"[0.0, 0.1, 0.0]",3,[0.   0.   0.05],0.05,1.019121489228317
700 phones,"[0.39999999999999997, 0.39999999999999997, 0.39999999999999997]",3,[0.4 0.4 0.4],0.39999999999999997,0.9014533608730662
80 percent,"[0.0, 0.25, 0.0, 0.5]",4,[0.     0.125  0.3125],0.3125,1.0612834474565058
820 chip,"[0.25, 0.25, 0.25]",3,[0.25 0.25 0.25],0.25,0.7671842762646496
Action Launcher 3,"[0.1, 0.19285714285714284]",2,[0.1232 0.1464 0.1696],0.16964285714285712,0.7103255114533786
Adoptable Storage,"[0.16, 0.0, 0.0, 0.0, 0.21428571428571427]",5,[0.   0.   0.16],0.16,1.685596386069674
Adoptable storage,"[0.0, 0.0, 0.2375, 0.0]",4,[0.     0.     0.0594],0.059375,1.451893699706875
Advanced calling,"[0.4, -0.2]",2,[-0.05  0.1   0.25],0.25000000000000006,0.7358212526788609
Anyone going,"[0.06666666666666667, 0.43333333333333335]",2,[0.1583 0.25   0.3417],0.3416666666666667,0.6811995828213471
Anyone having issues,"[0.0, -0.30000000000000004]",2,[-0.225 -0.15  -0.075],-0.22500000000000003,1.0309311105145798
Battery life,"[0.5, 0.0, 0.0, -0.3, 0.06818181818181818, 0.0, -0.16666666666666666, 0.6000000000000001, 1.0, 0.04999999999999999, 0.6000000000000001, 0.5, 0.0, 0.4, 0.0, 0.7, 0.585, 0.6, 0.0, 0.0, 0.5, 0.2, 0.25, 0.0, 0.0, 0.2, 1.0, 0.8, -0.125, 0.9, -0.3375, 0.6000000000000001, 0.2857142857142857, 0.4, 0.0, -0.6999999999999998, 0.6083333333333334, 0.3333333333333333, 0.7, 0.7166666666666667]",40,[0.     0.2679 0.6   ],0.6000000000000001,3.526210437669933
Battery mod,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.8901054506777327
Battery screen.2,"[0.16666666666666666, 0.16666666666666666]",2,[0.1667 0.1667 0.1667],0.16666666666666666,0.6625813755464813
Black front lens,"[0.08888888888888889, 0.125]",2,[0.0979 0.1069 0.116 ],0.11597222222222223,0.8535866406971552
Bluetooth connection,"[0.0, 0.0, 0.16666666666666666, 0.0]",4,[0.     0.     0.0417],0.041666666666666664,1.3045132097488599
Bluetooth devices,"[0.0, 0.25, 0.5071428571428571, 0.5071428571428571, 0.5071428571428571]",5,[0.25   0.5071 0.5071],0.5071428571428571,1.6946873509813127
Bluetooth headset,"[0.075, 0.1, 0.0, 0.0]",4,[0.     0.0375 0.0812],0.08124999999999999,1.418695229366728
Bluetooth issue,"[-0.31746031746031744, 0.0]",2,[-0.2381 -0.1587 -0.0794],-0.23809523809523808,0.7926325704214473
Bluetooth issues,"[-0.0625, 0.0]",2,[-0.0469 -0.0312 -0.0156],-0.046875,0.7623385840707608
Bluetooth radio,"[-0.1, 0.0]",2,[-0.075 -0.05  -0.025],-0.07500000000000001,0.7558808097021436
Bluetooth speaker,"[0.32222222222222224, 0.0, 0.0]",3,[0.     0.     0.1611],0.16111111111111112,1.2237541595009884
Bumper case,"[0.0, 0.0, 0.03333333333333334]",3,[0.     0.     0.0167],0.01666666666666667,1.3413836116478888
Buy,"[0.25, 1.0, 1.0, 1.0]",4,[0.8125 1.     1.    ],1.0,1.2561874540719606
C cable,"[0.2222222222222222, 0.0, 0.0, 0.1, 0.0, 0.0]",6,[0.    0.    0.075],0.07500000000000001,1.4485602702613796
Calendar,"[0.0, 0.1, 0.0, 0.0]",4,[0.    0.    0.025],0.025,1.069738208938551
Clean stock android,"[0.43333333333333335, 0.43333333333333335, 0.43333333333333335]",3,[0.4333 0.4333 0.4333],0.43333333333333335,1.0916066326147813
Clear cache,"[0.10000000000000002, 0.10000000000000002]",2,[0.1 0.1 0.1],0.10000000000000002,0.8972037550371695
Dark Side,"[-0.15, -0.15]",2,[-0.15 -0.15 -0.15],-0.15,0.6420934932602547
Did anyone,"[0.0, 0.0, 0.1]",3,[0.   0.   0.05],0.05,0.9702207825457059
Droids,"[0.5, 0.0, 0.0, 0.0]",4,[0.    0.    0.125],0.125,0.9510475398619065
DualPro Dual-Layer case,"[0.0, 0.13333333333333333]",2,[0.0333 0.0667 0.1   ],0.1,0.6783525904436862
Easy install,"[0.4766666666666667, 0.4166666666666667]",2,[0.4317 0.4467 0.4617],0.4616666666666667,0.8668938762259516
Fair point,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.755294280431065
Fast charging,"[0.2, 0.25]",2,[0.2125 0.225  0.2375],0.2375,0.7746580018020589
Forums,"[0.0, 0.3333333333333333, 0.0]",3,[0.     0.     0.1667],0.16666666666666666,0.72980669261417
GSAM battery monitor,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.858500006976653
Good idea,"[0.50625, 0.7, 0.7]",3,[0.6031 0.7    0.7   ],0.7,1.2915449709159323
Good job,"[0.875, 0.875]",2,[0.875 0.875 0.875],0.875,0.7636056932017851
Good luck,"[0.7, 0.7, 0.22499999999999998, 0.7, 0.7, 0.875, 0.875, 0.7, 0.875, 0.7, 0.875, 0.7, 0.7]",13,[0.7   0.7   0.875],0.875,2.971378318761362
Good news,"[0.22067099567099566, 0.475]",2,[0.2843 0.3478 0.4114],0.41141774891774885,0.7347216498752924
Good point,"[0.7, 0.7, 0.7, 0.24999999999999997, 0.7]",5,[0.7 0.7 0.7],0.7,1.6431509309191736
Good question,"[0.7, 0.7, 0.7, 0.7]",4,[0.7 0.7 0.7],0.7,1.503213659521567
Good thing,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.7579115260627294
Great app,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.9240816363905848
Great battery,"[0.5785714285714286, 0.2375]",2,[0.3228 0.408  0.4933],0.49330357142857145,0.8925550996394357
Great idea,"[1.0, 0.18333333333333335, 0.8]",3,[0.4917 0.8    0.9   ],0.9,1.3038622119814365
Great review,"[1.0, 0.6]",2,[0.7 0.8 0.9],0.9,0.7276967834126316
HD calling,"[0.0, 0.0, 0.2]",3,[0.  0.  0.1],0.1,0.6441355487935373
HUGE difference,"[0.4000000000000001, 0.4000000000000001]",2,[0.4 0.4 0.4],0.4000000000000001,0.8720151885588343
Holy crap,"[-0.8, -0.8, -0.8]",3,[-0.8 -0.8 -0.8],-0.8,1.00119447008211
Home button,"[-0.05, 0.0]",2,[-0.0375 -0.025  -0.0125],-0.037500000000000006,0.8412845134108682
Internal storage,"[0.0, 0.26666666666666666]",2,[0.0667 0.1333 0.2   ],0.2,0.6688702420913953
Location services,"[0.16, 0.5, 0.0]",3,[0.08 0.16 0.33],0.33,1.0395326676501124
Long press,"[-0.05, -0.05, -0.05]",3,[-0.05 -0.05 -0.05],-0.05,1.1528652468799612
Mod note,"[0.2, 0.2, 0.35, 0.2, 0.2, 0.2, 0.2, 0.2]",8,[0.2 0.2 0.2],0.2,1.4523318488900927
Mods,"[0.35, 0.0, 0.0, 0.11666666666666665, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",11,[0.     0.     0.2333],0.2333333333333333,1.6219867503104695
N7,"[0.2, 0.0, 0.0, 0.5, 0.0]",5,[0.  0.  0.2],0.2,1.3407358276812293
Next steps,"[0.125, 0.16666666666666666]",2,[0.1354 0.1458 0.1562],0.15625,0.6508484681879475
Nice being,"[0.55, 0.13409090909090912]",2,[0.2381 0.342  0.446 ],0.4460227272727273,0.9482637982160894
Note 7 battery issues,"[0.012499999999999997, 0.012499999999999997, 0.012499999999999997]",3,[0.0125 0.0125 0.0125],0.012499999999999997,1.4274800837190365
Nougat,"[0.0, 0.2, 0.1, 0.0]",4,[0.    0.05  0.125],0.125,1.201710863911541
OK Google trusted voice,"[-0.04999999999999999, -0.04999999999999999]",2,[-0.05 -0.05 -0.05],-0.04999999999999999,0.6307126905338841
OS,"[0.0, -0.07777777777777779, 0.15, 0.3666666666666667, 0.3, 0.0, 0.0, 0.0, 0.0]",9,[0.   0.   0.15],0.15,1.9248451948653238
OS update,"[-0.16666666666666666, 0.0, 0.05000000000000002]",3,[-0.0833  0.      0.025 ],-0.08333333333333333,1.5035774622721927
OTA update,"[1.0, 0.2]",2,[0.4 0.6 0.8],0.8,0.9180003530840322
One other thing,"[0.005681818181818177, -0.125]",2,[-0.0923 -0.0597 -0.027 ],-0.09232954545454546,0.866016013453214
One thing,"[-0.3499999999999999, 0.008888888888888885, 0.25, 0.0, 0.35, -0.15555555555555559, 0.6000000000000001, 0.1, 0.16818181818181818, 0.0, 0.4, 0.0, 0.0, -0.5, 0.0, 0.22, 0.0]",17,[0.   0.   0.22],0.22,1.9605349979963358
Only thing,"[0.03333333333333333, 0.18, 0.10416666666666667, 0.11666666666666667, 0.0, 0.16666666666666666, 0.0, 0.1]",8,[0.025  0.1021 0.1292],0.12916666666666665,2.612605739965351
Only way,"[-0.07013888888888889, 0.0, 0.0, 0.0]",4,[-0.0175  0.      0.    ],-0.017534722222222222,1.6055461282148265
Overall size,"[0.05333333333333334, 0.0, 0.0]",3,[0.     0.     0.0267],0.02666666666666667,1.0518900940863882
PC,"[0.5, 0.0, 0.0, 0.0]",4,[0.    0.    0.125],0.125,1.120899696236727
PC browser,"[0.5, 0.5, 0.0]",3,[0.25 0.5  0.5 ],0.5,1.1972906048647274
Photos,"[0.0, 0.0, 0.3333333333333333]",3,[0.     0.     0.1667],0.16666666666666666,0.6427311431516638
Play battery life,"[0.0, 0.6000000000000001]",2,[0.15 0.3  0.45],0.45000000000000007,0.6625813755464813
Power button,"[-0.07777777777777779, -0.07777777777777779, -0.07777777777777779, 0.0, 0.0, 0.0]",6,[-0.0778 -0.0389  0.    ],-0.07777777777777779,1.6504156478483862
Powerful hi-fi DAC mod,"[0.25, 0.25, 0.25]",3,[0.25 0.25 0.25],0.25,1.3888243081434402
QC 2.0 chargers,"[0.0, 0.0, 0.5, 0.0]",4,[0.    0.    0.125],0.125,1.5034925304886646
QC charger,"[0.0, -0.19722222222222222, 0.0, 0.0]",4,[-0.0493  0.      0.    ],-0.049305555555555554,1.5336350249160922
QC chargers,"[0.13636363636363635, 0.0, 0.0]",3,[0.     0.     0.0682],0.06818181818181818,1.1914896404694466
Recording calls,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.7093844618524413
SD card,"[0.0, 0.05, 0.0, -0.125, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0]",10,[0.     0.     0.0375],0.037500000000000006,2.5388448088771765
SMS app,"[0.75, 0.1, 0.43333333333333335]",3,[0.2667 0.4333 0.5917],0.5916666666666667,1.544670889309584
SMS messages,"[0.0, 0.1, 0.2, 0.0, 0.0, 0.0]",6,[0.    0.    0.075],0.07500000000000001,2.0888736996040174
Screen brightness,"[0.0, -0.15555555555555559, 1.0]",3,[-0.0778  0.      0.5   ],0.5,0.7790568663772367
Screen resolution,"[0.25, 0.0625, 1.0]",3,[0.1562 0.25   0.625 ],0.625,0.9099729844266903
Security patch,"[0.0, 0.10714285714285714]",2,[0.0268 0.0536 0.0804],0.08035714285714285,0.8900879345278706
Single press,"[-0.07142857142857142, -0.060714285714285714]",2,[-0.0687 -0.0661 -0.0634],-0.06874999999999999,0.6842968754377289
Smart lock,"[0.5071428571428571, 0.5071428571428571, 0.5071428571428571]",3,[0.5071 0.5071 0.5071],0.5071428571428571,0.7249256236217693
T2,"[0.35, 0.0, 0.0, 0.0, -0.17500000000000002, 0.0, 0.0, 0.5, -0.3, 0.0, -0.125, 0.016666666666666663]",12,[-0.0312  0.      0.0042],-0.03125,1.201464050010723
Taking photos,"[0.0, 0.41666666666666663, 0.1]",3,[0.05   0.1    0.2583],0.2583333333333333,0.9632300760928626
Thanks,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, -0.04583333333333334, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.275, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2375, 0.2, 0.2, 0.2, 0.2, 0.2, 0.175, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.20000000000000004, 0.2, 0.2, 0.275, 0.2, 0.1, 0.2, 0.2, 0.1, 0.2, 0.2, 0.2, 0.26666666666666666, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",77,[0.2 0.2 0.2],0.2,2.5687358661302975
