,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 full charge cycle,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.7931897914561976
1000mah battery pack,"[1.0, 0.5]",2,[0.625 0.75  0.875],0.875,0.842327541907728
2 pm,"[0.0, -0.024999999999999994, 0.225]",3,[-0.0125  0.      0.1125],0.1125,0.8341465432481804
250 BB gift card,"[-0.15555555555555559, 0.0]",2,[-0.1167 -0.0778 -0.0389],-0.1166666666666667,0.8417175088917586
2600 mAh,"[0.0, -0.024999999999999994, 0.0]",3,[-0.0125  0.      0.    ],-0.012499999999999997,0.6966093375435327
2600mAh battery,"[0.0, 0.0, 0.6]",3,[0.  0.  0.3],0.3,1.0501666339174147
2600mah battery,"[0.02232142857142857, 0.20833333333333334, 0.04545454545454545, 0.3666666666666667]",4,[0.0397 0.1269 0.2479],0.24791666666666667,1.3251627510929627
3 apps,"[0.0, 0.1]",2,[0.025 0.05  0.075],0.07500000000000001,0.6103506053928607
3.5 mm,"[0.0, 0.0, 0.09000000000000001, -0.03888888888888888]",4,[-0.0097  0.      0.0225],0.022500000000000003,0.7964758978538852
3.5 mm audio jack,"[0.10714285714285714, 0.2, 0.0, 0.2380952380952381, 0.0, 0.05]",6,[0.0125 0.0786 0.1768],0.1767857142857143,2.2117830372147513
3.5 mm headphone,"[0.16666666666666666, -0.03285714285714286]",2,[0.017  0.0669 0.1168],0.11678571428571428,0.7317431579382111
3.5 mm headphone jack,"[-0.3, -0.3, 0.0, 0.225, 0.13809523809523808, 0.0, 0.5, -0.235, 0.0]",9,[-0.235   0.      0.1381],-0.235,2.8507679700194295
3.5 mm port,"[0.2857142857142857, -0.5]",2,[-0.3036 -0.1071  0.0893],-0.3035714285714286,0.625606795796551
300 projector,"[0.19, 0.19, -0.2916666666666667]",3,[-0.0508  0.19    0.19  ],0.19,0.6237297958494361
32 GB,"[0.0, -0.375, 0.0]",3,[-0.1875  0.      0.    ],-0.1875,0.8575555115685283
4 GB,"[0.0, 0.10416666666666667, 0.0]",3,[0.     0.     0.0521],0.052083333333333336,0.8575555115685283
64 gb,"[0.0, 0.0, 0.1]",3,[0.   0.   0.05],0.05,0.8575555115685283
820 mAh battery,"[0.02500000000000001, 0.0]",2,[0.0063 0.0125 0.0188],0.018750000000000006,0.8656319968245754
Anyone experiencing,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.6100346873250485
Anyone getting 2013,"[0.16666666666666666, 0.16666666666666666]",2,[0.1667 0.1667 0.1667],0.16666666666666666,0.6816073648938243
Battery life,"[-0.16666666666666666, 0.6083333333333334, 0.0, 0.8, 0.13636363636363635, 0.45499999999999996, 0.25, 0.0, 0.475, 0.39999999999999997, 0.0, 0.25, 0.0, -0.21083333333333332]",14,[0.     0.1932 0.4412],0.4412499999999999,2.5226824614505934
Battery mod,"[0.1, 0.2]",2,[0.125 0.15  0.175],0.17500000000000002,0.8901054506777327
Black MOTXT1650-Best Buy,"[0.4166666666666667, 0.5111111111111111]",2,[0.4403 0.4639 0.4875],0.4875,0.6280937270359803
Black front lens,"[0.08888888888888889, 0.125]",2,[0.0979 0.1069 0.116 ],0.11597222222222223,0.8535866406971552
Bluetooth connection,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6522566048744299
Bluetooth headphones,"[0.12499999999999999, 0.21212121212121213, 0.0, 0.25, 0.0, 0.4, 0.0, 0.0]",8,[0.     0.0625 0.2216],0.2215909090909091,2.4903425503491277
Bluetooth headsets,"[0.0, 0.0, -1.0]",3,[-0.5  0.   0. ],-0.5,1.0954174308551041
Bluetooth speakers,"[0.0, 0.1]",2,[0.025 0.05  0.075],0.07500000000000001,0.7219236259869224
Buy,"[0.23611111111111113, 1.0]",2,[0.4271 0.6181 0.809 ],0.8090277777777778,0.6280937270359803
C cable,"[0.0, 0.2, -0.1, 0.1, -0.07142857142857142]",5,[-0.0714  0.      0.1   ],0.1,1.3011611532930119
Call quality,"[-0.017499999999999995, -0.15]",2,[-0.1169 -0.0837 -0.0506],-0.11687499999999999,0.703932686307918
Customer satisfaction,"[0.1, 0.2230769230769231, 0.16666666666666666]",3,[0.1333 0.1667 0.1949],0.19487179487179487,1.1202996896385282
Did anyone,"[0.0, 0.0, 0.0, 0.5]",4,[0.    0.    0.125],0.125,1.2242823184829374
Droids,"[0.0, 0.2, 0.5]",3,[0.1  0.2  0.35],0.35,0.7536873435421155
Everything plan,"[0.5, 0.1]",2,[0.2 0.3 0.4],0.4,0.641120340137128
Form factor,"[0.0, 0.11666666666666665]",2,[0.0292 0.0583 0.0875],0.0875,0.7409002857555613
GPe program,"[0.0, 0.35, 0.45]",3,[0.175 0.35  0.4  ],0.4,1.0960654645373393
Good deal,"[0.4, 0.7]",2,[0.475 0.55  0.625],0.6249999999999999,0.6706686255767433
Good luck,"[0.875, 0.35]",2,[0.4812 0.6125 0.7438],0.74375,0.8029797929674225
Good question,"[0.7, 0.85, 0.7]",3,[0.7   0.7   0.775],0.7749999999999999,1.1912686404567518
Great deal,"[0.41111111111111115, 1.0]",2,[0.5583 0.7056 0.8528],0.8527777777777777,0.6802248585736355
HTC 10 forum,"[0.5, 0.0, -0.5]",3,[-0.25  0.    0.25],-0.25,0.8638057974446309
Holy crap,"[0.0, -0.275]",2,[-0.2062 -0.1375 -0.0688],-0.20625000000000002,0.6316833802860116
Home button,"[-0.3125, 0.0]",2,[-0.2344 -0.1562 -0.0781],-0.234375,0.8412845134108682
IR blaster,"[0.0, 0.275]",2,[0.0688 0.1375 0.2062],0.20625000000000002,0.7256567210598253
LOL,"[0.8, 0.8, 0.8]",3,[0.8 0.8 0.8],0.8,1.0079749601780672
Long story,"[-0.025, -0.025]",2,[-0.025 -0.025 -0.025],-0.025,0.8246086308336812
Mod note,"[0.2, 0.2, 0.2, 0.037500000000000006, 0.037500000000000006, 0.4]",6,[0.0781 0.2    0.2   ],0.2,1.2514077893279716
Mods,"[0.8, 0.5, 0.26666666666666666, 0.15, 0.15, 0.2875, 0.0, 0.0, -0.6999999999999998]",9,[0.     0.15   0.2875],0.2875,1.486248875138235
OS,"[0.5, 0.25]",2,[0.3125 0.375  0.4375],0.4375,0.6072210522297913
One thing,"[-0.15625, -0.3, 0.0, -0.5, 0.0, 0.2, -0.3]",7,[-0.3    -0.1562  0.    ],-0.3,1.3465364188626068
Only thing,"[0.05000000000000001, 0.0, 0.10000000000000002, 0.3666666666666667]",4,[0.0375 0.075  0.1667],0.16666666666666669,1.741737159976901
PC,"[0.2, 0.0, 0.0]",3,[0.  0.  0.1],0.1,0.8882919928024736
Perfect balance,"[1.0, 1.0]",2,[1. 1. 1.],1.0,0.710295826595838
Play forum,"[0.0, -0.30000000000000004, 0.0, 0.0]",4,[-0.075  0.     0.   ],-0.07500000000000001,1.0900015578306745
Play store,"[0.3181818181818182, 0.0, 0.0]",3,[0.     0.     0.1591],0.1590909090909091,0.6106623515788433
Power button,"[-0.07777777777777779, -0.07777777777777779, -0.07777777777777779, 0.5, 0.5, 0.0]",6,[-0.0778 -0.0389  0.375 ],0.375,1.6504156478483862
Same reason,"[0.06818181818181818, 0.0]",2,[0.017  0.0341 0.0511],0.05113636363636363,0.8482853816349162
Same thing,"[0.0, 0.07142857142857142, 0.0, 0.0]",4,[0.     0.     0.0179],0.017857142857142856,1.7458397739401017
Security updates,"[0.4, 0.6]",2,[0.45 0.5  0.55],0.5499999999999999,0.8878737215240945
Share Projector,"[0.0, 0.19999999999999998]",2,[0.05 0.1  0.15],0.15,0.6008378211453773
Side note,"[0.5, 0.27499999999999997, 0.0]",3,[0.1375 0.275  0.3875],0.38749999999999996,0.610123199214256
T2,"[0.0, 0.0, 0.6, 0.0]",4,[0.   0.   0.15],0.15,0.6702798424078549
Thanks,"[0.2, 0.15, 0.2, 0.2, 0.2, 0.2, 0.2, -0.04583333333333334, 0.3333333333333333, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.475, 0.025000000000000005, 0.2, 0.2, 0.2, -0.08888888888888889, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",31,[0.2 0.2 0.2],0.2,2.0307093065483626
Thanks everyone,"[0.2, 0.25, 0.25, 0.25]",4,[0.2375 0.25   0.25  ],0.25,1.661364252773412
Told everyone,"[-0.8, -0.8]",2,[-0.8 -0.8 -0.8],-0.8,0.9172096257447249
USB C,"[1.0, 0.0, 0.4, 0.0, 0.0]",5,[0.  0.  0.4],0.4,1.0246180376737741
USB Type,"[0.0, 0.5, 0.0, 0.0]",4,[0.    0.    0.125],0.125,1.6615687809652868
USB port,"[0.5, 0.0, 0.5, 0.7166666666666667]",4,[0.375  0.5    0.5542],0.5541666666666667,1.3137558790968185
USB-C cable,"[0.0, 0.0, 0.5, 0.1]",4,[0.   0.05 0.2 ],0.2,1.1207592139980818
USB-C port,"[0.4166666666666667, 0.0, 0.0, 0.3333333333333333, -0.1]",5,[0.     0.     0.3333],0.3333333333333333,0.8441382926609136
Volume Down button,"[-0.07777777777777779, -0.07777777777777779]",2,[-0.0778 -0.0778 -0.0778],-0.07777777777777779,1.0221381931015299
Web deal,"[0.19, 0.19]",2,[0.19 0.19 0.19],0.19,0.7240164183610127
X line,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.5]",6,[0.    0.    0.375],0.375,1.045833970438698
access fee,"[0.5, 0.5, 0.8, 0.0, 0.021428571428571422, 0.0, 0.0, 0.0, 0.0]",9,[0.  0.  0.5],0.5,2.0020278097829727
accessibility settings,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.7222093733596219
accurate display,"[0.45000000000000007, 0.4000000000000001, 0.4000000000000001]",3,[0.4   0.4   0.425],0.42500000000000004,1.0906946707282577
actual lens,"[-0.15, 0.0]",2,[-0.1125 -0.075  -0.0375],-0.11249999999999999,0.6942930188403684
ad poked fun,"[0.3, 0.3]",2,[0.3 0.3 0.3],0.3,0.6555171293311544
additional mods,"[0.0, 0.19, 0.19, 0.0]",4,[0.    0.095 0.19 ],0.19,1.4499623474397205
adoptable storage,"[0.0, 0.16666666666666666, 0.0]",3,[0.     0.     0.0833],0.08333333333333333,1.1505985345343501
ads,"[0.0, 0.16666666666666666, 0.16666666666666666]",3,[0.0833 0.1667 0.1667],0.16666666666666666,0.7217449010458855
advice,"[0.19318181818181818, 0.2, 0.0]",3,[0.0966 0.1932 0.1966],0.1965909090909091,0.8631265642196753
airplane mode,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.6585925416174272
antenna quality,"[0.3, 0.0]",2,[0.075 0.15  0.225],0.22499999999999998,0.6277678190120207
anyone using,"[0.028571428571428574, 0.008333333333333338]",2,[0.0134 0.0185 0.0235],0.02351190476190476,0.8006103340384453
anything,"[-0.5, -0.5, 0.0, 0.0, -0.025, 0.0, 0.0, -0.5, 0.0, 1.0, -0.3499999999999999, 0.033333333333333326]",12,[-0.3875  0.      0.    ],-0.38749999999999996,2.2813871528846574
app drawer,"[0.0, -0.15285714285714286, 0.13333333333333333, 0.13333333333333333, 0.0]",5,[0.     0.     0.1333],0.13333333333333333,2.1424181740344923
