,sentiment,occurences,sentimentsSummary,sentimentEdges,score
10 am,"[0.1, -0.2]",2,[-0.125 -0.05   0.025],-0.12500000000000003,0.6812153226543536
1st gen,"[0.25, 0.625, 0.0, 0.8]",4,[0.1875 0.4375 0.6688],0.66875,0.7612597457893115
3.5 mm adapters,"[0.0, 0.21666666666666667]",2,[0.0542 0.1083 0.1625],0.1625,0.620645850507131
730 mAh battery,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.8656319968245754
Battery life,"[0.0, 0.0, 1.0, 0.7]",4,[0.    0.35  0.775],0.7749999999999999,1.3251627510929627
Bottom line,"[-0.0625, 0.325]",2,[0.0344 0.1312 0.2281],0.22812500000000002,0.7217078593682164
Deal breaker,"[0.0, 0.0, 0.0, 0.7]",4,[0.    0.    0.175],0.175,1.3140181680694043
Did anyone,"[-0.038461538461538464, 0.0]",2,[-0.0288 -0.0192 -0.0096],-0.028846153846153848,0.6121411592414687
Play Music app,"[0.3, 0.0]",2,[0.075 0.15  0.225],0.22499999999999998,0.8564464452436513
Small battery,"[-0.25, -0.25]",2,[-0.25 -0.25 -0.25],-0.25,0.9028204167339623
Thanks,"[0.2, 0.2, 0.2, -0.15, 0.2, 0.2, 0.2]",7,[0.2 0.2 0.2],0.2,1.150725851346319
Thanks guys,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.6434186719646959
Tylt wireless charger,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.7762117686610085
USB PD,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.6418229494295102
active display,"[0.18333333333333335, -0.13333333333333333, -0.13333333333333333, -0.5444444444444444, -0.13333333333333333]",5,[-0.1333 -0.1333 -0.1333],-0.13333333333333333,0.9022001909278587
adapter,"[0.0, -0.4, -0.05, 0.0, 0.35]",5,[-0.05  0.    0.  ],-0.05,0.9267824503732998
aftermarket screen protector,"[0.0, 0.5, 0.0, 0.5]",4,[0.   0.25 0.5 ],0.5,1.3575942035176745
app drawer,"[0.2, 0.0, 0.0]",3,[0.  0.  0.1],0.1,1.4624279167752983
app menu,"[0.0, -0.013333333333333336]",2,[-0.01   -0.0067 -0.0033],-0.010000000000000002,0.8637323204555599
apps,"[0.2, 0.0, 0.0, 0.5, 0.0, 0.09523809523809523]",6,[0.     0.0476 0.1738],0.17380952380952383,1.5777334272330008
audio jack,"[0.5, 0.5]",2,[0.5 0.5 0.5],0.5,0.6781442002760613
battery life,"[0.4, 0.5625, -1.0, 0.8, 1.0, 0.36363636363636365, 0.5375, 0.7, 0.19999999999999998, 0.29791666666666666, 0.06517857142857142, 0.5, 0.5, 0.125, 0.1, -0.027777777777777783, 0.1, 0.25, -0.03125, 0.5321428571428571, 0.8, 0.5, -0.4, -0.020833333333333336, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.08333333333333333, 0.1, 0.27499999999999997, 0.0, 0.25, 0.5, 0.2125, 0.07499999999999998, 0.325, 0.2, 0.10416666666666667, 0.0, 0.38749999999999996, 0.5, 0.2, -0.3, 0.0, 0.1, 0.7, -0.15625]",51,[0.  0.2 0.5],0.5,3.758443385768193
