,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Battery life,"[0.0, 0.475, -0.022222222222222216, 0.35000000000000003, 0.4166666666666667]",5,[0.     0.35   0.4167],0.4166666666666667,1.5384663110304893
Contacts,"[-0.3125, 0.5, -0.3125, 0.5]",4,[-0.3125  0.0938  0.5   ],0.5,1.1785793415646553
Good luck,"[0.875, 0.875]",2,[0.875 0.875 0.875],0.875,0.8029797929674225
PC,"[0.0, 0.0, 0.0, 0.6]",4,[0.   0.   0.15],0.15,1.120899696236727
SD card,"[0.0, 0.16]",2,[0.04 0.08 0.12],0.12,0.7642684418078175
Thanks,"[0.15, 0.15, 0.2, 0.2, 0.2, 0.2, 0.2]",7,[0.175 0.2   0.2  ],0.2,1.150725851346319
WHOLE thread title,"[0.15, 0.15]",2,[0.15 0.15 0.15],0.15,0.9358250582274629
adoptable storage card,"[-0.047619047619047616, -0.1875]",2,[-0.1525 -0.1176 -0.0826],-0.15252976190476192,0.8945577886333189
annoying glitch,"[-0.19166666666666665, -0.19166666666666665]",2,[-0.1917 -0.1917 -0.1917],-0.19166666666666665,0.8257652494790448
aux port,"[0.55, 0.55]",2,[0.55 0.55 0.55],0.55,0.6332943740820216
average use,"[-0.057142857142857134, -0.15, 0.13229166666666667]",3,[-0.1036 -0.0571  0.0376],-0.10357142857142856,1.357092183076588
back plate,"[0.08499999999999999, 0.0]",2,[0.0212 0.0425 0.0638],0.06375,0.7588562488791624
battery,"[0.5, 0.5, 0.31666666666666665, 0.0, 0.0, 0.0, -0.4, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",13,[0.     0.     0.3167],0.31666666666666665,2.4518424385727586
battery capacity,"[0.0, -0.15]",2,[-0.1125 -0.075  -0.0375],-0.11249999999999999,0.7914373979681542
battery drain,"[0.1, 0.1, 0.1]",3,[0.1 0.1 0.1],0.1,1.407759624340582
battery life,"[0.5, 0.6160714285714286, 0.375, 0.25, -0.125, -0.15, 0.5, 0.25, 0.1, 0.25, 0.5, 0.032499999999999994, -0.4, 0.5, 0.5, 0.11285714285714285, 0.0, 0.3520833333333333, 0.35, -0.125, 0.0, 0.0, 0.39878787878787875, 1.0, 0.35714285714285715, 0.5, 0.0, 0.35000000000000003, 0.0, 0.5, 0.2, 0.2, -0.25, 0.0, 0.0, 0.3, 0.0, 0.7, 0.2671875, 0.0, 0.35, 0.0, 0.0]",43,[0.     0.25   0.3869],0.38689393939393935,3.595341965249906
battery mod,"[-0.0062500000000000056, 0.18, 0.20416666666666666, 0.2, 0.13333333333333333, 0.07616161616161617, 0.05, 0.06666666666666667, 0.06666666666666667, 0.2722222222222222, 0.2, 0.2, 0.6, -0.04583333333333334, 0.2, 0.2, 0.21250000000000002, 0.21250000000000002, 0.030555555555555555, 0.030555555555555555, 0.13333333333333333, 0.16111111111111112, 0.1]",23,[0.0667 0.1611 0.2   ],0.2,4.026447153564774
battery mods,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.8816564765956291
battery pack,"[0.25, 0.0, 0.0]",3,[0.    0.    0.125],0.125,1.335057567248377
battery percentage,"[0.12976190476190477, 0.0]",2,[0.0324 0.0649 0.0973],0.09732142857142859,0.8932166596249774
bright background,"[0.12125000000000002, 0.04027777777777779]",2,[0.0605 0.0808 0.101 ],0.10100694444444447,0.6603432464381229
bright light,"[0.55, 0.6699999999999999, 0.5666666666666668]",3,[0.5583 0.5667 0.6183],0.6183333333333334,0.8630463605783767
bumper case,"[-0.25, 0.0, 0.2, 0.0, 0.125, 0.0, 0.0, 0.55]",8,[0.     0.     0.1438],0.14375,2.5389564946253818
call,"[0.05416666666666667, 0.0, 0.375]",3,[0.0271 0.0542 0.2146],0.21458333333333335,0.80241899306029
calls,"[0.0, -0.25, -0.05, 0.0]",4,[-0.1   -0.025  0.   ],-0.1,1.0890900257876472
camera bump,"[-0.15000000000000002, 0.0, 0.0, 0.0]",4,[-0.0375  0.      0.    ],-0.037500000000000006,0.7018491552998628
camera lens,"[0.0, -0.07396825396825397, -0.038888888888888896, 0.0]",4,[-0.0477 -0.0194  0.    ],-0.047658730158730164,1.048597617355703
camera quality,"[0.0, 0.35555555555555557, 0.46666666666666673, 0.42500000000000004, 0.0]",5,[0.     0.3556 0.425 ],0.42500000000000004,0.8397615375977435
carrier,"[0.16666666666666666, -0.25]",2,[-0.1458 -0.0417  0.0625],-0.14583333333333334,0.6222401675283693
charging port,"[-0.1, 0.0]",2,[-0.075 -0.05  -0.025],-0.07500000000000001,0.6523030337165191
current OS,"[0.0, 0.13333333333333333]",2,[0.0333 0.0667 0.1   ],0.1,0.8167293382520585
custom launch phase,"[0.4, 0.05]",2,[0.1375 0.225  0.3125],0.31250000000000006,0.8441468153542541
customer service,"[0.0, -0.525]",2,[-0.3938 -0.2625 -0.1312],-0.39375000000000004,0.8058337150350469
daily driver,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.7854267592083822
decent light,"[0.20619047619047617, 0.5166666666666667]",2,[0.2838 0.3614 0.439 ],0.43904761904761913,0.6617378405916623
delivery date,"[0.0, 0.0, 0.5]",3,[0.   0.   0.25],0.25,1.4219515498293618
device,"[0.0, 0.5, 0.11481481481481481, 0.5, -0.5]",5,[0.     0.1148 0.5   ],0.5,1.1415679062175583
earpiece slot,"[0.16666666666666666, 0.27142857142857146]",2,[0.1929 0.219  0.2452],0.24523809523809526,0.6337030450842682
external battery,"[0.05333333333333334, -0.008333333333333333]",2,[0.0071 0.0225 0.0379],0.03791666666666667,0.8010211607350586
factory reset,"[0.0, 0.7]",2,[0.175 0.35  0.525],0.5249999999999999,0.710273734555309
files,"[0.0, -0.1, 0.0]",3,[-0.05  0.    0.  ],-0.05,0.6505316472016404
fingerprint sensor,"[0.0, 0.3333333333333333, 0.0, 0.30000000000000004]",4,[0.     0.15   0.3083],0.30833333333333335,1.6749226176066065
flagship models,"[0.25, -0.25]",2,[-0.125  0.     0.125],-0.125,0.7990992297584373
flip case,"[0.225, 0.0, 0.0]",3,[0.     0.     0.1125],0.1125,1.3941190488238424
forums,"[0.8, 0.8, 0.8]",3,[0.8 0.8 0.8],0.8,0.72980669261417
glass screen protector,"[-0.06296296296296296, 0.2]",2,[0.0028 0.0685 0.1343],0.13425925925925927,0.7048578632652585
good deal,"[0.2968253968253968, 0.10208333333333333]",2,[0.1508 0.1995 0.2481],0.24813988095238093,0.6706686255767433
great deal,"[0.3166666666666667, 0.8]",2,[0.4375 0.5583 0.6792],0.6791666666666668,0.6802248585736355
great idea,"[0.65, 0.8]",2,[0.6875 0.725  0.7625],0.7625000000000001,0.822645464096583
hand feel,"[0.5, -0.16666666666666666]",2,[0.     0.1667 0.3333],0.3333333333333333,0.708446186517649
hands free environment,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.9011377798037834
hands free operation,"[0.2488095238095238, 0.2488095238095238]",2,[0.2488 0.2488 0.2488],0.2488095238095238,0.9193171074670529
headphone jack,"[0.0, 0.375, 0.0, 0.0]",4,[0.     0.     0.0938],0.09375,1.4681457112477048
heavy usage,"[0.16666666666666666, -0.2, -0.2, -0.2]",4,[-0.2    -0.2    -0.1083],-0.2,1.6688635399782534
high accuracy,"[0.16, 0.16]",2,[0.16 0.16 0.16],0.16,0.6600078155758122
high quality,"[0.16, 0.08]",2,[0.1  0.12 0.14],0.13999999999999999,0.6549228950478376
home screen,"[0.7, 0.6, 0.1488095238095238, 0.1488095238095238, 0.0, 0.0]",6,[0.0372 0.1488 0.4872],0.4872023809523809,1.10602262522654
iOS 11,"[-0.3333333333333333, 0.0, 0.8]",3,[-0.1667  0.      0.4   ],0.4,0.7926578444384464
image stabilization,"[0.0, -0.25]",2,[-0.1875 -0.125  -0.0625],-0.1875,0.6743021448939678
internal battery,"[0.31666666666666665, 0.030555555555555555]",2,[0.1021 0.1736 0.2451],0.24513888888888888,0.8392487995469594
internal storage,"[0.0, 0.35, 0.0, 0.0]",4,[0.     0.     0.0875],0.0875,1.3377404841827907
jbl speaker mod,"[0.2722222222222222, 0.2]",2,[0.2181 0.2361 0.2542],0.25416666666666665,0.9349320174879633
last night,"[0.049999999999999996, 0.0]",2,[0.0125 0.025  0.0375],0.0375,0.6639010612363101
light usage,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.7270069022112893
lock screen,"[-0.1111111111111111, 0.0, 0.02777777777777778]",3,[-0.0556  0.      0.0139],-0.05555555555555555,0.7249256236217693
low light,"[0.2, 0.2633333333333333]",2,[0.2158 0.2317 0.2475],0.2475,0.7748298302733668
low light shots,"[-0.19999999999999998, 0.30000000000000004]",2,[-0.075  0.05   0.175],0.17500000000000004,0.915084875319664
low signal area,"[0.049999999999999996, -0.05555555555555555, 0.0]",3,[-0.0278  0.      0.025 ],-0.027777777777777776,1.5665634397775507
many functions,"[0.2488095238095238, 0.2488095238095238]",2,[0.2488 0.2488 0.2488],0.2488095238095238,0.7819983305889024
many ways,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,0.7784554499171888
mid range,"[0.0, 0.175, 0.45499999999999996]",3,[0.0875 0.175  0.315 ],0.31499999999999995,1.1533968633949712
minimum brightness,"[0.12500000000000003, 0.24861111111111112]",2,[0.1559 0.1868 0.2177],0.21770833333333334,0.6988665104151907
missing anything,"[-0.2, -0.2]",2,[-0.2 -0.2 -0.2],-0.2,0.8339102083798027
mods,"[0.0, 0.5, 0.5, 0.0, 0.5, 0.25, -0.2, 0.0]",8,[0.    0.125 0.5  ],0.5,1.4065779548052333
