,sentiment,occurences,sentimentsSummary,sentimentEdges,score
32 GB card,"[0.0, 0.13636363636363635]",2,[0.0341 0.0682 0.1023],0.10227272727272727,0.7539754951038868
64 GB card,"[0.2341269841269841, 0.5, -0.4]",3,[-0.0829  0.2341  0.3671],0.36706349206349204,1.1950228862023284
8 GB worth,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.7197184048039071
Adoptable Storage,"[0.16666666666666666, -0.25]",2,[-0.1458 -0.0417  0.0625],-0.14583333333333334,0.7259468498534375
Good luck,"[0.7, 0.6428571428571428, 0.7, 0.7]",4,[0.6857 0.7    0.7   ],0.7,1.605959585934845
Many apps,"[0.0, 0.5, 0.5]",3,[0.25 0.5  0.5 ],0.5,1.4253841498817585
SD cards,"[0.0, 0.0, 0.7, -0.25]",4,[-0.0625  0.      0.175 ],0.175,1.646268834993157
Thanks,"[0.2, 0.3666666666666667, 0.2, 0.2, 0.2, 0.2, 0.2, 0.1125]",8,[0.2 0.2 0.2],0.2,1.2296904559216688
USB,"[0.0, 0.0, -0.25, -0.03333333333333335]",4,[-0.0875 -0.0167  0.    ],-0.08750000000000001,0.8825579396105104
apps,"[0.0, 0.0, -0.2, 0.35, 0.0, 0.0, 0.0, 0.35]",8,[0.     0.     0.0875],0.0875,1.8310518161785818
battery,"[-0.2, 0.4375, 0.0, 0.0]",4,[-0.05    0.      0.1094],0.109375,1.3251627510929627
battery life,"[0.5, 0.5, 0.25, 0.0625, 0.25]",5,[0.25 0.25 0.5 ],0.5,1.5384663110304893
cache partition,"[0.0, 0.10000000000000002, -0.35]",3,[-0.175  0.     0.05 ],-0.175,1.2782731860586836
card,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.5, 0.0, 0.20000000000000004, 0.0, 0.0, 0.5]",18,[0.   0.   0.15],0.15000000000000002,1.6745241860492903
card being,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.8039946140018104
case,"[0.0, 0.5, 0.0, 0.0, 0.475]",5,[0.    0.    0.475],0.475,1.5750859379908155
computer,"[0.0, 0.5, 0.5, 0.0]",4,[0.   0.25 0.5 ],0.5,0.7503651261240245
customer service,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.8058337150350469
developing markets,"[0.7, 0.4]",2,[0.475 0.55  0.625],0.6249999999999999,0.6178588683439394
devices,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,0.7214503684804439
edge program,"[0.0, 0.0, 0.35]",3,[0.    0.    0.175],0.175,0.6502102729253015
error message,"[-0.5, 0.0]",2,[-0.375 -0.25  -0.125],-0.375,0.6972138785957519
external card,"[0.3333333333333333, -0.10000000000000002, -0.10000000000000002, 0.0, -0.03571428571428571, 0.0, -0.075, -0.008333333333333331]",8,[-0.0812 -0.022   0.    ],-0.08125,1.7854251544680315
external storage,"[0.125, 0.0, 0.0]",3,[0.     0.     0.0625],0.0625,0.9820488708333496
file manager,"[0.0, 0.08333333333333333]",2,[0.0208 0.0417 0.0625],0.0625,0.6205337452677321
full price,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.7132087009996205
good battery life,"[0.4333333333333333, 0.4388888888888889]",2,[0.4347 0.4361 0.4375],0.4375,0.8855331467232364
good luck,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.8029797929674225
great battery life,"[0.8, 0.3333333333333333]",2,[0.45   0.5667 0.6833],0.6833333333333335,0.8925550996394357
hard reset,"[0.10416666666666666, -0.19583333333333336]",2,[-0.1208 -0.0458  0.0292],-0.12083333333333338,0.7913484893751183
having issues,"[-0.13333333333333333, 0.6, 0.0]",3,[-0.0667  0.      0.3   ],0.3,1.425827464383507
internal card,"[-0.1, -0.03571428571428571]",2,[-0.0839 -0.0679 -0.0518],-0.08392857142857144,0.6461143018950211
issue,"[0.0, 0.0, 0.0, -0.125]",4,[-0.0312  0.      0.    ],-0.03125,1.093080056727903
last night,"[0.3, 0.0]",2,[0.075 0.15  0.225],0.22499999999999998,0.6639010612363101
main reason,"[-0.16666666666666669, 0.16666666666666666]",2,[-0.0833 -0.      0.0833],-0.08333333333333334,0.6982250267082482
many people,"[0.25, 0.5, 0.5]",3,[0.375 0.5   0.5  ],0.5,1.2087538377657818
mic opening,"[-0.1, 0.10000000000000002]",2,[-0.05  0.    0.05],0.05000000000000001,0.722828138943289
micro SD card,"[-0.5, 0.0]",2,[-0.375 -0.25  -0.125],-0.375,0.9724563624657049
model number,"[0.0, 0.0, -0.125]",3,[-0.0625  0.      0.    ],-0.0625,1.2998819372545838
music files,"[0.4, -0.1]",2,[0.025 0.15  0.275],0.275,0.6291628002826074
new battery,"[0.13636363636363635, 0.13636363636363635]",2,[0.1364 0.1364 0.1364],0.13636363636363635,0.8752385816605505
new card,"[0.13636363636363635, 0.06818181818181818]",2,[0.0852 0.1023 0.1193],0.11931818181818181,0.6932827380074003
new ones,"[0.13636363636363635, 0.11818181818181818]",2,[0.1227 0.1273 0.1318],0.1318181818181818,0.7953690279947598
only thing,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.8708685799884505
only way,"[0.0, -0.041666666666666664, 0.0]",3,[-0.0208  0.      0.    ],-0.020833333333333332,1.2723652031992707
option,"[0.0, 0.0, 0.3, 0.0]",4,[0.    0.    0.075],0.075,1.0232629968539897
other SD cards,"[0.225, 0.029761904761904767]",2,[0.0786 0.1274 0.1762],0.1761904761904762,1.0828697841299237
other devices,"[0.02083333333333333, -0.125]",2,[-0.0885 -0.0521 -0.0156],-0.08854166666666667,0.8521130375671512
poor connections,"[-0.4, -0.4]",2,[-0.4 -0.4 -0.4],-0.4,0.6594195449661453
power button,"[0.0, 0.35000000000000003, 0.0, -0.07777777777777779]",4,[-0.0194  0.      0.0875],0.08750000000000001,1.2769358529479256
problems,"[0.1, -0.19583333333333336]",2,[-0.1219 -0.0479  0.026 ],-0.12187500000000004,0.6254864238087618
qi charging,"[-0.049999999999999996, 0.0]",2,[-0.0375 -0.025  -0.0125],-0.0375,0.6809489370917869
repair shop,"[0.13636363636363635, 0.0]",2,[0.0341 0.0682 0.1023],0.10227272727272727,0.6888214862743294
reply,"[0.2, 0.2, 0.2]",3,[0.2 0.2 0.2],0.2,0.7763700293232828
safe mode,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",6,[0.5 0.5 0.5],0.5,1.7251378870711942
same issues,"[0.0, 0.06818181818181818, 0.0, 0.0]",4,[0.    0.    0.017],0.017045454545454544,1.7724248582041133
same thing,"[0.3666666666666667, 0.0]",2,[0.0917 0.1833 0.275 ],0.275,0.8729198869700509
screen protectors,"[0.3, 0.178125, 0.0, 0.0]",4,[0.     0.0891 0.2086],0.20859375000000002,0.8044770284611885
screen shot,"[-0.006547619047619048, 0.13636363636363635, 0.0]",3,[-0.0033  0.      0.0682],0.06818181818181818,0.8781200509236615
similar problem,"[0.2341269841269841, -0.05]",2,[0.021  0.0921 0.1631],0.16309523809523807,0.9647690000808005
situation,"[-0.5, 0.0, 0.0, 0.0]",4,[-0.125  0.     0.   ],-0.125,0.6066254045940338
system apps,"[-0.3333333333333333, 0.0]",2,[-0.25   -0.1667 -0.0833],-0.25,0.8386691078682122
text messages,"[0.45, 0.4]",2,[0.4125 0.425  0.4375],0.4375,0.7822010501509997
three dots,"[0.14285714285714285, 0.39285714285714285]",2,[0.2054 0.2679 0.3304],0.33035714285714285,0.7708300924202345
timely updates,"[0.0, 0.0, 0.1]",3,[0.   0.   0.05],0.05,1.2214921905520322
try,"[0.3, 0.3, 0.0]",3,[0.15 0.3  0.3 ],0.3,0.9518694342084744
volume buttons,"[-0.3125, 0.4333333333333333]",2,[-0.126   0.0604  0.2469],0.24687499999999996,0.7411001668821897
was going,"[0.016666666666666677, 0.0]",2,[0.0042 0.0083 0.0125],0.012500000000000008,0.8498599385052816
