,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 unread message,"[0.1, 0.1]",2,[0.1 0.1 0.1],0.1,0.626320245589734
10 min,"[-0.05, 0.2, 0.0]",3,[-0.025  0.     0.1  ],0.1,0.8338067744123265
10 pm,"[-0.06666666666666667, 0.0, 0.1]",3,[-0.0333  0.      0.05  ],0.05,0.8341465432481804
100 MB,"[0.0, 0.0, 0.0, 0.5]",4,[0.    0.    0.125],0.125,0.9874028325299522
128 GB card,"[0.0, -0.1625, 0.5]",3,[-0.0812  0.      0.25  ],0.25,1.1950228862023284
15 min,"[-0.051851851851851864, -0.15, 0.5, 0.0, 0.0, 0.6]",6,[-0.0389  0.      0.375 ],0.375,1.3598802771185075
200 bill credit,"[0.1, 0.0]",2,[0.025 0.05  0.075],0.07500000000000001,0.6204103356684803
200 credit,"[0.05, 0.1875, 0.0, 0.0, 0.0, -0.25, 0.0]",7,[0.    0.    0.025],0.025,1.2518432137308053
200 trade,"[0.0, 0.0, 0.2, 0.0, 0.0, -0.033333333333333326, 0.0, 0.0, 0.0, 0.0, 0.1875, 0.11818181818181818, 0.0, -0.0125, 0.1]",15,[0.   0.   0.05],0.05,1.622751542735135
245 apps,"[0.46666666666666673, 0.0, 0.0]",3,[0.     0.     0.2333],0.23333333333333336,0.9673828218401401
3 GB,"[0.0, -0.1, 0.09999999999999998]",3,[-0.05  0.    0.05],-0.05,0.8575555115685283
3 different colors,"[0.05000000000000001, 0.05000000000000001]",2,[0.05 0.05 0.05],0.05000000000000001,0.7042530176467199
3 dots,"[0.14285714285714285, 0.14285714285714285, 0.39285714285714285, 0.14285714285714285, 0.0, 0.0]",6,[0.0357 0.1429 0.1429],0.14285714285714285,1.308479337799502
3 little dots,"[0.13705357142857144, -0.09375]",2,[-0.036   0.0217  0.0794],0.07935267857142858,0.689754585219577
3 min,"[0.0, 0.0500000000000001, 0.25, 0.0]",4,[0.    0.025 0.1  ],0.10000000000000007,1.0521470054123618
3 phones,"[0.75, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0]",7,[0.     0.     0.1667],0.16666666666666666,1.5966936306069741
3 pm,"[0.2, 0.0, 0.0]",3,[0.  0.  0.1],0.1,0.8341465432481804
30 mins,"[0.35, 0.0, -0.3]",3,[-0.15   0.     0.175],0.175,0.6514714872669906
300 credit,"[0.0, 0.25757575757575757, 0.0, 0.5, 0.21428571428571427, 0.35, 0.5, 0.5, 0.41666666666666663, 0.3333333333333333]",10,[0.2251 0.3417 0.4792],0.47916666666666663,1.4812993930380987
300 gift card,"[0.0, 0.025000000000000022, 0.04545454545454545, 0.06818181818181818]",4,[0.0188 0.0352 0.0511],0.05113636363636363,1.1996067695791937
300 promotion,"[0.0, 0.13636363636363635, 0.25]",3,[0.0682 0.1364 0.1932],0.19318181818181818,0.7662389223820983
300 trade,"[0.0, 0.0, 0.4166666666666667, 0.2, 0.41818181818181815, 0.0, 0.21428571428571427, 0.0, 0.0, -0.06666666666666667]",10,[0.     0.     0.2107],0.2107142857142857,1.3797836947092788
32 GB,"[-0.23333333333333328, 0.0, 0.0]",3,[-0.1167  0.      0.    ],-0.11666666666666664,0.8575555115685283
32 GB card,"[0.0, 0.35]",2,[0.0875 0.175  0.2625],0.26249999999999996,0.7539754951038868
32 GB model,"[0.0, 0.4, 0.0, 0.4]",4,[0.  0.2 0.4],0.4,1.5709819544557633
32 gb,"[0.0, -0.0625, 0.0, 0.4166666666666667, 0.4166666666666667, 0.0, 0.0, 0.0, 0.4, 0.875]",10,[0.     0.     0.4125],0.4125,1.7973534045813868
32 gb model,"[0.0, 0.0, 0.16666666666666666, 0.0]",4,[0.     0.     0.0417],0.041666666666666664,1.5709819544557633
4 G reception,"[0.3375, 0.7, -0.05416666666666666]",3,[0.1417 0.3375 0.5188],0.51875,0.6337631770420782
4 K video,"[0.0, 0.0, 0.0, 0.26666666666666666, 0.26666666666666666, 0.0]",6,[0.  0.  0.2],0.2,1.41048561209153
4 bars,"[0.0, 0.4681818181818182, 0.0, 0.0]",4,[0.    0.    0.117],0.11704545454545455,0.7999467788852472
4 hrs,"[0.0, 0.0, 0.36190476190476195, 0.2857142857142857]",4,[0.     0.1429 0.3048],0.3047619047619048,0.9588236499942965
4000 mah battery,"[0.4, 0.5]",2,[0.425 0.45  0.475],0.475,0.8656319968245754
45 degree angle,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.6354620215485497
