,sentiment,occurences,sentimentsSummary,sentimentEdges,score
'I'm dying,"[0.125, 0.125, 0.125, 0.125]",4,[0.125 0.125 0.125],0.125,0.8472923718018258
/cache partition,"[0.10000000000000002, 0.10000000000000002, -0.058928571428571434, 0.2380952380952381, -0.08333333333333333]",5,[-0.0589  0.1     0.1   ],0.10000000000000002,1.0310783228931397
/data partition,"[0.0, -0.5, 0.0, 0.0]",4,[-0.125  0.     0.   ],-0.125,0.888122526415408
0.2 mm Glass screen protector,"[0.0, -0.030208333333333334]",2,[-0.0227 -0.0151 -0.0076],-0.02265625,0.8764026988548056
1 GB,"[0.0, 0.16666666666666669, 0.0, 0.0]",4,[0.     0.     0.0417],0.04166666666666667,1.0821145751755532
1 MB,"[0.4166666666666667, 0.0, 0.0]",3,[0.     0.     0.2083],0.20833333333333334,0.7824982313329131
1 am,"[0.0, 0.21666666666666667, 0.75]",3,[0.1083 0.2167 0.4833],0.48333333333333334,1.0797007413238136
1 amp,"[0.0, -0.16666666666666666, -0.16666666666666666, 0.15, -0.3, 0.3333333333333333]",6,[-0.1667 -0.0833  0.1125],-0.16666666666666666,1.1914011248905931
1 bar,"[0.0, 0.25, -0.25, 0.05, 0.0, -0.25, 0.0]",7,[-0.125  0.     0.025],-0.125,1.2092387565237115
1 exchange,"[0.06818181818181818, 0.0, 0.0, -0.16666666666666666]",4,[-0.0417  0.      0.017 ],-0.041666666666666664,0.9521949019331533
1 free screen replacement,"[0.325, 0.16012987012987012, 0.4, -0.1518518518518518]",4,[0.0821 0.2426 0.3438],0.34375,1.695761584252577
1 page,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",6,[0.1667 0.1667 0.1667],0.16666666666666666,1.0501294374887817
1-way calling,"[0.5, 0.0, -0.125]",3,[-0.0625  0.      0.25  ],0.25,0.6441355487935373
1-way video calling,"[0.005681818181818177, 0.0, 0.55]",3,[0.0028 0.0057 0.2778],0.2778409090909091,1.2049727177836027
1.2 MB,"[0.0, 0.0, 0.0, -0.16666666666666666]",4,[-0.0417  0.      0.    ],-0.041666666666666664,0.9874028325299522
10 GB,"[-0.3, 0.0, 0.11481481481481481, 0.225, 0.0, 0.35, 0.0, 0.0, 0.0]",9,[0.     0.     0.1148],0.11481481481481481,1.7151110231370565
10 GB plan,"[0.625, 0.5]",2,[0.5312 0.5625 0.5938],0.59375,0.7444939360263932
10 digit number,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.7199159365482322
10 feet,"[-0.25, 0.0, 0.2492063492063492, 0.8, 0.0]",5,[0.     0.     0.2492],0.2492063492063492,1.0474645381739853
10 gb,"[0.0, 0.2, 0.0, 0.5, 0.3, 0.375, -0.18229166666666669, 0.5, 0.5]",9,[0.  0.3 0.5],0.5,1.7151110231370565
10 gig plan,"[0.0, 0.1, 0.5166666666666667, 0.0]",4,[0.     0.05   0.2042],0.2041666666666667,1.3890123642401124
