,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Battery life,"[0.0, 0.0125]",2,[0.0031 0.0062 0.0094],0.009375000000000001,0.6625813755464813
Developer options,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,0.6681655314992514
H811 using Tapatalk,"[0.1, -0.125, 0.5, 0.0, 0.0, 0.0, 0.0, -0.9999999999999999, 0.39285714285714285, -0.0625, 0.0]",11,[-0.0312  0.      0.05  ],0.05,2.1095686857309057
airplane mode,"[0.17613636363636365, -0.75]",2,[-0.5185 -0.2869 -0.0554],-0.5184659090909091,0.6585925416174272
battery life,"[0.0, 0.0, 0.0, 0.0, 0.2857142857142857, -0.2, 0.0, 0.5, -0.125, 0.0, 0.0, 0.2]",12,[0.   0.   0.05],0.05,2.375329385010377
build quality,"[0.22499999999999998, 0.0]",2,[0.0562 0.1125 0.1687],0.16874999999999998,0.7643149769713367
charger,"[0.325, 0.0, 0.4166666666666667]",3,[0.1625 0.325  0.3708],0.37083333333333335,0.7689151900098105
custom recovery,"[0.0, 0.125]",2,[0.0312 0.0625 0.0938],0.09375,0.6991554790367748
daily driver,"[-0.25, 0.0, 0.16666666666666666, -0.25, 0.0]",5,[-0.25  0.    0.  ],-0.25,1.823704458682274
fastboot mode,"[-0.16666666666666666, 0.0, 0.0]",3,[-0.0833  0.      0.    ],-0.08333333333333333,0.6023639062847522
forums,"[0.0, 0.0, 0.0, 0.375]",4,[0.     0.     0.0938],0.09375,0.9209135134517172
google apps,"[0.0, 0.175]",2,[0.0438 0.0875 0.1312],0.13124999999999998,0.6103506053928607
got one,"[0.0, 0.16666666666666666, -0.25]",3,[-0.125   0.      0.0833],-0.125,0.602290301842093
great deal,"[0.8, 0.16944444444444443]",2,[0.3271 0.4847 0.6424],0.6423611111111112,0.6802248585736355
great device,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.7743030789605843
lot,"[0.5, 0.3416666666666666, 0.6]",3,[0.4208 0.5    0.55  ],0.55,1.0799102642308318
next update,"[0.0, 0.3, 0.0]",3,[0.   0.   0.15],0.15,1.3862029537062885
other cities,"[-0.125, -0.125]",2,[-0.125 -0.125 -0.125],-0.125,0.7485142591163807
other phones,"[-0.225, 0.019345238095238092, -0.125]",3,[-0.175  -0.125  -0.0528],-0.175,1.4556913884038074
photos,"[0.2, -0.39000000000000007, 0.3]",3,[-0.095  0.2    0.25 ],0.25,0.6427311431516638
power button,"[0.17613636363636365, -0.15555555555555559, -0.15555555555555559, 0.6428571428571428]",4,[-0.1556  0.0103  0.2928],0.2928165584415584,1.2769358529479256
price,"[0.7, 0.7, 0.7]",3,[0.7 0.7 0.7],0.7,0.8484225792745048
same specs,"[0.35, 0.0]",2,[0.0875 0.175  0.2625],0.26249999999999996,0.8622024535355892
security patches,"[0.2507575757575758, 0.0931818181818182]",2,[0.1326 0.172  0.2114],0.21136363636363642,0.8087825796135054
security update,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.953407771275869
shipping,"[0.0, -0.16666666666666666, 0.0]",3,[-0.0833  0.      0.    ],-0.08333333333333333,0.8696740629818609
system updates,"[0.18333333333333335, 0.0]",2,[0.0458 0.0917 0.1375],0.1375,0.7870495140536444
two phones,"[0.0, 0.0, -0.25]",3,[-0.125  0.     0.   ],-0.125,0.9014533608730662
unlocked bootloader,"[0.0, 0.041666666666666664]",2,[0.0104 0.0208 0.0312],0.03125,0.8422288761801885
update,"[0.0, 0.0, 0.35, 0.5]",4,[0.     0.175  0.3875],0.38749999999999996,1.2859881401163973
