,sentiment,occurences,sentimentsSummary,sentimentEdges,score
-mail app,"[0.3464285714285714, 0.3464285714285714]",2,[0.3464 0.3464 0.3464],0.3464285714285714,0.7061292862153775
019 update,"[-0.25, -0.25]",2,[-0.25 -0.25 -0.25],-0.25,0.6429940700581986
1 GB,"[0.0, 0.3, 0.25]",3,[0.125 0.25  0.275],0.275,0.8575555115685283
1 YouTube video,"[0.0, -0.15]",2,[-0.1125 -0.075  -0.0375],-0.11249999999999999,0.8532091031106995
1 bar,"[0.5, 0.0, 0.125, -0.012857142857142869]",4,[-0.0032  0.0625  0.2188],0.21875,0.8614790720066274
1 gb,"[0.0, 0.5, 0.08750000000000001, 0.3]",4,[0.0656 0.1938 0.35  ],0.35,1.0821145751755532
1 generation,"[0.008333333333333331, 0.008333333333333331, 0.008333333333333331, 0.008333333333333331]",4,[0.0083 0.0083 0.0083],0.008333333333333331,0.9142272670182817
1 min,"[0.17222222222222222, 0.0925925925925926, 0.0]",3,[0.0463 0.0926 0.1324],0.13240740740740742,0.8338067744123265
1 mm,"[0.3, 0.0, 0.0, 0.16875000000000004]",4,[0.     0.0844 0.2016],0.20156250000000003,0.7964758978538852
1 person,"[0.0, 0.3333333333333333]",2,[0.0833 0.1667 0.25  ],0.25,0.6114232234961368
1 security patch,"[0.0, -0.17708333333333331]",2,[-0.1328 -0.0885 -0.0443],-0.1328125,0.8900879345278706
1.5A charge rate,"[0.1324074074074074, 1.0]",2,[0.3493 0.5662 0.7831],0.7831018518518519,0.6534900583267497
10/27/2015 2:00 pm Card,"[-0.1, 0.0]",2,[-0.075 -0.05  -0.025],-0.07500000000000001,0.7431429907038754
100 apps,"[0.0, -0.1]",2,[-0.075 -0.05  -0.025],-0.07500000000000001,0.6103506053928607
100 percent,"[0.016666666666666663, -0.1527777777777778, 0.0, -0.41666666666666663, 0.0, 0.0, -0.16666666666666666, -0.008333333333333331]",8,[-0.1562 -0.0042  0.    ],-0.15625,1.5919251711847584
1080p video,"[0.35, 0.0, 0.2]",3,[0.1   0.2   0.275],0.275,0.864835293489991
10:00 PM,"[-0.07777777777777779, 0.0, 0.3666666666666667]",3,[-0.0389  0.      0.1833],0.18333333333333335,0.8341465432481804
11 pm,"[0.06818181818181818, 0.1, 0.05, 0.0, 0.0]",5,[0.     0.05   0.0682],0.06818181818181818,1.2220025982569753
11/12 delivery,"[0.0, 0.0, -0.3]",3,[-0.15  0.    0.  ],-0.15,0.9262874911898193
111 GB,"[0.75, -0.1, 0.2121969696969697, 0.75, 0.7333333333333334, 0.19107142857142856, 0.75, 0.44000000000000006, 0.7666666666666666, 0.575, 0.75, 0.75, 0.75, 0.6, 0.2, 0.3655844155844156, 0.1324404761904762, 0.478125]",18,[0.2505 0.5875 0.75  ],0.75,2.256168310724833
11:00 am,"[0.037500000000000006, 0.0]",2,[0.0094 0.0188 0.0281],0.028125000000000004,0.6812153226543536
12 apps,"[-0.16666666666666666, 0.0]",2,[-0.125  -0.0833 -0.0417],-0.125,0.6103506053928607
12 delivery,"[0.1875, 0.0, 0.0]",3,[0.     0.     0.0938],0.09375,0.9262874911898193
12 delivery estimate,"[0.0, 0.125]",2,[0.0312 0.0625 0.0938],0.09375,0.7954659990591059
12 inch,"[0.13636363636363635, 0.13636363636363635, 0.0]",3,[0.0682 0.1364 0.1364],0.13636363636363635,0.6467263787225664
12 noon,"[0.0, 0.2, 0.0, 0.25]",4,[0.     0.1    0.2125],0.21250000000000002,0.9011189144830775
12 pm est,"[-0.05, 0.0]",2,[-0.0375 -0.025  -0.0125],-0.037500000000000006,0.7366121709895932
12 pm today,"[0.4, -0.2611111111111111]",2,[-0.0958  0.0694  0.2347],0.23472222222222228,0.7746583555473268
12 ship date,"[0.375, 0.0]",2,[0.0938 0.1875 0.2812],0.28125,0.8943945650031343
12 works,"[0.3, 0.0, 0.2]",3,[0.1  0.2  0.25],0.25,0.9467491113485633
128 GB card,"[0.23750000000000002, 0.44999999999999996]",2,[0.2906 0.3438 0.3969],0.396875,0.7539754951038868
128 GB frost,"[0.5, 0.0, 0.0, -0.125, -0.125]",5,[-0.125  0.     0.   ],-0.125,1.2562961169936098
128 GB models,"[0.0, 0.0, 0.0, 0.21428571428571427, -0.6, -0.6, 0.0, 0.0, -0.3, 0.5, 0.0]",11,[-0.15  0.    0.  ],-0.15,3.0210948187461986
128 GB option,"[0.5, 0.4, 0.0, 0.3]",4,[0.225 0.35  0.425],0.42500000000000004,1.6444822322790784
