,sentiment,occurences,sentimentsSummary,sentimentEdges,score
7.1.2 October 2017,"[0.13333333333333333, 0.13333333333333333]",2,[0.1333 0.1333 0.1333],0.13333333333333333,0.6074168684207665
7.1.2 update,"[-0.15555555555555559, 0.0]",2,[-0.1167 -0.0778 -0.0389],-0.1166666666666667,0.6429940700581986
Normal mode,"[0.3, 0.15]",2,[0.1875 0.225  0.2625],0.26249999999999996,0.6450393669673495
SD cards,"[0.3333333333333333, -0.07142857142857142]",2,[0.0298 0.131  0.2321],0.23214285714285715,0.8231344174965785
Thanks,"[0.35, 0.2, 0.2, 0.2, 0.2, 0.2]",6,[0.2 0.2 0.2],0.2,1.0595679053507387
USB mode,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.6677282074914556
android device,"[0.0, 0.3333333333333333, 0.0]",3,[0.     0.     0.1667],0.16666666666666666,0.7792413242105017
app,"[0.0, 0.0, -0.24375000000000002]",3,[-0.1219  0.      0.    ],-0.12187500000000001,1.1191884393123699
background,"[0.0, 0.0909090909090909, 0.4166666666666667]",3,[0.0455 0.0909 0.2538],0.2537878787878788,0.7697660579507999
blue version,"[0.0625, 0.0]",2,[0.0156 0.0312 0.0469],0.046875,0.7338935267047878
build quality,"[0.0, 0.48333333333333334, 0.5249999999999999, 0.19318181818181818]",4,[0.1449 0.3383 0.4938],0.49374999999999997,1.5286299539426733
car,"[0.175, 0.7]",2,[0.3062 0.4375 0.5687],0.5687499999999999,0.6262899993890222
daily driver,"[0.2375, 0.25]",2,[0.2406 0.2438 0.2469],0.246875,0.7854267592083822
easy way,"[0.16666666666666669, -0.21666666666666667]",2,[-0.1208 -0.025   0.0708],-0.12083333333333333,0.7497416786240656
factory reset,"[0.0, 0.025]",2,[0.0062 0.0125 0.0188],0.018750000000000003,0.710273734555309
fingerprint sensor,"[0.0, 0.39]",2,[0.0975 0.195  0.2925],0.2925,0.8374613088033033
flagship device,"[0.7, 0.125]",2,[0.2688 0.4125 0.5562],0.5562499999999999,0.7277623465752667
good choice,"[0.7, 0.5249999999999999]",2,[0.5687 0.6125 0.6562],0.6562499999999999,0.6947466674087458
good device,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.7659670317809089
great phones,"[0.8, 0.8, 0.8]",3,[0.8 0.8 0.8],0.8,1.3100220753319933
headphone jack,"[0.25833333333333336, 0.0]",2,[0.0646 0.1292 0.1938],0.19375000000000003,0.7340728556238524
home screen,"[-0.05, -0.05, 0.0, 0.10000000000000002, 0.10000000000000002]",5,[-0.05  0.    0.1 ],0.10000000000000002,0.9934786312676203
micro SD card,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.9724563624657049
new Android phones,"[0.13636363636363635, 0.13636363636363635]",2,[0.1364 0.1364 0.1364],0.13636363636363635,0.8074608398876589
nothing,"[0.25, 0.0, 0.0]",3,[0.    0.    0.125],0.125,0.620864891345098
notification panel,"[-0.15555555555555559, -0.16666666666666666]",2,[-0.1639 -0.1611 -0.1583],-0.1638888888888889,0.8333186327115192
official Twitter app,"[0.5, 1.0]",2,[0.625 0.75  0.875],0.875,1.034298393547306
other apps,"[0.3645833333333333, -0.125, -0.125]",3,[-0.125  -0.125   0.1198],-0.125,1.4959717345098764
other devices,"[-0.07916666666666666, -0.0625]",2,[-0.075  -0.0708 -0.0667],-0.075,0.8521130375671512
other stuff,"[0.09375, 0.1875]",2,[0.1172 0.1406 0.1641],0.1640625,0.9075247212505193
others,"[0.0, 0.2, 0.15]",3,[0.075 0.15  0.175],0.175,0.9859549041125535
port issue,"[0.125, -0.6999999999999998]",2,[-0.4937 -0.2875 -0.0812],-0.4937499999999999,0.7355288665952019
price,"[0.5, 0.48333333333333334, 0.0]",3,[0.2417 0.4833 0.4917],0.4916666666666667,0.8484225792745048
safe mode,"[0.19999999999999998, 0.06296296296296296, 0.1875, 0.5, 0.5]",5,[0.1875 0.2    0.5   ],0.5,1.5495954492290418
same price,"[0.0, 0.09375, 0.0]",3,[0.     0.     0.0469],0.046875,1.4344226713741863
security patch,"[-0.15555555555555559, 0.0, 0.2, 0.5706676136363636, -0.6999999999999998]",5,[-0.1556  0.      0.2   ],0.2,2.066720182100526
security patches,"[0.35, 0.8]",2,[0.4625 0.575  0.6875],0.6875000000000001,0.8087825796135054
security updates,"[0.7, 0.5]",2,[0.55 0.6  0.65],0.6499999999999999,0.8878737215240945
timely updates,"[0.8, -0.3, 0.0, 0.5249999999999999, 0.0]",5,[0.    0.    0.525],0.5249999999999999,1.7894537149224634
tough choice,"[-0.19444444444444445, -0.19444444444444445]",2,[-0.1944 -0.1944 -0.1944],-0.19444444444444445,0.6895560179996909
update,"[0.0, 0.0, 0.0, 0.5]",4,[0.    0.    0.125],0.125,1.2859881401163973
was trying,"[0.2, 0.1875]",2,[0.1906 0.1938 0.1969],0.19687500000000002,0.849601171605143
working,"[-0.13571428571428573, -0.0811111111111111, -0.5]",3,[-0.3179 -0.1357 -0.1084],-0.31785714285714284,0.8280881816661183
