,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 update,"[0.0, 0.0, 0.1]",3,[0.   0.   0.05],0.05,1.019121489228317
2016 flagship killer,"[-0.07500000000000001, 0.0, 0.0, 0.0]",4,[-0.0188  0.      0.    ],-0.018750000000000003,1.2223695272872086
3 different locations,"[0.06666666666666667, 0.06666666666666667]",2,[0.0667 0.0667 0.0667],0.06666666666666667,0.668397870576106
300mAh battery,"[0.08333333333333333, 0.0]",2,[0.0208 0.0417 0.0625],0.0625,0.6625813755464813
4 GB,"[0.5, 0.0, 0.0, 0.21428571428571427, 0.0, 0.0]",6,[0.     0.     0.1607],0.1607142857142857,1.3986127991563049
5.5 inch screen,"[0.0, 0.0, 0.0638888888888889]",3,[0.     0.     0.0319],0.03194444444444445,0.6467263787225664
64 GB,"[0.39999999999999997, 0.6499999999999999, 0.13636363636363635]",3,[0.2682 0.4    0.525 ],0.5249999999999999,0.8575555115685283
64 GB model,"[0.3333333333333333, -0.8]",2,[-0.5167 -0.2333  0.05  ],-0.5166666666666667,0.7854909772278816
64 gb,"[0.25, 0.5, 0.0, 0.15142857142857144, 0.0]",5,[0.     0.1514 0.25  ],0.25,1.2562961169936098
810 being,"[0.17222222222222222, 0.0]",2,[0.0431 0.0861 0.1292],0.12916666666666665,0.6082150357942472
Battery life,"[0.0, -1.0]",2,[-0.75 -0.5  -0.25],-0.75,0.6625813755464813
Chinese version,"[0.024999999999999994, 0.0]",2,[0.0062 0.0125 0.0187],0.018749999999999996,0.7259152619283126
Home button,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.8412845134108682
Invite system,"[0.17777777777777778, 0.7]",2,[0.3083 0.4389 0.5694],0.5694444444444443,0.691671029897195
OPT,"[0.10000000000000006, 0.0, 0.0, 0.25]",4,[0.     0.05   0.1375],0.13750000000000004,0.6691292061696369
Only thing,"[0.0, 0.20000000000000004]",2,[0.05 0.1  0.15],0.15000000000000002,0.8708685799884505
Photo showing blurring,"[0.2857142857142857, 0.2857142857142857]",2,[0.2857 0.2857 0.2857],0.2857142857142857,0.829324284291058
Same thing,"[0.0, 0.025]",2,[0.0062 0.0125 0.0188],0.018750000000000003,0.8729198869700509
System update,"[0.15000000000000002, 0.024999999999999994]",2,[0.0562 0.0875 0.1188],0.11875000000000002,0.8623056005540328
Thanks,"[0.2, 0.016666666666666677, -0.024999999999999994, 0.037500000000000006, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",11,[0.1188 0.2    0.2   ],0.2,1.4180100147839785
USB C connector,"[-0.8, 0.0]",2,[-0.6 -0.4 -0.2],-0.6000000000000001,0.6765220715448121
USB Type,"[0.0, 0.0, 0.0, -0.1]",4,[-0.025  0.     0.   ],-0.025,1.6615687809652868
USB c connector,"[0.0, -0.5]",2,[-0.375 -0.25  -0.125],-0.375,0.6765220715448121
USB port,"[-0.6999999999999998, 0.0, 0.0]",3,[-0.35  0.    0.  ],-0.3499999999999999,1.0411269017352072
Update 3,"[0.075, 0.15]",2,[0.0938 0.1125 0.1312],0.13124999999999998,0.6429940700581986
Wireless charging,"[0.6, 0.4, 0.0]",3,[0.2 0.4 0.5],0.5,1.178736796233663
airplane mode,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,1.0438444817182597
alert slider,"[-0.2, -0.14027777777777778, -0.4]",3,[-0.3    -0.2    -0.1701],-0.30000000000000004,1.053986597232498
apps,"[0.0, 0.0, 0.0, 0.5]",4,[0.    0.    0.125],0.125,1.2207012107857214
back buttons,"[0.2333333333333333, 0.0]",2,[0.0583 0.1167 0.175 ],0.175,0.8260777778150176
backup,"[0.1, 0.1, 0.1]",3,[0.1 0.1 0.1],0.1,0.7159829718665817
base model,"[-0.8, -0.8, -0.8, -0.4]",4,[-0.8 -0.8 -0.7],-0.8,1.4263136098361537
battery,"[-0.2, 0.06818181818181818, 0.0, 0.0]",4,[-0.05   0.     0.017],-0.05,1.3251627510929627
battery life,"[-0.15555555555555559, 0.14750000000000002, -0.3125, 0.0, 0.0, 0.0, 0.2916666666666667, 0.4666666666666666, 0.0, 0.0, -0.05000000000000001]",11,[-0.025   0.      0.0738],0.07375000000000001,2.292154960485691
big deal,"[0.27777777777777773, 0.0, 0.0]",3,[0.     0.     0.1389],0.13888888888888887,1.0665995463688442
bottom right corner,"[0.2857142857142857, 0.2857142857142857]",2,[0.2857 0.2857 0.2857],0.2857142857142857,0.9731109403522052
bright sunlight,"[0.38333333333333336, 0.47500000000000003]",2,[0.4063 0.4292 0.4521],0.45208333333333334,0.6198111998169367
