,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1-micron pixels,"[-0.3, 0.0, 0.0]",3,[-0.15  0.    0.  ],-0.15,0.7301725054510572
1.5 GB,"[0.35, -0.03125, 0.0]",3,[-0.0156  0.      0.175 ],0.175,0.8575555115685283
1.5 gb,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,0.8575555115685283
1080p display,"[-0.203125, 0.8, -0.2, 0.0]",4,[-0.2008 -0.1     0.2   ],-0.20078125000000002,0.7771129458439365
128 GB model,"[0.0, 0.55, 0.0]",3,[0.    0.    0.275],0.275,1.2449737435610082
128 GB storage,"[0.21428571428571427, -0.6999999999999998, 0.0, 0.9, 0.3333333333333333, 0.3]",6,[0.0536 0.2571 0.325 ],0.325,1.999462916287135
128 GB variant,"[0.1, 0.625, 0.0]",3,[0.05   0.1    0.3625],0.3625,1.1536070060597796
128 GB version,"[0.0, 0.0, -0.1875]",3,[-0.0938  0.      0.    ],-0.09375,1.2364030508377926
128 gb,"[-0.325, 0.175, 0.07083333333333335, 0.0, 0.5, 0.4000000000000001, 0.4380952380952381, 0.46875, 0.0, 0.39285714285714285]",10,[0.0177 0.2839 0.4286],0.4285714285714286,1.7973534045813868
128 gb storage,"[0.26666666666666666, 0.0]",2,[0.0667 0.1333 0.2   ],0.2,0.7734978421270414
20 movies,"[0.33999999999999997, 0.33999999999999997, 0.33999999999999997, 0.33999999999999997, 0.33999999999999997, 0.33999999999999997, 0.33999999999999997, 0.33999999999999997, 0.33999999999999997, 0.33999999999999997, 0.33999999999999997, 0.33999999999999997]",12,[0.34 0.34 0.34],0.33999999999999997,1.3529267435799182
2017 lol,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.6359613932313475
3.5 mm headphone jack,"[0.121875, 0.121875, 0.0]",3,[0.0609 0.1219 0.1219],0.121875,1.4253839850097147
3rd party,"[0.0, 0.3666666666666667, 0.0, 0.0, 0.22013888888888888]",5,[0.     0.     0.2201],0.22013888888888888,0.8030408861737756
3rd party ones,"[0.46875, 0.09999999999999999]",2,[0.1922 0.2844 0.3766],0.3765625,0.7291704840247397
474 update,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6429940700581986
4k video,"[0.0, 0.0, 0.5, 0.5, 0.0, -0.013888888888888895, -1.0, 0.0, 0.26875, -0.5, 0.0, 0.16666666666666666, 0.5]",13,[0.     0.     0.2688],0.26875,2.0191461111694764
64 GB version,"[0.0, 0.0, 1.0, 0.11666666666666668]",4,[0.     0.0583 0.3375],0.3375,1.560166944360173
64 gb,"[0.22000000000000003, 1.0, 0.0, 0.3, -0.13333333333333333, 0.4000000000000001, 0.0, 0.0, 0.65, 0.33999999999999997, 0.275, 0.33999999999999997, 0.275, 0.33999999999999997, 0.275, 0.33999999999999997, 0.275, 0.33999999999999997, 0.275, 0.33999999999999997, 0.275, 0.33999999999999997, 0.275, 0.33999999999999997, 0.275, 0.33999999999999997, 0.275, 0.33999999999999997, 0.275, 0.33999999999999997, 0.275, 0.33999999999999997, 0.275, 0.0]",34,[0.275 0.275 0.34 ],0.33999999999999997,2.752608845590512
835 processor,"[0.0, 0.8, 0.0]",3,[0.  0.  0.4],0.4,0.6607910783715496
Apps,"[-0.3125, 0.0]",2,[-0.2344 -0.1562 -0.0781],-0.234375,0.6103506053928607
Bad software,"[-0.05833333333333327, 0.017857142857142877]",2,[-0.0393 -0.0202 -0.0012],-0.039285714285714236,0.9557816111047983
Canadian website,"[-0.037500000000000006, 0.0, 0.125]",3,[-0.0188  0.      0.0625],0.0625,1.1817531270231938
Center swipe,"[-0.1, -0.12222222222222223]",2,[-0.1167 -0.1111 -0.1056],-0.11666666666666667,0.6486148032691837
Cheers,"[0.0, 0.0, 0.0, 0.0, 0.25, 0.19999999999999998, 0.2, 0.2857142857142857]",8,[0.     0.1    0.2125],0.21250000000000002,1.50388348201571
Did anyone,"[0.0, 0.3857142857142857]",2,[0.0964 0.1929 0.2893],0.28928571428571426,0.6121411592414687
Dual cameras,"[-0.09375, -0.09375, 0.0, -0.18214285714285716, 0.0, -0.08333333333333333]",6,[-0.0938 -0.0885 -0.0208],-0.09375,0.9502503557389985
Ear headphone,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.7576581101585063
Face unlock,"[0.0, 0.4666666666666666, 0.6000000000000001]",3,[0.2333 0.4667 0.5333],0.5333333333333333,1.1883573467091317
GB,"[0.0, -0.25, -0.15, -0.2777777777777778, 1.0, 0.08333333333333333]",6,[-0.225  -0.075   0.0625],-0.225,1.3986127991563049
Good luck,"[0.7, -0.04583333333333336, 0.45999999999999996, 0.8375, 0.3444444444444444, 0.925, 0.85, 0.7]",8,[0.4311 0.7    0.8406],0.8406250000000001,2.4089393789022675
IP certification,"[0.0, 0.25, 0.0]",3,[0.    0.    0.125],0.125,0.8988776330016178
IP rating,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.6329436021873515
IR blaster appeal,"[0.06874999999999999, 0.06874999999999999]",2,[0.0687 0.0687 0.0687],0.06874999999999999,0.9113800107963768
IR blasters,"[0.25, 0.25, 0.15214285714285714, 0.0, 0.0, 0.25, 0.25, 0.15214285714285714, 0.0, 0.0, 0.0]",11,[0.     0.1521 0.25  ],0.25,2.1326856941952093
Indian minds,"[0.4875, 0.0, 0.0, 0.09375]",4,[0.     0.0469 0.1922],0.1921875,0.9014005101401448
Lame excuse,"[-0.275, -0.18333333333333335, -0.09166666666666667]",3,[-0.2292 -0.1833 -0.1375],-0.22916666666666669,1.0077760885088163
Low light,"[0.48, 0.3]",2,[0.345 0.39  0.435],0.435,0.7748298302733668
Mobile network,"[0.19166666666666665, -0.25]",2,[-0.1396 -0.0292  0.0812],-0.13958333333333334,0.6743357842074725
OP,"[0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, -0.16666666666666666, 0.0, 0.7, 0.15]",10,[0.     0.     0.1125],0.11249999999999999,1.4308291242868867
OP cases,"[0.25416666666666665, 0.07727272727272727]",2,[0.1215 0.1657 0.2099],0.2099431818181818,0.7311521594949474
OP forum,"[0.2857142857142857, -0.125]",2,[-0.0223  0.0804  0.183 ],0.18303571428571427,0.7744844616260921
OP forums,"[-0.1, 0.17045454545454544, 0.0]",3,[-0.05    0.      0.0852],0.08522727272727272,1.1329801630610334
OP phones,"[0.0375, 0.0375]",2,[0.0375 0.0375 0.0375],0.0375,0.7916246529885798
OPs comment,"[0.20714285714285713, 0.20714285714285713]",2,[0.2071 0.2071 0.2071],0.20714285714285713,0.6335987708902076
OS,"[0.2, 0.5, 0.0, -0.1875, 0.0, 0.6]",6,[0.    0.1   0.425],0.425,1.569643649662453
OTAs lol,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.6359613932313475
Only thing,"[0.0, -0.4]",2,[-0.3 -0.2 -0.1],-0.30000000000000004,0.8708685799884505
PC,"[0.225, 0.0, 0.16666666666666666, 0.5, 0.0, -0.0585978835978836]",6,[0.     0.0833 0.2104],0.21041666666666667,1.448741840920837
Performing micro surgery,"[0.20416666666666664, 0.20416666666666664]",2,[0.2042 0.2042 0.2042],0.20416666666666664,0.7398240913744688
Personal preferences,"[-0.041666666666666664, -0.041666666666666664]",2,[-0.0417 -0.0417 -0.0417],-0.041666666666666664,0.6138142328429875
SD card,"[0.3, 0.10000000000000002, 0.0, -0.6999999999999998, -0.5]",5,[-0.5  0.   0.1],-0.5,1.7745763670693586
