,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 yesterday,"[0.0, 0.0, 0.78]",3,[0.   0.   0.39],0.39,0.660034510133699
10 pm,"[0.0, -0.125, 0.0]",3,[-0.0625  0.      0.    ],-0.0625,0.8341465432481804
10 posts,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,0.9833640604356522
13MPx sensor,"[0.275, 0.275, 0.275, 0.275, 0.275, 0.275, 0.275]",7,[0.275 0.275 0.275],0.275,1.5657879762662905
16 GB,"[0.6, 0.0, -0.11666666666666665, 0.5, 0.0]",5,[0.  0.  0.5],0.5,1.2562961169936098
16 GB version,"[0.5, 0.0, 0.2, 0.0]",4,[0.    0.1   0.275],0.275,1.560166944360173
16 gb model,"[0.0, 0.14444444444444446]",2,[0.0361 0.0722 0.1083],0.10833333333333334,0.7854909772278816
16 gig,"[0.1, 0.0, 0.20833333333333334, 0.25, 0.4]",5,[0.1    0.2083 0.25  ],0.25,1.0986410237601392
16gig N5,"[-0.08333333333333333, -0.08333333333333333, -0.08333333333333333]",3,[-0.0833 -0.0833 -0.0833],-0.08333333333333333,0.7878213964073948
2 phones,"[0.0, 0.375, 0.0]",3,[0.     0.     0.1875],0.1875,0.9014533608730662
2 using Tapatalk,"[0.0, 0.10000000000000002, 0.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75, 0.1]",11,[0.  0.  0.1],0.1,2.1095686857309057
3 GB,"[0.2, 0.0, 0.0, 0.0, 0.8, 0.1]",6,[0.    0.05  0.175],0.17500000000000002,1.3986127991563049
3 gb,"[0.34, 0.0, -0.15555555555555559]",3,[-0.0778  0.      0.17  ],0.17,0.8575555115685283
3 invites,"[0.0, 0.15625, 0.0]",3,[0.     0.     0.0781],0.078125,0.6557159047582692
3 using Tapatalk,"[0.25, 0.0, 0.0]",3,[0.    0.    0.125],0.125,0.966513470468935
32 GB,"[0.5, 0.0, 0.0, 0.0]",4,[0.    0.    0.125],0.125,1.0821145751755532
32 gb,"[0.7, -0.1159090909090909, 0.0, -0.0625, 0.0, 0.0, 0.7]",7,[-0.0312  0.      0.35  ],0.35,1.5189398394246814
33R update,"[0.0, 0.0, 0.5]",3,[0.   0.   0.25],0.25,1.019121489228317
3rd party apps,"[-0.1, 0.0]",2,[-0.075 -0.05  -0.025],-0.07500000000000001,0.7750514100933567
4 using Tapatalk,"[0.25, 0.353125, 0.25]",3,[0.25   0.25   0.3016],0.3015625,0.966513470468935
5 lol,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.6359613932313475
5 using AC Forums mobile app,"[0.5, 0.390625, 0.0, 0.0, -0.125, 0.625, 0.0, 0.0]",8,[0.    0.    0.418],0.41796875,4.1180146986320105
5 using Tapatalk,"[0.0, 0.0, 0.4, 0.75, 0.1, 0.0, 0.0, 0.0]",8,[0.    0.    0.175],0.17500000000000002,1.8294063172393773
6 ordering fiasco,"[-0.4, 0.0]",2,[-0.3 -0.2 -0.1],-0.30000000000000004,0.7121303279776464
64 GB,"[0.0, -0.16666666666666666, 0.20000000000000004, 0.5, 0.0, -0.125]",6,[-0.0938  0.      0.15  ],0.15000000000000002,1.3986127991563049
64 GB version,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.20833333333333334, -0.041666666666666664, 0.0]",8,[0.     0.     0.0521],0.052083333333333336,2.3402504165402593
64 gb,"[0.21777777777777776, 0.0, 0.0, 0.04, 0.0, 0.2, -0.16666666666666666, 0.2, 0.1, 0.0, 0.625, 0.1, 0.25, 0.0, 0.0, -0.16666666666666666, 0.16666666666666669, 0.425, 0.16666666666666666, -0.22916666666666666, 0.0, 0.0, 0.2, 0.08333333333333333, 0.5, 0.016666666666666663, 0.0]",27,[0.   0.04 0.2 ],0.2,2.5726665347055846
64 gb model,"[0.4000000000000001, 0.7, 0.14444444444444446, 0.0]",4,[0.1083 0.2722 0.475 ],0.47500000000000003,1.5709819544557633
64 gb storage,"[-0.018749999999999996, 0.0, -0.7999999999999999]",3,[-0.4094 -0.0187 -0.0094],-0.409375,1.2259650741600938
64 gig,"[0.0, 0.0, 0.8, 0.6, -0.16666666666666666]",5,[0.  0.  0.6],0.6,1.0986410237601392
7 using Tapatalk,"[0.0, 0.0, 0.30625]",3,[0.     0.     0.1531],0.153125,0.966513470468935
8.9 mm,"[0.175, -0.08333333333333333, 0.4]",3,[0.0458 0.175  0.2875],0.2875,0.631192215413311
801 processor,"[0.0, 0.625, 0.0, -0.08333333333333333]",4,[-0.0208  0.      0.1562],0.15625,0.8338255044783587
900 using Tapatalk,"[0.0, 0.25, 0.2, 0.0, 0.2, 0.5]",6,[0.05   0.2    0.2375],0.2375,1.576315576215394
APN,"[0.0, 0.0, 0.5]",3,[0.   0.   0.25],0.25,0.711403941164274
ATT store,"[-1.0, 0.0]",2,[-0.75 -0.5  -0.25],-0.75,0.7380947052227933
Auto brightness,"[0.5, -0.6999999999999998]",2,[-0.4 -0.1  0.2],-0.3999999999999999,0.7296465920118238
