,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 GB,"[0.49, 0.1125, 0.2875]",3,[0.2    0.2875 0.3888],0.38875,0.8575555115685283
123 apps,"[0.0, 0.0, 0.025]",3,[0.     0.     0.0125],0.0125,0.9673828218401401
2 GB,"[0.16, 0.26666666666666666, 0.0]",3,[0.08   0.16   0.2133],0.21333333333333332,0.8575555115685283
4 GB,"[0.17250000000000001, 0.0, 0.0]",3,[0.     0.     0.0863],0.08625000000000001,0.8575555115685283
8 GB,"[0.2, 0.0, 0.2875]",3,[0.1    0.2    0.2438],0.24375,0.8575555115685283
Apps,"[0.4, 0.4, 0.0, 0.4, 0.0, 0.5, 0.0, 0.0]",8,[0.  0.2 0.4],0.4,1.8310518161785818
Buy,"[1.0, 1.0]",2,[1. 1. 1.],1.0,0.6280937270359803
Central Forums,"[0.3458333333333334, 0.2604166666666667]",2,[0.2818 0.3031 0.3245],0.3244791666666667,0.7379263010320383
Counterfeit cards,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,0.64744347203142
Easy Way,"[0.43333333333333335, 0.43333333333333335]",2,[0.4333 0.4333 0.4333],0.43333333333333335,0.7497416786240656
Good luck,"[0.7, 0.6, 0.35, 0.2875, 0.7, 0.7, 0.6]",7,[0.475 0.6   0.7  ],0.7,2.2542492740998896
Good morning,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.7633297037699625
Internal Storage,"[-0.16666666666666666, 0.225, 0.09999999999999999]",3,[-0.0333  0.1     0.1625],0.1625,1.0601342515631433
Last night,"[0.20833333333333334, 0.25]",2,[0.2188 0.2292 0.2396],0.23958333333333334,0.6639010612363101
Long press,"[0.037500000000000006, -0.025]",2,[-0.0094  0.0063  0.0219],0.021875000000000006,0.7273769861150712
Mobile,"[0.0, 0.25, 0.0]",3,[0.    0.    0.125],0.125,0.6283375685423909
N9100 using Xparent Red Tapatalk 2,"[0.08, 0.1, 0.2, 0.4000000000000001, 0.4, 0.0, 0.20833333333333334, 0.0]",8,[0.06   0.15   0.2562],0.25625,2.561930958510525
Power button,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.6384679264739628
SD,"[0.0, 0.0, 0.0, 0.4]",4,[0.  0.  0.1],0.1,1.1100286575501286
SD card,"[0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0]",7,[0.    0.    0.125],0.125,2.145572771882472
SIM card,"[0.0, 0.0, -0.056249999999999994, -0.2333333333333333, 0.054047619047619046]",5,[-0.0562  0.      0.    ],-0.056249999999999994,0.9324207873790051
Safe mode,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,0.6673744344801571
Same problem,"[0.06818181818181818, 0.0, -0.16666666666666666]",3,[-0.0833  0.      0.0341],-0.08333333333333333,1.5831959690541748
Straight talk,"[0.2, 0.2, 0.175]",3,[0.1875 0.2    0.2   ],0.2,1.3766553738828118
System Settings,"[0.0, 0.2857142857142857]",2,[0.0714 0.1429 0.2143],0.21428571428571427,0.8001390144465215
Thanks,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.06666666666666667, 0.2, 0.225, 0.2, 0.2]",12,[0.2 0.2 0.2],0.2,1.469464723991295
USB cable,"[0.0, 0.0, 0.23333333333333334]",3,[0.     0.     0.1167],0.11666666666666667,1.2551467195938406
USB port,"[0.07346542346542348, 0.07346542346542348, -0.04999999999999999]",3,[0.0117 0.0735 0.0735],0.07346542346542348,1.0411269017352072
account,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.4333333333333333, 0.4, 0.0]",8,[0.  0.  0.1],0.1,1.0316153661960321
actual apps,"[-0.0625, 0.0]",2,[-0.0469 -0.0312 -0.0156],-0.046875,0.7625171293612769
annoying alert,"[-1.0, -0.4]",2,[-0.85 -0.7  -0.55],-0.85,0.7999426383519483
antivirus apps,"[0.0, 0.0625]",2,[0.0156 0.0312 0.0469],0.046875,0.7786302660262424
anything,"[0.0, 0.0, -0.056249999999999994, 0.0, -0.15555555555555559]",5,[-0.0562  0.      0.    ],-0.056249999999999994,1.477621292979321
