,sentiment,occurences,sentimentsSummary,sentimentEdges,score
0 issues,"[0.0, 0.0, 0.1]",3,[0.   0.   0.05],0.05,0.7971095840598031
000 mah battery,"[0.0, 0.0, -0.125]",3,[-0.0625  0.      0.    ],-0.0625,1.371994254391327
000 points,"[0.2857142857142857, 1.0, 0.0, 0.0, 0.0, 0.0, 0.3, 0.0, 0.0, -0.16666666666666666, 0.0, 0.0]",12,[0.     0.     0.0714],0.07142857142857142,1.263248137744031
000mah battery,"[0.0, 0.16666666666666669]",2,[0.0417 0.0833 0.125 ],0.125,0.6625813755464813
1 Android patch level,"[0.19999999999999998, 0.0]",2,[0.05 0.1  0.15],0.15,0.8408806631853022
1 GB,"[0.05925925925925926, 0.4, 0.048888888888888885]",3,[0.0541 0.0593 0.2296],0.22962962962962963,0.8575555115685283
1 MB,"[-0.25, 0.0, 0.2765151515151515, -0.08333333333333333, -0.16666666666666666, 0.1277777777777778, 0.07083333333333333, -0.023809523809523808, 0.0, -0.07142857142857142, -0.25, 0.5, -0.01272727272727272, 0.0, 0.0, 0.0]",16,[-0.0744  0.      0.0177],-0.0744047619047619,1.9748056650599044
1 TB,"[0.0, 0.13384615384615384, 0.16, 0.0, 0.4, 0.0, 0.35, -0.1]",8,[0.     0.0669 0.2075],0.2075,0.9390184083356155
1 bar,"[0.0, 0.10416666666666666, 0.0, 0.0, -0.07777777777777779, 0.0, -0.21851851851851853, 0.16666666666666666, -0.20833333333333331]",9,[-0.0778  0.      0.    ],-0.07777777777777779,1.3654120242865655
1 device,"[0.175, 0.0, 0.5]",3,[0.0875 0.175  0.3375],0.3375,0.7792413242105017
1 mm,"[0.25, -0.05416666666666667, 0.0, -0.07333333333333333, -0.09166666666666667, 0.6000000000000001]",6,[-0.0685 -0.0271  0.1875],0.1875,1.0294301643402537
1 new line,"[0.13636363636363635, -0.02121212121212121]",2,[0.0182 0.0576 0.097 ],0.09696969696969696,0.6952615777936292
1 security patch,"[0.0, 0.4, 0.0, 0.0]",4,[0.  0.  0.1],0.1,1.7801758690557412
1 security patch level,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,1.0861875120831852
1 update,"[0.0, -0.025568181818181823, 0.0, 0.0]",4,[-0.0064  0.      0.    ],-0.006392045454545456,1.2859881401163973
10 GB,"[0.0, 0.0, 0.0, -0.04999999999999999, -0.07777777777777779, 0.0, -0.15555555555555559]",7,[-0.0639  0.      0.    ],-0.06388888888888888,1.5189398394246814
10 bucks,"[0.0, 0.16666666666666666, 0.0, 0.5]",4,[0.     0.0833 0.25  ],0.25,0.7256725340573227
10 feet,"[0.0, 0.0, 0.07500000000000001, 0.04464285714285715, 0.0]",5,[0.     0.     0.0446],0.04464285714285715,1.0474645381739853
10 gb,"[0.2, 0.16666666666666666, 0.2]",3,[0.1833 0.2    0.2   ],0.2,0.8575555115685283
10 hrs,"[0.35, 0.0, 0.0]",3,[0.    0.    0.175],0.175,0.7598497650227735
10 inches,"[0.5, 0.0, 0.19642857142857142]",3,[0.0982 0.1964 0.3482],0.3482142857142857,0.7661862874988873
10 laptop,"[0.49523809523809526, 0.0, 0.1277777777777778, 0.07083333333333333, 0.0]",5,[0.     0.0708 0.1278],0.1277777777777778,1.1194129354342057
10 min,"[-0.24444444444444446, -0.08333333333333333, -0.038461538461538464, 0.0, 0.0, 0.13636363636363635]",6,[-0.0721 -0.0192  0.    ],-0.07211538461538461,1.3598802771185075
10 nm processor,"[0.0, -0.08333333333333333]",2,[-0.0625 -0.0417 -0.0208],-0.0625,0.6224876103739513
10 percent,"[-0.15555555555555559, 0.16, 0.0]",3,[-0.0778  0.      0.08  ],0.08,0.8410472334273166
10 pm,"[-0.02500000000000001, 0.0, 0.049999999999999996, 0.0, 0.17222222222222222, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, -0.07777777777777779]",12,[0.     0.     0.0125],0.012499999999999999,1.8867222891962954
10 pm last night,"[0.06818181818181818, 0.0]",2,[0.017  0.0341 0.0511],0.05113636363636363,0.9148200904489505
10 sec,"[-0.1, -0.1, -0.07500000000000001, 0.025]",4,[-0.1    -0.0875 -0.05  ],-0.1,0.6099638151559892
10 shortcuts,"[0.0, 0.25, 0.0, 0.0]",4,[0.     0.     0.0625],0.0625,0.8208784927125423
10.1 tablet,"[0.0, 0.4166666666666667, 0.475]",3,[0.2083 0.4167 0.4458],0.4458333333333333,0.8676305156194526
100 miles,"[0.0, -0.0625, 0.0]",3,[-0.0312  0.      0.    ],-0.03125,0.6538024682542216
100 pages,"[0.2, 0.3333333333333333, 0.1]",3,[0.15   0.2    0.2667],0.26666666666666666,0.8238576191590518
100 percent,"[0.5125, 0.13636363636363635, 0.5, 0.0, 0.3666666666666667, 0.8, 0.07500000000000001, 0.6666666666666666, 0.0, 0.2833333333333334]",10,[0.0903 0.325  0.5094],0.5093749999999999,1.7627536503723413
100 price jump,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.8181456240693449
1000 bucks,"[0.5, -0.084375, 0.0, 0.8, 0.8]",5,[0.  0.5 0.8],0.8,0.8424797222579019
11 people,"[0.0, 0.0, -0.4]",3,[-0.2  0.   0. ],-0.2,0.6193370651682241
12 am,"[-0.05, 0.0, 0.0, 0.0]",4,[-0.0125  0.      0.    ],-0.0125,1.3624306453087072
12 payments,"[0.0, 0.0, 0.04545454545454545, 0.0, -0.051851851851851864, 0.5, 0.0]",7,[0.     0.     0.0227],0.022727272727272724,1.2054848261718387
12 pm,"[-0.15555555555555559, 0.0, 0.0, 0.25]",4,[-0.0389  0.      0.0625],0.0625,1.0525757459481149
128 GB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.2, -0.125, 0.0, 0.0, 0.5, 0.15666666666666668, 0.0, 0.1, 0.0, 0.0, 0.0]",16,[0.    0.    0.025],0.025,2.1642291503511064
128 GB SD Card,"[0.46875, 0.0, 0.025000000000000005]",3,[0.0125 0.025  0.2469],0.246875,1.5752261410255577
128 GB card,"[0.30000000000000004, 0.0, 0.0, 0.19642857142857142, 0.0, 0.15000000000000002, 0.0, 0.27708333333333335]",8,[0.     0.075  0.2166],0.2165922619047619,2.2619264853116605
128 GB memory,"[-0.025, 0.0]",2,[-0.0188 -0.0125 -0.0062],-0.018750000000000003,0.7702911371396015
128 GB version,"[0.5, 0.0, 0.0, 0.1, 0.18125000000000002, 0.4, -0.052083333333333315]",7,[0.     0.1    0.2906],0.290625,2.1899711752405517
128 gb,"[0.09814814814814814, 0.0, 0.0, 0.06666666666666667, 0.6083333333333334, 0.26666666666666666, 0.0, 0.2, 0.15416666666666665, -0.3, 0.3666666666666667, -0.16666666666666666, 0.0, -0.1, 0.0, 0.0, 0.10416666666666666, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.20000000000000004, 0.6, 0.0, 0.09999999999999999, 0.0, 0.5]",29,[0.  0.  0.2],0.2,2.628446020376692
128 gb storage,"[0.0, 0.3, -0.16666666666666666, 0.0, 0.39999999999999997]",5,[0.  0.  0.3],0.3,1.7960063709695269
13 pages,"[-0.05, 0.0, 0.0]",3,[-0.025  0.     0.   ],-0.025,0.8238576191590518
15 feet,"[0.0, 0.25, 0.0]",3,[0.    0.    0.125],0.125,0.7150057822619642
150 discount,"[0.0, 0.3, 0.2, 0.3, 0.1, 0.0]",6,[0.025 0.15  0.275],0.27499999999999997,0.9849702924352972
150 savings,"[0.4166666666666667, 0.0, 0.0, 0.3, -0.3, 0.0]",6,[0.    0.    0.225],0.22499999999999998,0.7324262684393249
16/9 ratio,"[0.2, 0.8, 0.0]",3,[0.1 0.2 0.5],0.5,0.7244719492700041
160 characters,"[0.19999999999999998, 0.0, 0.0, 0.0, -0.07142857142857142, 0.0, -0.05555555555555555, 0.5, -0.08333333333333333]",9,[-0.0556  0.      0.    ],-0.05555555555555555,0.9954487499075516
