,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 person,"[0.0, -0.125]",2,[-0.0938 -0.0625 -0.0312],-0.09375,0.6114232234961368
10 bucks,"[0.0, 0.0, 0.0, 0.07916666666666666]",4,[0.     0.     0.0198],0.019791666666666666,0.7256725340573227
10 pm,"[-0.125, 0.13636363636363635, 0.0]",3,[-0.0625  0.      0.0682],0.06818181818181818,0.8341465432481804
100 percent,"[0.028571428571428564, 0.0, 0.0, 0.0, 0.1, 0.55]",6,[0.     0.0143 0.0821],0.08214285714285716,1.3716889571555695
2 cents,"[0.0, 0.0, 0.15, 0.3]",4,[0.     0.075  0.1875],0.1875,0.9159970385686446
2 mins crashing,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.6074257774920093
2.4 GHz,"[0.0, 0.0, 0.0, 0.25]",4,[0.     0.     0.0625],0.0625,0.6813239853273019
3 GB,"[0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994, 0.039999999999999994]",11,[0.04 0.04 0.04],0.039999999999999994,1.871750688175288
3 dots,"[-0.016666666666666666, -0.024999999999999994, -0.08571428571428572]",3,[-0.0554 -0.025  -0.0208],-0.055357142857142855,0.8022904327633708
3000 mAh battery,"[0.7, -0.125]",2,[0.0812 0.2875 0.4937],0.4937499999999999,0.8656319968245754
32 GB version,"[-0.09375, 0.0, -0.044444444444444446, -0.125, 0.3333333333333333]",5,[-0.0938 -0.0444  0.    ],-0.09375,1.8112977304122269
32 gb,"[0.375, 0.0, 0.0, 0.11393939393939394, 0.0, 0.0, 0.0, 0.2, 0.32142857142857145, 0.0, -0.16666666666666666]",11,[0.    0.    0.157],0.15696969696969698,1.871750688175288
32 gig,"[0.09999999999999999, 0.0984963269054178, 0.04722222222222222]",3,[0.0729 0.0985 0.0992],0.0992481634527089,0.7499391683350957
32 gig model,"[0.26666666666666666, -0.05833333333333333]",2,[0.0229 0.1042 0.1854],0.18541666666666667,0.7384737519429971
32 gigs,"[0.18371212121212122, 0.15, 0.4, 0.02621492704826038, -0.027184606481481497, 0.08568580542264752, 0.0, 0.0, 0.0, 0.0]",10,[0.     0.0131 0.1339],0.13392145135566186,1.2136375889785564
3500mHa battery,"[0.37916666666666665, 0.178125]",2,[0.2284 0.2786 0.3289],0.32890625,0.6625813755464813
3rd party app,"[0.0, 0.125, 0.1, 0.0, -0.056249999999999994]",5,[0.  0.  0.1],0.1,1.9774651087681698
3rd party apps,"[0.1375, 0.0, 0.13333333333333333, 0.1111111111111111]",4,[0.0833 0.1222 0.1344],0.13437500000000002,1.5501028201867133
45 mins,"[0.0, 0.13636363636363635, 0.0]",3,[0.     0.     0.0682],0.06818181818181818,0.6514714872669906
4k video,"[0.04722222222222222, 0.04722222222222222, 0.04722222222222222, 0.0]",4,[0.0354 0.0472 0.0472],0.04722222222222222,1.091300637203078
5 apps,"[-0.03571428571428571, 0.26666666666666666]",2,[0.0399 0.1155 0.1911],0.1910714285714286,0.6103506053928607
5 cases,"[0.0, 0.25, 0.5]",3,[0.125 0.25  0.375],0.375,0.7669527175625795
5 hrs,"[-0.4999999999999999, 0.0, 0.0]",3,[-0.25  0.    0.  ],-0.24999999999999994,0.7598497650227735
5.1.1 version,"[0.13636363636363635, 0.5, 0.5]",3,[0.3182 0.5    0.5   ],0.5,0.7044425401707985
6 story building,"[0.15000000000000002, 0.16, 0.0]",3,[0.075 0.15  0.155],0.15500000000000003,1.1993117797021864
6.0 update,"[0.0, 0.13636363636363635]",2,[0.0341 0.0682 0.1023],0.10227272727272727,0.6429940700581986
60 feet,"[-0.035317460317460324, 0.0, 0.0]",3,[-0.0177  0.      0.    ],-0.017658730158730162,0.7150057822619642
60 ft,"[0.16, 0.0, 0.0, 0.15000000000000002, 0.0, 0.45, 0.15000000000000002, 0.0, -0.04999999999999999]",9,[0.   0.   0.15],0.15000000000000002,0.98866820497216
64 GB,"[0.5, 0.0, 0.2, 0.0, 0.0, 0.15, 0.07777777777777779, 0.22499999999999998, 0.0, 0.2, 0.0]",11,[0.     0.0778 0.2   ],0.2,1.871750688175288
64 GB version,"[0.0, 0.0, 0.18939393939393936, 0.0, 0.39999999999999997]",5,[0.     0.     0.1894],0.18939393939393936,1.8112977304122269
64 gb,"[-0.2916666666666667, 0.0, 0.0, 0.11393939393939394, 0.0, 0.21875, 0.0, 0.0, 0.0, 0.25, 0.0, 0.13636363636363635, 0.0, 0.08035714285714285, 0.0, 0.4, 0.2]",17,[0.     0.     0.1364],0.13636363636363635,2.2115515580027356
64 gb gold,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.7322291626613244
64 gig,"[0.02621492704826038, 0.10580808080808081, 0.04722222222222222, 0.04722222222222222, 0.20054788961038958, 0.2041666666666667, 0.0, 0.0, 0.0, 0.2]",10,[0.0066 0.0472 0.1765],0.17645202020202022,1.5717999584313849
64 gig model,"[0.26666666666666666, 0.0]",2,[0.0667 0.1333 0.2   ],0.2,0.7384737519429971
64 gig version,"[0.18371212121212122, 0.0]",2,[0.0459 0.0919 0.1378],0.1377840909090909,0.7326851322037209
8 am,"[0.028571428571428564, 0.35]",2,[0.1089 0.1893 0.2696],0.2696428571428571,0.6812153226543536
ATT,"[0.0, 0.0, 0.11481481481481481, 0.0]",4,[0.     0.     0.0287],0.028703703703703703,1.0656511881523176
Android apps,"[1.0, 0.5, 0.5]",3,[0.5  0.5  0.75],0.75,0.9673828218401401
Anyone having,"[0.06666666666666667, -0.6999999999999998]",2,[-0.5083 -0.3167 -0.125 ],-0.5083333333333332,0.8399148181752667
App switching,"[0.18333333333333335, 0.5]",2,[0.2625 0.3417 0.4208],0.42083333333333334,0.8955125631231665
