,sentiment,occurences,sentimentsSummary,sentimentEdges,score
-87 dBm,"[0.0, 0.0, -0.25, 0.0]",4,[-0.0625  0.      0.    ],-0.0625,0.8309982241404098
-Start Using,"[-0.016666666666666677, -0.016666666666666677]",2,[-0.0167 -0.0167 -0.0167],-0.016666666666666677,0.6098021057464592
-in dialer type,"[0.05000000000000002, -0.15]",2,[-0.1  -0.05  0.  ],-0.09999999999999998,0.8825002103096682
.amr files,"[0.2, 0.0, 0.1, 0.0]",4,[0.    0.05  0.125],0.125,0.8208795437187304
/data partition,"[0.25, 0.0, 0.10000000000000002]",3,[0.05  0.1   0.175],0.17500000000000002,0.7038204502070782
0 bars,"[0.0, -0.6999999999999998, 0.1]",3,[-0.35  0.    0.05],-0.3499999999999999,0.6339428235528977
0 issues,"[-0.07500000000000001, 0.0, 0.0]",3,[-0.0375  0.      0.    ],-0.037500000000000006,0.7971095840598031
0 problems,"[0.8, 0.16666666666666666]",2,[0.325  0.4833 0.6417],0.6416666666666667,0.6254864238087618
000 photos,"[0.8, -0.21875, 0.0]",3,[-0.1094  0.      0.4   ],0.4,0.6427311431516638
000 songs,"[0.06818181818181818, 0.0, 0.0, 0.0]",4,[0.    0.    0.017],0.017045454545454544,0.8566402846465325
0PJA2 using Tapatalk,"[0.375, 0.0]",2,[0.0938 0.1875 0.2812],0.28125,0.6098021057464592
1 GB,"[0.0, 0.3, 0.45, 0.0, -0.08333333333333333, 0.5, 0.4000000000000001]",7,[0.    0.3   0.425],0.42500000000000004,1.5189398394246814
1 MB,"[-0.08333333333333333, 0.0, 0.0]",3,[-0.0417  0.      0.    ],-0.041666666666666664,0.7824982313329131
1 TB,"[0.225, 0.125, 0.0, 0.0]",4,[0.     0.0625 0.15  ],0.15,0.6260122722237437
1 antenna,"[0.0, 0.0, -0.02857142857142857]",3,[-0.0143  0.      0.    ],-0.014285714285714285,0.6387662327396367
1 app,"[0.0, 0.06875, -0.05, 0.0]",4,[-0.0125  0.      0.0172],0.0171875,1.412258572430755
1 bar,"[0.0, 0.0, 0.3333333333333333, -0.9099999999999998, -0.9099999999999998, 0.16666666666666666, 0.011111111111111106, -0.15, -0.375, -0.033333333333333354, 0.0, 0.05, 0.0, 0.0, 0.0, 0.3775, 0.0, 0.27777777777777773, 0.0, -0.2916666666666667, 0.0, 0.0, -0.9099999999999998, 0.25, 0.2833333333333333]",25,[-0.0333  0.      0.05  ],0.05,2.0002924604496815
1 battery,"[-0.16666666666666666, 0.0]",2,[-0.125  -0.0833 -0.0417],-0.125,0.6625813755464813
1 gb,"[0.10714285714285714, 0.0, -0.5, 0.025000000000000005, -0.16666666666666666, 0.0]",6,[-0.125   0.      0.0188],-0.125,1.3986127991563049
1 mm,"[0.0, -0.2, 0.5125, 1.0, 0.0, 0.0, 0.0, 0.09675925925925927]",8,[0.     0.     0.2007],0.20069444444444445,1.1947138467808276
1 mm thinner,"[0.0, -0.125]",2,[-0.0938 -0.0625 -0.0312],-0.09375,0.6006178902218033
1 notification,"[-0.09999999999999999, 0.0]",2,[-0.075 -0.05  -0.025],-0.075,0.6289798733621091
1 person,"[0.0, 0.0, 0.10000000000000002]",3,[0.   0.   0.05],0.05000000000000001,0.9690828813114275
1 pm,"[-0.0027777777777777957, 0.175, 0.007272727272727269, 0.2857142857142857, 0.0, 0.0]",6,[0.     0.0036 0.1331],0.1330681818181818,1.3604344162222377
1 priority,"[0.0, 0.0, 0.25, -0.005555555555555564]",4,[-0.0014  0.      0.0625],0.0625,1.0119282888158672
1 problem,"[0.0, -0.006249999999999999]",2,[-0.0047 -0.0031 -0.0016],-0.004687499999999999,0.6884191253461895
1.2 gb,"[0.0, 0.0, 0.4]",3,[0.  0.  0.2],0.2,0.8575555115685283
1.3 GB RAM,"[0.011111111111111118, 0.011111111111111118, 0.011111111111111118]",3,[0.0111 0.0111 0.0111],0.011111111111111118,0.8575555115685283
1.5 gb,"[0.0, -0.01666666666666667, -0.07777777777777779]",3,[-0.0472 -0.0167 -0.0083],-0.047222222222222235,0.8575555115685283
1.9 aperture,"[0.0, 0.8, 0.1572727272727273]",3,[0.0786 0.1573 0.4786],0.47863636363636364,0.615956688560002
10 AM,"[0.11666666666666665, 0.0]",2,[0.0292 0.0583 0.0875],0.0875,0.6812153226543536
10 GB,"[0.0, 0.0, 0.07619047619047618, 0.0, 0.125, 0.0, 0.25, 0.0, 0.125]",9,[0.    0.    0.125],0.125,1.7151110231370565
10 PC,"[0.0, 0.0, 0.5]",3,[0.   0.   0.25],0.25,0.8882919928024736
10 am,"[0.0, 0.0, 0.0, -0.06666666666666667, -0.15555555555555559, 0.04166666666666666]",6,[-0.05  0.    0.  ],-0.05,1.760916063978167
10 bucks,"[0.0, -0.5, 0.0, 0.0]",4,[-0.125  0.     0.   ],-0.125,0.7256725340573227
10 gb,"[0.08333333333333333, 0.04999999999999999, 0.25, 0.0022222222222222088, 0.0, 0.0, 0.0, -0.20000000000000004, 0.0, -0.08333333333333333, -0.1, 0.13636363636363635, 0.13636363636363635, 0.0, 0.0, 0.4, 0.0, 0.2857142857142857, 0.0, 0.3]",20,[0.     0.     0.1364],0.13636363636363635,2.338410692169163
10 hrs,"[-0.075, -1.0, 0.25, 0.35]",4,[-0.3062  0.0875  0.275 ],-0.30625,0.9588236499942965
10 million,"[-0.24999999999999992, 1.0, -0.08333333333333333, -0.16666666666666666, -0.16666666666666666, -0.1125, 0.25, 0.1, 0.0, 0.25, 0.0, 0.0, 0.1875, 0.0, 0.22727272727272727, 0.075, 0.011666666666666667]",17,[-0.0833  0.      0.1875],0.1875,1.1631669615581863
