,sentiment,occurences,sentimentsSummary,sentimentEdges,score
11:15 PM,"[0.0, 0.6975446428571428, 0.0]",3,[0.     0.     0.3488],0.3487723214285714,0.8341465432481804
2 others,"[0.1, 0.1, 0.1]",3,[0.1 0.1 0.1],0.1,0.9859549041125535
3 feet,"[-0.013888888888888886, 0.0, 0.1, -0.2, -0.12222222222222222]",5,[-0.1222 -0.0139  0.    ],-0.12222222222222222,1.0474645381739853
30 min,"[0.0, -0.3277777777777778, -0.13333333333333333, -0.06666666666666665]",4,[-0.1819 -0.1    -0.05  ],-0.18194444444444446,1.0521470054123618
30 mins,"[-0.15000000000000002, 0.0, 0.1, 0.0]",4,[-0.0375  0.      0.025 ],-0.037500000000000006,0.8220654898403863
32 GB,"[-0.13333333333333333, 0.0, 0.16666666666666666]",3,[-0.0667  0.      0.0833],0.08333333333333333,0.8575555115685283
4.0 inch screen,"[0.4055555555555556, 0.4055555555555556, 0.4055555555555556, 0.4055555555555556]",4,[0.4056 0.4056 0.4056],0.4055555555555556,0.8160778295111797
4000 mAh battery,"[0.39285714285714285, -0.13333333333333333]",2,[-0.0018  0.1298  0.2613],0.2613095238095238,0.8656319968245754
4000mah battery,"[0.2, -0.5]",2,[-0.325 -0.15   0.025],-0.325,0.6625813755464813
5 am,"[0.0, 0.0, -0.07777777777777779]",3,[-0.0389  0.      0.    ],-0.038888888888888896,1.0797007413238136
5200mah Anker unit,"[0.15000000000000002, 0.15000000000000002, 0.15000000000000002, 0.15000000000000002]",4,[0.15 0.15 0.15],0.15000000000000002,1.383197586983281
5200mah battery,"[0.25, -0.2, 0.5]",3,[0.025 0.25  0.375],0.375,1.0501666339174147
AF tracking,"[0.0, 0.30000000000000004, 0.7]",3,[0.15 0.3  0.5 ],0.5,1.1425585975292682
ATT,"[0.0, 0.1, 0.019999999999999997, -0.06666666666666667]",4,[-0.0167  0.01    0.04  ],0.04,1.0656511881523176
ATT store,"[0.5, 0.5, 0.0, 0.0]",4,[0.   0.25 0.5 ],0.5,1.4761894104455866
Actives,"[0.0, 0.8, 0.0, 0.0]",4,[0.  0.  0.2],0.2,0.6012989633552234
Battery life,"[0.8, 0.13749999999999998, 0.09999999999999999, 0.25, 0.5, 0.7, 1.0, 1.0, 0.4, -0.5, 0.28096590909090907, 0.05, 0.0, 1.0, 0.15000000000000002, 0.15000000000000002, 0.15000000000000002, 0.15000000000000002]",18,[0.1406 0.2    0.65  ],0.6499999999999999,2.7629146433813103
Bottom line,"[-0.05, -0.14444444444444446, 0.8, 0.16666666666666666]",4,[-0.0736  0.0583  0.325 ],0.325,1.4434157187364327
