,sentiment,occurences,sentimentsSummary,sentimentEdges,score
-Adjusting brightness,"[0.05, 0.05, 0.13]",3,[0.05 0.05 0.09],0.09,0.7790568663772367
-mail app,"[0.0, 0.4000000000000001]",2,[0.1 0.2 0.3],0.30000000000000004,0.7061292862153775
0.9 lb package,"[0.0, 0.0, 0.13636363636363635]",3,[0.     0.     0.0682],0.06818181818181818,0.7123152375920104
000 Gear,"[0.0, 0.0, 0.0, 0.4]",4,[0.  0.  0.1],0.1,0.9018833919884188
000 Gear S2 watches,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.9150721046687389
000 Gear VRs,"[0.4, 0.4, 0.4, 0.0]",4,[0.3 0.4 0.4],0.4,1.332717139387827
1 am,"[0.0, 0.35, -0.3]",3,[-0.15   0.     0.175],0.175,1.0797007413238136
1 new message,"[0.13636363636363635, 0.13636363636363635, 0.3715909090909091]",3,[0.1364 0.1364 0.254 ],0.2539772727272727,1.0539297643004344
1.6 lbs,"[0.5, 0.0, 0.0, 0.09999999999999999, 0.0, 0.2619047619047619, 0.0, 0.0, -0.0625, 0.25]",10,[0.     0.     0.2125],0.2125,0.8248720800464091
100 GB,"[0.0, 0.2857142857142857, 0.0]",3,[0.     0.     0.1429],0.14285714285714285,0.8575555115685283
100 bill credit,"[0.5, 0.16666666666666666, 0.5, 0.16666666666666666, 0.0]",5,[0.1667 0.1667 0.5   ],0.5,1.4405481887471432
100 credit,"[0.0, 0.20833333333333334, 0.375, 0.375]",4,[0.1562 0.2917 0.375 ],0.375,0.8918310997266335
100 gift card,"[0.0, 0.0, 0.4]",3,[0.  0.  0.2],0.2,0.9506658726971333
100 percent,"[0.5, 0.1, 0.1, 0.0]",4,[0.075 0.1   0.2  ],0.2,1.0612834474565058
11:00 am,"[0.0, -0.25]",2,[-0.1875 -0.125  -0.0625],-0.1875,0.6812153226543536
128 GB SD card,"[0.0, 0.0, 0.4750000000000001]",3,[0.     0.     0.2375],0.23750000000000004,1.5752261410255577
