,sentiment,occurences,sentimentsSummary,sentimentEdges,score
0 scratches,"[-0.8, 0.0, 0.0]",3,[-0.4  0.   0. ],-0.4,0.6456057259666045
000 battery pack,"[0.35, 0.0]",2,[0.0875 0.175  0.2625],0.26249999999999996,0.842327541907728
000 units,"[0.125, 0.0, 0.0, 0.0]",4,[0.     0.     0.0312],0.03125,0.7249201326435317
1 GB,"[0.25, 0.1, 0.0, 0.45]",4,[0.075 0.175 0.3  ],0.3,1.0821145751755532
1 MB,"[0.05, 0.0, 0.0]",3,[0.    0.    0.025],0.025,0.7824982313329131
1 TB microSD cards,"[0.2, 0.4]",2,[0.25 0.3  0.35],0.35000000000000003,0.6683150831113147
1 bar,"[-0.3125, 0.0, -0.15]",3,[-0.2312 -0.15   -0.075 ],-0.23125,0.6827060121432827
1 person,"[0.2, 0.0, 0.06944444444444443, 0.0]",4,[0.     0.0347 0.1021],0.10208333333333333,1.2228464469922735
1 thing,"[0.25, 0.06794871794871794, -0.3583333333333334]",3,[-0.1452  0.0679  0.159 ],0.15897435897435896,0.7602208445337414
1.2 billions active users,"[-0.13333333333333333, -0.13333333333333333]",2,[-0.1333 -0.1333 -0.1333],-0.13333333333333333,0.6619060304510611
10 Mobile,"[0.4681818181818182, 0.0, -0.3333333333333333]",3,[-0.1667  0.      0.2341],0.2340909090909091,0.6283375685423909
10 am,"[0.0, -0.15555555555555559, 0.65]",3,[-0.0778  0.      0.325 ],0.325,1.0797007413238136
10 feet,"[0.0, -1.0, 0.5, 0.5, 0.4]",5,[0.  0.4 0.5],0.5,1.0474645381739853
10 mins,"[-0.225, -0.2, 0.45, 0.6, 0.0, 0.25, 0.2316666666666667, -0.15555555555555559, 0.39999999999999997, -0.1]",10,[-0.1417  0.1158  0.3625],0.3625,1.3654212232690606
10 percent,"[0.3523809523809523, -0.1, -0.075]",3,[-0.0875 -0.075   0.1387],0.13869047619047614,0.8410472334273166
10 pm,"[0.15, 0.0, -0.25, 0.0, 0.0, 0.13636363636363635, 0.0, 0.16666666666666666, 0.7, 0.43333333333333335, 0.0]",11,[0.     0.     0.1583],0.15833333333333333,1.820656908271824
100 GB,"[0.4, 0.3215909090909091, 0.17500000000000002, 0.0]",4,[0.1312 0.2483 0.3412],0.3411931818181818,1.0821145751755532
100 apps,"[0.35, -0.24375]",2,[-0.0953  0.0531  0.2016],0.20156249999999995,0.6103506053928607
100 gb,"[0.3, 0.6, 0.0, -0.4375]",4,[-0.1094  0.15    0.375 ],0.375,1.0821145751755532
100 gift card,"[0.4, 0.5, 0.0]",3,[0.2  0.4  0.45],0.45,0.9506658726971333
100 lol,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.6359613932313475
100 off,"[0.6, -0.1875]",2,[0.0094 0.2062 0.4031],0.40312499999999996,0.6377224193200823
100 percent,"[0.25, 0.25, 0.0, 0.11363636363636363, -0.13333333333333333, 0.5, 0.0, 0.0, 0.0]",9,[0.   0.   0.25],0.25,1.6820944668546332
11 pm,"[0.0, 0.0, 0.2]",3,[0.  0.  0.1],0.1,0.8341465432481804
128 GB,"[0.0, 0.16, 0.02777777777777778, 0.0]",4,[0.     0.0139 0.0608],0.060833333333333336,1.0821145751755532
128 GB SD card,"[0.3, -0.07142857142857142, 0.0]",3,[-0.0357  0.      0.15  ],0.15,1.5752261410255577
128 GB card,"[0.12635281385281386, 0.25, 0.26, 0.0]",4,[0.0948 0.1882 0.2525],0.2525,1.5079509902077737
128 GB internal storage,"[-0.06, 0.0]",2,[-0.045 -0.03  -0.015],-0.045,0.9267122728448928
128 gb storage,"[0.0, 0.0, -0.012499999999999997]",3,[-0.0062  0.      0.    ],-0.006249999999999999,1.2259650741600938
130 down payment,"[-0.07777777777777779, 0.022222222222222213]",2,[-0.0528 -0.0278 -0.0028],-0.0527777777777778,0.7146174465481147
1440p display,"[-0.03333333333333333, 0.0, 0.10357142857142856]",3,[-0.0167  0.      0.0518],0.05178571428571428,0.6158474389937951
15 min,"[0.0, -0.03409090909090909, 0.0]",3,[-0.017  0.     0.   ],-0.017045454545454544,0.8338067744123265
15 mins,"[0.0, -1.0, -0.15555555555555559, 0.03333333333333333, 0.43333333333333335]",5,[-0.1556  0.      0.0333],-0.15555555555555559,0.9543884783488673
1520 was one,"[0.5, 0.5]",2,[0.5 0.5 0.5],0.5,0.6350875295601232
160 characters,"[-0.07142857142857142, 0.0, 0.0, -0.2357142857142857]",4,[-0.1125 -0.0357  0.    ],-0.11249999999999999,0.6280582344721868
16:9 ratio,"[0.0, 0.0, 0.55, 0.03125, 0.0, 0.0]",6,[0.     0.     0.0234],0.0234375,1.1815628576923611
18.5:9 aspect ratio,"[-0.4, -0.07142857142857142, 0.16666666666666666, 0.4, 0.0, -0.078125]",6,[-0.0765 -0.0357  0.125 ],0.125,1.602722556271465
18.5:9 ratio,"[0.0, 0.0, -0.3125, 0.0, -0.03522727272727273, -0.15555555555555559, 0.31666666666666665]",7,[-0.0954  0.      0.    ],-0.09539141414141417,1.2832164115872857
18:9 aspect ratio,"[0.8, 0.0]",2,[0.2 0.4 0.6],0.6000000000000001,0.6200177201117368
18:9 ratio,"[0.0, -0.024999999999999994, 0.35000000000000003, 0.09971590909090909, -0.1875]",5,[-0.025   0.      0.0997],0.09971590909090909,1.0613322221834574
1st patch,"[0.625, 0.0, 0.0]",3,[0.     0.     0.3125],0.3125,0.8577327552148926
1st thing,"[0.06818181818181818, 0.0, 0.425]",3,[0.0341 0.0682 0.2466],0.24659090909090908,0.7602208445337414
2 Amps,"[-0.15000000000000002, -0.15000000000000002, 0.0, 0.0]",4,[-0.15  -0.075  0.   ],-0.15000000000000002,0.8705029322344746
2 GB,"[-0.4, 0.5, 0.21428571428571427]",3,[-0.0929  0.2143  0.3571],0.35714285714285715,0.8575555115685283
2 TB,"[0.0, 0.125, 0.13333333333333333, 0.0, 0.0, 0.0, 0.30000000000000004, 0.0]",8,[0.     0.     0.1271],0.12708333333333333,0.9390184083356155
2 bars,"[0.0, -0.6666666666666666, -0.25, -0.31214285714285706, 0.04999999999999999, 0.0, 0.0, 0.0]",8,[-0.2655  0.      0.    ],-0.26553571428571426,1.1999201683278709
2 feet,"[-0.16666666666666666, 0.0, 0.15499999999999997, 0.21212121212121213]",4,[-0.0417  0.0775  0.1693],0.169280303030303,0.9022368440094164
2 full charges,"[0.15, 0.175]",2,[0.1562 0.1625 0.1687],0.16874999999999998,0.6833443985632305
2 hands,"[0.0, 0.0, 0.0840909090909091, -0.125]",4,[-0.0312  0.      0.021 ],-0.03125,0.9572305635077912
2 hrs,"[0.0, 0.225, 0.0, 0.0]",4,[0.     0.     0.0562],0.05625,0.9588236499942965
2 inches,"[-0.31666666666666665, 0.18611111111111112, 0.030000000000000006]",3,[-0.1433  0.03    0.1081],-0.1433333333333333,0.7661862874988873
2 mins,"[0.13666666666666666, -0.16666666666666666, 0.0, 0.0]",4,[-0.0417  0.      0.0342],-0.041666666666666664,0.8220654898403863
2 models,"[0.0, -0.05, -0.05, 0.0]",4,[-0.05  -0.025  0.   ],-0.05,1.1799272103651453
2 options,"[0.0, 0.0, 0.20714285714285713, 0.5]",4,[0.     0.1036 0.2804],0.28035714285714286,0.8162118294886211
2 phones,"[0.0, 0.0, 0.08333333333333333, 0.0, 0.0, 0.0, -0.3333333333333333, 0.2]",8,[0.     0.     0.0208],0.020833333333333332,1.706261240495417
2 pm,"[-0.15555555555555559, -0.15555555555555559, 0.125, 0.0, 0.0, 0.0]",6,[-0.1167  0.      0.    ],-0.1166666666666667,1.3604344162222377
2 previous phones,"[-0.16666666666666666, 0.011111111111111118]",2,[-0.1222 -0.0778 -0.0333],-0.12222222222222222,0.7792119380758614
2 secs,"[0.0, 0.0, 0.0, 0.5535714285714286]",4,[0.     0.     0.1384],0.13839285714285715,0.699377497238957
2 updates,"[0.0, -0.35, 0.0]",3,[-0.175  0.     0.   ],-0.175,0.8519209668253307
20 miles,"[-0.5, -0.05, -0.05]",3,[-0.275 -0.05  -0.05 ],-0.275,0.6538024682542216
20 mins,"[0.0, 0.0, 0.575, -0.03333333333333333, 0.2, 0.0, 0.0]",7,[0.  0.  0.1],0.1,1.153914799578552
20 pages,"[0.0, -0.1, -0.1, -0.1]",4,[-0.1   -0.1   -0.075],-0.1,1.0395925692679762
20 percent,"[-0.012500000000000004, 0.3523809523809523, -0.08333333333333333, 0.0]",4,[-0.0302 -0.0063  0.0881],0.08809523809523807,1.0612834474565058
200 credit,"[0.0, -0.25, -0.08333333333333333, 0.0, 0.0]",5,[-0.0833  0.      0.    ],-0.08333333333333333,1.0353838431747817
200 gift card,"[0.5, 0.0, 1.0, 1.0]",4,[0.375 0.75  1.   ],1.0,1.1996067695791937
200 trade,"[0.16666666666666666, 0.0, 0.0, 0.5, 0.3333333333333333, -0.2, 0.3, 0.5, 0.5]",9,[0.  0.3 0.5],0.5,1.3166482553228454
2016 Gear,"[0.0, 0.0, 0.0, 0.125]",4,[0.     0.     0.0312],0.03125,0.9018833919884188
2016 version,"[-0.3125, 0.0, 0.0, 0.0]",4,[-0.0781  0.      0.    ],-0.078125,0.8889075165504268
2017 Gear VRs,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.6663585696939135
2017 adapter,"[0.5, 0.11666666666666668, 0.03968253968253968]",3,[0.0782 0.1167 0.3083],0.30833333333333335,0.6326274415657148
2017 security patch,"[0.0, 0.0, 0.0625, 0.0, 0.10714285714285714, 0.5]",6,[0.     0.0312 0.096 ],0.09598214285714285,2.3008439330988932
2017 security patches,"[0.0, -0.16666666666666666]",2,[-0.125  -0.0833 -0.0417],-0.125,0.8087825796135054
21 case,"[0.0, 0.0, 0.0, 0.2]",4,[0.   0.   0.05],0.05,1.3567051808873725
24 hrs,"[0.0, -0.20185185185185187, 0.4, -0.05]",4,[-0.088 -0.025  0.1  ],0.1,0.9588236499942965
256 GB MicroSD card,"[0.0, 0.0, 0.4]",3,[0.  0.  0.2],0.2,1.1950228862023284
256 GB SD card,"[0.0, 0.0, -0.55, 0.09999999999999998]",4,[-0.1375  0.      0.025 ],-0.1375,1.9877140819531458
256 GB memory card,"[0.0, 0.02777777777777778]",2,[0.0069 0.0139 0.0208],0.020833333333333336,0.9295641524923268
256 gb,"[0.0, 0.0, 0.5333333333333333, 0.0, -0.1875, -0.125, 0.0, 0.037500000000000006]",8,[-0.0312  0.      0.0094],-0.03125,1.6231718627633298
2:1 aspect ratio,"[0.0, -0.078125]",2,[-0.0586 -0.0391 -0.0195],-0.05859375,0.6200177201117368
2:1 ratio,"[0.2833333333333333, -0.038888888888888896, 0.2333333333333333]",3,[0.0972 0.2333 0.2583],0.2583333333333333,0.7244719492700041
2nd replacement,"[-0.16666666666666666, 0.09375]",2,[-0.1016 -0.0365  0.0286],-0.1015625,0.6214396282407595
3 bars,"[0.0, -0.07111111111111112, -0.3125, 0.0, 0.0, 0.0, 0.0033333333333333327, 0.2777777777777778]",8,[-0.0178  0.      0.0008],-0.01777777777777778,1.1999201683278709
3 colors,"[-0.03333333333333332, 0.08333333333333333, -0.16666666666666666]",3,[-0.1    -0.0333  0.025 ],-0.09999999999999999,0.81874802232237
3 dots,"[0.1619047619047619, 0.0, 0.39285714285714285, 0.0, 0.0, 0.2142857142857143, 0.39285714285714285, 0.39285714285714285, 0.0, 0.2901785714285714, 0.14285714285714285, 0.0, 0.39285714285714285, 0.0, 0.4, 0.38095238095238093, 0.45, 0.3214285714285714, 0.14285714285714285, 0.05000000000000001, 0.14285714285714285, 0.39285714285714285, 0.39285714285714285, 0.39285714285714285, 0.39285714285714285, 0.39285714285714285, 0.0, 0.14285714285714285, 0.44523809523809527, 0.09523809523809523, 0.0, 0.0, 0.39285714285714285, 0.22603174603174597, 0.0, 0.39285714285714285, 0.0, 0.2333333333333333, 0.2333333333333333, 0.39285714285714285, 0.39285714285714285, 0.39285714285714285]",42,[0.0125 0.2333 0.3929],0.39285714285714285,2.729531251843635
3 feet,"[-0.16666666666666666, 0.5, 0.0, 0.012500000000000011, -0.1, 0.0, -0.16666666666666666, -0.008333333333333333]",8,[-0.1167 -0.0042  0.0031],-0.11666666666666667,1.3533552660141246
3 generations,"[-0.4, -0.2, -0.125]",3,[-0.3    -0.2    -0.1625],-0.30000000000000004,0.6636950010997156
3 mins,"[0.25, -0.125, 0.0]",3,[-0.0625  0.      0.125 ],0.125,0.6514714872669906
3 options,"[0.0, 0.0, 0.0, 0.10833333333333332]",4,[0.     0.     0.0271],0.02708333333333333,0.8162118294886211
3 people,"[0.0, 0.25, 0.0, 0.0]",4,[0.     0.     0.0625],0.0625,0.7815163638085145
3 phones,"[0.1, 0.25, 0.5, 0.26, 0.1, 0.0, 0.0]",7,[0.05  0.1   0.255],0.255,1.5966936306069741
3 vertical dots,"[0.39285714285714285, 0.0, 0.42857142857142855, 0.0, 0.2619047619047619]",5,[0.     0.2619 0.3929],0.39285714285714285,1.7672540207475047
3.0 Quick Charge technology,"[0.09166666666666666, 0.3333333333333333]",2,[0.1521 0.2125 0.2729],0.27291666666666664,0.879597207774786
3.5 jack,"[0.4964285714285715, 0.0, 0.538148148148148]",3,[0.2482 0.4964 0.5173],0.5172883597883597,0.6371601994378344
30 GB,"[0.0, -0.390625, 0.0, 0.09999999999999998]",4,[-0.0977  0.      0.025 ],-0.09765625,1.0821145751755532
30 activation fee,"[0.04545454545454545, 0.175, 0.13636363636363635]",3,[0.0909 0.1364 0.1557],0.15568181818181817,0.8259341083221481
30 feet,"[0.0, 0.24285714285714285, 0.0]",3,[0.     0.     0.1214],0.12142857142857143,0.7150057822619642
30 min,"[0.0, -0.025, 0.0]",3,[-0.0125  0.      0.    ],-0.0125,0.8338067744123265
30 mins,"[0.11666666666666665, -0.09999999999999999, -0.09999999999999999, 0.16999999999999998, -0.09999999999999994, 0.5, 0.0, 0.18214285714285713, 0.5, 0.125]",10,[-0.075   0.1208  0.1791],0.17910714285714285,1.3654212232690606
300 apps,"[0.0, 0.2, 0.2, 0.0, 0.4, 0.0]",6,[0.  0.1 0.2],0.2,1.5777334272330008
3000 mAh battery,"[0.35, 0.0, 0.06]",3,[0.03  0.06  0.205],0.205,1.371994254391327
3000mah battery,"[0.0, 0.3, 0.16666666666666669]",3,[0.0833 0.1667 0.2333],0.23333333333333334,1.0501666339174147
32 GB,"[0.05, 0.05, 0.3333333333333333, 0.07222222222222223, 0.0, 0.2, -0.06818181818181818]",7,[0.025  0.05   0.1361],0.13611111111111113,1.5189398394246814
32 gb,"[0.0, 0.4166666666666667, 0.4]",3,[0.2    0.4    0.4083],0.4083333333333333,0.8575555115685283
35 restocking fee,"[0.0, 0.0, -0.15]",3,[-0.075  0.     0.   ],-0.075,0.9585246795174455
3500 mAh battery,"[0.0, -0.13333333333333333]",2,[-0.1    -0.0667 -0.0333],-0.1,0.8656319968245754
3500mah battery,"[0.0, 0.0, 0.0, 0.1, 0.16666666666666669]",5,[0.  0.  0.1],0.1,1.5384663110304893
3rd party,"[0.0, -0.2, 0.0, 0.0, 0.2, -0.09375, -0.09375, 0.08, 0.0, -0.05]",10,[-0.0828  0.      0.    ],-0.0828125,1.1488917710233049
3rd party apps,"[0.0, 0.0, 0.0, 0.0, -0.0625, 0.13809523809523808, 0.0, 0.0, 0.3333333333333333, 0.2875, 0.0, 0.0, 0.0, 0.0, -0.004999999999999999, 0.0, 0.5, 0.25, 0.0, 0.0, -0.10833333333333334, -0.2, 0.15, 0.0, -0.006060606060606052, -0.006060606060606052, -0.006060606060606052]",27,[-0.0025  0.      0.    ],-0.0024999999999999996,3.6852822633870748
3rd party keyboard,"[0.0, 0.03125]",2,[0.0078 0.0156 0.0234],0.0234375,0.7088482929299778
3rd party keyboards,"[0.2, -0.2111111111111111, 0.0]",3,[-0.1056  0.      0.1   ],-0.10555555555555556,1.0505983688656222
3rd party launchers,"[0.08452380952380951, 0.0, 0.25, 0.0]",4,[0.     0.0423 0.1259],0.12589285714285714,1.2453738189258612
3rd party messaging app,"[0.0, 0.16, 0.0]",3,[0.   0.   0.08],0.08,1.6228533516813162
3rd party ones,"[-0.017045454545454548, 0.20833333333333334]",2,[0.0393 0.0956 0.152 ],0.15198863636363635,0.7291704840247397
4 G coverage,"[0.0, 0.0, -0.25, -0.5, 0.0]",5,[-0.25  0.    0.  ],-0.25,1.2578211683388025
4 GB,"[0.0, 0.4, 0.45, 0.023611111111111107]",4,[0.0177 0.2118 0.4125],0.41250000000000003,1.0821145751755532
4 K video recording,"[0.0, -0.05000000000000001, 0.0]",3,[-0.025  0.     0.   ],-0.025000000000000005,1.1257290889296205
4 apps,"[0.25, 0.125]",2,[0.1562 0.1875 0.2188],0.21875,0.6103506053928607
4 bars,"[0.7000000000000001, 0.0, 0.5, 0.16666666666666666, 0.0, 0.0, 0.0]",7,[0.     0.     0.3333],0.3333333333333333,1.1228672635438124
4 carriers,"[1.0, 0.0, 0.0]",3,[0.  0.  0.5],0.5,0.7534673951167414
4 digit code,"[0.0, -0.2916666666666667, 0.0]",3,[-0.1458  0.      0.    ],-0.14583333333333334,1.1099947427114853
4 gb,"[0.3333333333333333, 0.0, 0.13636363636363635, -0.08333333333333333, -0.15625, 0.5, 0.0, -0.1611111111111111, -0.1611111111111111, -0.03571428571428571, 0.0, 1.0, 0.0, -0.25]",14,[-0.138   0.      0.1023],-0.13802083333333334,2.059997127012458
4 gb limit,"[0.25, 0.25, 0.0, 0.0]",4,[0.    0.125 0.25 ],0.25,1.40230908664142
4 hrs,"[-0.25, 0.0, 0.1]",3,[-0.125  0.     0.05 ],-0.125,0.7598497650227735
4 mm,"[0.0, 0.3875, 0.0]",3,[0.     0.     0.1938],0.19375,0.631192215413311
4 other ways,"[-0.21875, -0.125]",2,[-0.1953 -0.1719 -0.1484],-0.1953125,0.8311598528063333
4 phones,"[0.0, 0.5, -0.25, 0.3666666666666667]",4,[-0.0625  0.1833  0.4   ],0.4,1.1375074936636114
4 update,"[-0.1625, -0.1625]",2,[-0.1625 -0.1625 -0.1625],-0.1625,0.6429940700581986
4/25 delivery date,"[0.0, 1.0]",2,[0.25 0.5  0.75],0.75,0.8971515409243911
400 GB card,"[0.13636363636363635, 0.25, 0.2]",3,[0.1682 0.2    0.225 ],0.225,1.1950228862023284
400 GB microSD card,"[0.4, 0.0, 0.0]",3,[0.  0.  0.2],0.2,1.1950228862023284
4000 mah battery,"[0.0, 0.25, 0.25]",3,[0.125 0.25  0.25 ],0.25,1.371994254391327
4k battery,"[0.4666666666666667, 0.4666666666666667]",2,[0.4667 0.4667 0.4667],0.4666666666666667,0.6625813755464813
4k display,"[-0.5, -0.1, 0.0, 0.0]",4,[-0.2  -0.05  0.  ],-0.2,0.7771129458439365
4k resolution,"[0.22023809523809523, 0.0, 0.0]",3,[0.     0.     0.1101],0.11011904761904762,0.9099729844266903
5 1/2 hrs,"[-0.16875, 0.0, -0.15]",3,[-0.1594 -0.15   -0.075 ],-0.159375,0.7598497650227735
5 GHz,"[0.5, -0.08, 0.0, 0.0]",4,[-0.02   0.     0.125],0.125,0.6813239853273019
5 am,"[0.0, 0.0, -0.11666666666666667, -0.16666666666666666, 0.0]",5,[-0.1167  0.      0.    ],-0.11666666666666667,1.5817329963389029
5 bars,"[-0.5, 0.4166666666666667, -0.1, 0.13636363636363635, -0.25]",5,[-0.25   -0.1     0.1364],-0.25,0.9287094501541521
