,sentiment,occurences,sentimentsSummary,sentimentEdges,score
10 AM,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.6812153226543536
100 discount,"[0.35, 0.0, -0.10370370370370373, 0.0, 0.5, 0.0, 0.0]",7,[0.    0.    0.175],0.175,1.0697103721146133
110 adapters,"[0.0, 0.25, 0.0, 0.25]",4,[0.    0.125 0.25 ],0.25,0.7125966174840703
120 down payment,"[-0.15555555555555559, -0.15555555555555559, -0.15555555555555559]",3,[-0.1556 -0.1556 -0.1556],-0.15555555555555559,1.1326418551398671
128 GB,"[0.0, 0.23333333333333334, 0.0]",3,[0.     0.     0.1167],0.11666666666666667,0.8575555115685283
128 GB internal storage,"[0.05, 0.05]",2,[0.05 0.05 0.05],0.05,0.9267122728448928
128 gb,"[0.0, 0.09166666666666666, 0.09166666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6083333333333334]",11,[0.     0.     0.0458],0.04583333333333333,1.871750688175288
128 gb storage,"[1.0, 0.0, 0.0]",3,[0.  0.  0.5],0.5,1.2259650741600938
2 bars,"[0.0625, 0.0, -0.075, 0.0]",4,[-0.0188  0.      0.0156],-0.01875,0.7999467788852472
2 cameras,"[0.0, -0.05, 0.04545454545454545, 0.0]",4,[-0.0125  0.      0.0114],-0.0125,0.7352140353865068
2 cents,"[0.0, 0.0, 0.1278409090909091]",3,[0.     0.     0.0639],0.06392045454545454,0.7259104784514662
2 phones,"[0.0, -0.16666666666666666, 0.25]",3,[-0.0833  0.      0.125 ],0.125,0.9014533608730662
256 GB SD card,"[0.0, 1.0]",2,[0.25 0.5  0.75],0.75,0.9938570409765729
256 gb,"[0.0, 0.0, 0.125, 0.0, 0.6083333333333334]",5,[0.    0.    0.125],0.125,1.2562961169936098
256 gb storage options,"[0.11111111111111112, 0.2]",2,[0.1333 0.1556 0.1778],0.1777777777777778,0.9351607241679151
256 gb variant,"[0.0, 0.14666666666666667]",2,[0.0367 0.0733 0.11  ],0.11,0.7278449840516036
2nd telephoto lens,"[0.025, 0.25]",2,[0.0812 0.1375 0.1938],0.19375,0.7430401049492539
2x lens,"[0.0, 0.0, 0.0, 0.22006802721088436]",4,[0.    0.    0.055],0.05501700680272109,1.048597617355703
2x optical zoom,"[0.35, 0.0, 0.1, 0.1, 0.1737244897959184]",5,[0.1    0.1    0.1737],0.1737244897959184,0.8231799865889226
3 dots,"[0.14285714285714285, 0.14285714285714285, 0.39285714285714285, 0.0, 0.0, 0.2857142857142857, 0.29523809523809524, 0.22142857142857142, 0.39285714285714285]",9,[0.1429 0.2214 0.2952],0.29523809523809524,1.6045808655267415
3 hrs,"[0.20833333333333334, 0.0, 0.1, 0.0]",4,[0.     0.05   0.1271],0.12708333333333335,0.9588236499942965
