,sentiment,occurences,sentimentsSummary,sentimentEdges,score
650 processor,"[0.11875, 0.0, 0.15]",3,[0.0594 0.1188 0.1344],0.134375,0.6607910783715496
European firmware,"[0.0, 0.125, 0.2833333333333333, 0.3333333333333333, 0.11212121212121212, 0.0, 0.0]",7,[0.     0.1121 0.2042],0.20416666666666666,1.915791223499193
Thanks,"[0.2, 0.2, 0.2]",3,[0.2 0.2 0.2],0.2,0.6496710867101825
above shot,"[0.13333333333333333, 0.13333333333333333]",2,[0.1333 0.1333 0.1333],0.13333333333333333,0.7670284902218564
battery life,"[0.16666666666666666, -0.15, 0.6, 0.5, 0.052500000000000005, 0.0, -0.22499999999999992]",7,[-0.075   0.0525  0.3333],0.3333333333333333,1.860101085904112
brand new Nexus 6p 64 g,"[0.21103896103896103, 0.13636363636363635]",2,[0.155  0.1737 0.1924],0.19237012987012986,0.6900700251436276
buy,"[0.2777777777777778, 1.0]",2,[0.4583 0.6389 0.8194],0.8194444444444444,0.6280937270359803
cases,"[0.0, 0.35, 0.0]",3,[0.    0.    0.175],0.175,0.7669527175625795
daily use,"[0.16, 0.228125]",2,[0.177  0.1941 0.2111],0.21109375,0.9168340478509647
device,"[-0.3, 0.2, 0.0, 0.0]",4,[-0.075  0.     0.05 ],-0.075,0.9832930733136559
early morning,"[0.13333333333333333, 0.13333333333333333]",2,[0.1333 0.1333 0.1333],0.13333333333333333,0.7901920132288693
email short cut,"[0.0, 0.0, -0.03333333333333333]",3,[-0.0167  0.      0.    ],-0.016666666666666666,1.432236522222166
even trade,"[-0.09999999999999999, 0.0]",2,[-0.075 -0.05  -0.025],-0.075,0.6949229416038525
fingerprint reader,"[0.2, 0.16, 0.0]",3,[0.08 0.16 0.18],0.18,1.2513411669843995
fingerprint scanner,"[0.41818181818181815, 0.0, 0.0]",3,[0.     0.     0.2091],0.20909090909090908,1.2324267178569699
fingerprint sensor,"[0.0, 0.35, 0.0, 0.125, 0.0, 0.4666666666666667, 0.0, -0.125, 0.11212121212121212, 0.0, 0.0, 0.20555555555555557, 0.0, 0.03227272727272727, 0.4]",15,[0.     0.     0.1653],0.1652777777777778,3.271869711549627
full coverage,"[0.675, 0.075]",2,[0.225 0.375 0.525],0.5250000000000001,0.7181797940129407
glass protector,"[0.0, -0.01354166666666666, 0.2, 0.15625, -0.15625, -0.08888888888888886]",6,[-0.0701 -0.0068  0.1172],0.1171875,1.8220311448791333
good device,"[0.35, 0.475]",2,[0.3812 0.4125 0.4438],0.44375,0.7659670317809089
good point,"[0.7, 0.9099999999999999]",2,[0.7525 0.805  0.8575],0.8574999999999999,0.7076665873233614
good price,"[0.24583333333333332, 0.39999999999999997, 0.4125, 0.7]",4,[0.3615 0.4062 0.4844],0.48437499999999994,1.5912998709749173
good specs,"[0.22499999999999998, 0.7]",2,[0.3438 0.4625 0.5812],0.5812499999999999,0.7452420218504056
good value,"[0.55, -0.35, 0.7]",3,[0.1   0.55  0.625],0.625,1.0093754623020106
international version,"[0.3333333333333333, 0.0, 0.0, 0.20555555555555557]",4,[0.     0.1028 0.2375],0.2375,1.281403755689887
lot,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.681347516890446
many people,"[0.35, 0.2]",2,[0.2375 0.275  0.3125],0.31249999999999994,0.7626387609901181
market place,"[0.17045454545454544, 0.2857142857142857]",2,[0.1993 0.2281 0.2569],0.25689935064935066,0.717229706279788
market value,"[0.39166666666666666, 0.3125]",2,[0.3323 0.3521 0.3719],0.371875,0.6209841433531881
mine,"[0.13636363636363635, 0.0]",2,[0.0341 0.0682 0.1023],0.10227272727272727,0.6864684225026966
mobile image sensor,"[0.17, 0.17]",2,[0.17 0.17 0.17],0.17,0.9610462044038856
model,"[0.1, 0.3333333333333333, 0.0, 0.0]",4,[0.     0.05   0.1583],0.15833333333333333,0.9064167396934675
native camera app,"[0.0, 0.15, 0.0, 0.15]",4,[0.    0.075 0.15 ],0.15,1.8056435991242223
new grip,"[0.06818181818181818, 0.13636363636363635]",2,[0.0852 0.1023 0.1193],0.11931818181818181,0.6488420820481903
normal usage,"[0.049999999999999996, 0.15]",2,[0.075 0.1   0.125],0.12499999999999999,0.7715772502807025
notification panel,"[-0.15555555555555559, -0.15555555555555559]",2,[-0.1556 -0.1556 -0.1556],-0.15555555555555559,0.8333186327115192
only explanation,"[-0.25, 0.0]",2,[-0.1875 -0.125  -0.0625],-0.1875,0.8454485358474272
original box,"[0.17045454545454544, 0.17045454545454544, 0.15833333333333333, 0.16351010101010102]",4,[0.1622 0.167  0.1705],0.17045454545454544,1.5556848316245482
other phones,"[0.1875, -0.125, 0.05833333333333335, 0.09722222222222222, 0.14583333333333334]",5,[0.0583 0.0972 0.1458],0.14583333333333334,2.132549338348693
phones,"[0.0, 0.0, 0.1891053391053391, 0.3, 0.5, 0.16666666666666666, 0.13636363636363635]",7,[0.0682 0.1667 0.2446],0.24455266955266955,1.5966936306069741
price,"[0.16351010101010102, 0.0, 0.6, 0.0, 0.25, 0.0, 0.0]",7,[0.     0.     0.2068],0.2067550505050505,1.5027631901873777
price difference,"[0.0, 0.3]",2,[0.075 0.15  0.225],0.22499999999999998,0.8516674076025897
price performance ratio,"[0.9099999999999999, 0.9099999999999999]",2,[0.91 0.91 0.91],0.9099999999999999,0.7838666802364949
real world,"[0.1, 0.15]",2,[0.1125 0.125  0.1375],0.13749999999999998,0.7589113769416558
same radio,"[0.025, 0.0]",2,[0.0062 0.0125 0.0188],0.018750000000000003,0.8808156175851284
same vantage point,"[0.13333333333333333, 0.13333333333333333]",2,[0.1333 0.1333 0.1333],0.13333333333333333,0.8305966131079415
screen protector,"[0.0, 0.5, 0.0, 0.0, 0.04999999999999999]",5,[0.   0.   0.05],0.04999999999999999,1.0462987939851989
security update,"[-0.03571428571428571, 0.0]",2,[-0.0268 -0.0179 -0.0089],-0.026785714285714284,0.953407771275869
solid device,"[0.3, -0.22500000000000003]",2,[-0.0938  0.0375  0.1687],0.16874999999999996,0.7955494611732162
top glass,"[0.5, 0.04999999999999999]",2,[0.1625 0.275  0.3875],0.3875,0.7450088663062179
two models,"[0.35, 0.17045454545454544, 0.39999999999999997, 0.2]",4,[0.1926 0.275  0.3625],0.36249999999999993,1.1799272103651453
use,"[0.0, 0.15, 0.0]",3,[0.    0.    0.075],0.075,1.1198910092118521
volume rocker,"[0.058333333333333334, -0.175]",2,[-0.1167 -0.0583  0.    ],-0.11666666666666664,0.6967274505756043
was getting,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.8501796666093869
water proof,"[0.0, -0.16499999999999998, 0.0]",3,[-0.0825  0.      0.    ],-0.08249999999999999,1.1468646315490387
