,sentiment,occurences,sentimentsSummary,sentimentEdges,score
audio quality,"[0.0, 0.2833333333333333, 0.2]",3,[0.1    0.2    0.2417],0.24166666666666667,1.0323209746763238
device,"[0.6, -0.5, 0.0]",3,[-0.25  0.    0.3 ],0.3,0.7792413242105017
display model,"[1.0, 1.0]",2,[1. 1. 1.],1.0,0.6819132893415863
edge sense,"[-0.15555555555555559, 0.0]",2,[-0.1167 -0.0778 -0.0389],-0.1166666666666667,0.6114620314382921
finger print reader,"[0.6, 0.8, 0.43333333333333335, 0.43333333333333335]",4,[0.4333 0.5167 0.65  ],0.6499999999999999,1.925042943654991
fingerprint scanner,"[0.0, 0.0, 0.8]",3,[0.  0.  0.4],0.4,1.2324267178569699
front facing stereo speakers,"[0.08333333333333333, 0.0]",2,[0.0208 0.0417 0.0625],0.0625,1.0736463925111752
group messaging,"[-0.3, 0.0, 1.0]",3,[-0.15  0.    0.5 ],0.5,1.2120612950721221
home screen,"[0.0, 0.13636363636363635, 0.13333333333333333, 0.13333333333333333, 0.0]",5,[0.     0.1333 0.1333],0.13333333333333333,0.9934786312676203
international version,"[0.0, 0.4, 0.43333333333333335]",3,[0.2    0.4    0.4167],0.4166666666666667,1.0154884505258626
local store,"[0.125, 0.18333333333333335]",2,[0.1396 0.1542 0.1688],0.16875,0.6737992636937654
stereo speakers,"[0.0, 0.35]",2,[0.0875 0.175  0.2625],0.26249999999999996,0.6812183724064464
very bottom,"[0.2, -0.15]",2,[-0.0625  0.025   0.1125],0.11250000000000002,0.6860290331397396
