,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Great review,"[0.75, 0.8, 1.0, 0.8]",4,[0.7875 0.8    0.85  ],0.8500000000000001,1.455393566825263
Thanks,"[0.2, 0.2, 0.2]",3,[0.2 0.2 0.2],0.2,0.6496710867101825
audio quality,"[0.0, 0.2833333333333333, 0.2]",3,[0.1    0.2    0.2417],0.24166666666666667,1.0323209746763238
battery life,"[0.0, 0.16666666666666666, 0.6000000000000001]",3,[0.0833 0.1667 0.3833],0.38333333333333336,1.0501666339174147
big fan,"[-0.009821428571428578, 0.02500000000000001]",2,[-0.0011  0.0076  0.0163],0.01629464285714286,0.809948693922989
cell signal,"[-0.4, 0.0]",2,[-0.3 -0.2 -0.1],-0.30000000000000004,0.8519195598794226
device,"[0.0, -0.5, 0.0, 0.0, -0.3]",5,[-0.3  0.   0. ],-0.3,1.1415679062175583
double tap,"[0.5, 0.25555555555555554, 0.0, 0.3, -0.018518518518518528, 0.0]",6,[0.     0.1278 0.2889],0.28888888888888886,2.2322255610669677
edge sense,"[-0.15555555555555559, 0.0]",2,[-0.1167 -0.0778 -0.0389],-0.1166666666666667,0.6114620314382921
factory reset,"[0.14981060606060606, 0.15, 0.0]",3,[0.0749 0.1498 0.1499],0.14990530303030303,1.1257572345173372
far edges,"[0.07777777777777778, -0.033333333333333326]",2,[-0.0056  0.0222  0.05  ],0.05,0.7179540665381284
fine print,"[0.18333333333333335, 0.20833333333333334]",2,[0.1896 0.1958 0.2021],0.20208333333333334,0.8308484766631759
fingerprint reader,"[0.06818181818181818, 0.2, 0.0, 0.0, 0.3, -0.02847222222222222]",6,[0.     0.0341 0.167 ],0.16704545454545455,2.0408495411036864
fingerprint scanner,"[0.0, 0.0, 0.0, 0.8, 0.41818181818181815, 0.0, 0.8]",7,[0.     0.     0.6091],0.6090909090909091,2.182928120303685
fingerprint sensor,"[0.0, -0.125, 0.2, 0.0, 0.0, 0.016666666666666677, 0.6, 0.0, 0.0875]",9,[0.     0.     0.0875],0.0875,2.654689540516192
forum,"[0.16666666666666666, 0.4333333333333333, 0.8, 0.2]",4,[0.1917 0.3167 0.525 ],0.5249999999999999,1.0900015578306745
good price,"[0.4916666666666667, 0.4125]",2,[0.4323 0.4521 0.4719],0.47187500000000004,0.7956499354874587
group text,"[0.021645021645021644, -0.07142857142857142]",2,[-0.0482 -0.0249 -0.0016],-0.04816017316017316,0.8153740018317384
heavy use,"[-0.2, -0.005555555555555564]",2,[-0.1514 -0.1028 -0.0542],-0.1513888888888889,0.9373034009196538
image processing,"[0.0, 0.3]",2,[0.075 0.15  0.225],0.22499999999999998,0.6540456569542098
issue,"[0.4, -0.2, -0.0875, 0.0]",4,[-0.1156 -0.0438  0.1   ],-0.11562499999999999,1.093080056727903
last night,"[0.6, 0.05000000000000002]",2,[0.1875 0.325  0.4625],0.46249999999999997,0.6639010612363101
local store,"[0.125, 0.18333333333333335]",2,[0.1396 0.1542 0.1688],0.16875,0.6737992636937654
low light,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.7748298302733668
moderate use,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.891753129704275
new phones,"[0.06818181818181818, 0.21212121212121213]",2,[0.1042 0.1402 0.1761],0.17613636363636365,0.8074608398876589
nice camera,"[0.26666666666666666, 0.6]",2,[0.35   0.4333 0.5167],0.5166666666666666,0.6414448731920772
notification sound,"[0.24242424242424243, 0.55]",2,[0.3193 0.3962 0.4731],0.47310606060606064,0.798024599257075
notification sounds,"[-0.5, 0.3333333333333333]",2,[-0.2917 -0.0833  0.125 ],-0.2916666666666667,0.9124397506964967
other forums,"[0.02734375, -0.0625]",2,[-0.04   -0.0176  0.0049],-0.0400390625,0.8550916786676963
other phones,"[0.4375, -0.125, 0.0875]",3,[-0.0188  0.0875  0.2625],0.2625,1.4556913884038074
problem,"[-0.041666666666666664, 0.0]",2,[-0.0312 -0.0208 -0.0104],-0.03125,0.6884191253461895
review,"[0.0, 0.0, 0.2]",3,[0.  0.  0.1],0.1,0.6662112655707983
safe mode,"[0.3333333333333333, 0.5, 0.25, 0.5]",4,[0.3125 0.4167 0.5   ],0.5,1.3347488689603142
same thing,"[-0.001388888888888891, 0.0]",2,[-0.001  -0.0007 -0.0003],-0.0010416666666666682,0.8729198869700509
secondary mic,"[-0.3, 0.05000000000000002]",2,[-0.2125 -0.125  -0.0375],-0.21249999999999997,0.6850320425555682
service provider,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.6991979099247867
software,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6419509716674223
solid device,"[0.3, 0.2375]",2,[0.2531 0.2688 0.2844],0.284375,0.7955494611732162
top notch,"[0.5, 0.5]",2,[0.5 0.5 0.5],0.5,0.7838901837215428
use,"[0.09999999999999999, 0.0]",2,[0.025 0.05  0.075],0.075,0.7065725584689245
very bottom,"[0.2, -0.15]",2,[-0.0625  0.025   0.1125],0.11250000000000002,0.6860290331397396
way,"[0.5, 1.0, -0.3888888888888889, 0.0]",4,[-0.0972  0.25    0.625 ],0.625,0.7100828515005535
