,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Great review,"[1.0, 0.8]",2,[0.85 0.9  0.95],0.95,0.7276967834126316
Thanks,"[0.2, 0.2, 0.2]",3,[0.2 0.2 0.2],0.2,0.6496710867101825
alternate app,"[0.03333333333333333, 0.03333333333333333]",2,[0.0333 0.0333 0.0333],0.03333333333333333,0.9014438624428457
app drawer,"[0.0, -0.3, 0.6000000000000001, 0.10416666666666666]",4,[-0.075   0.0521  0.2281],0.22812500000000002,1.8453785702941174
bad reviews,"[-0.6999999999999998, -0.6999999999999998]",2,[-0.7 -0.7 -0.7],-0.6999999999999998,0.9050510905220208
battery life,"[0.4000000000000001, -0.18240740740740743, 0.0, 0.5, 0.2, 0.2, 0.375, 0.3875, 1.0, 0.0, 0.0, 0.9099999999999999, -0.25, 0.5, 0.0, 0.26785714285714285, 0.7]",17,[0.     0.2679 0.5   ],0.5,2.7082767518507787
camera app,"[1.0, 0.05000000000000002, 0.5126923076923077]",3,[0.2813 0.5127 0.7563],0.7563461538461538,1.1191884393123699
camera button,"[0.06785714285714285, 0.0, 0.0, 0.0]",4,[0.    0.    0.017],0.016964285714285713,1.2769358529479256
camera software,"[0.5, -0.05096153846153847]",2,[0.0868 0.2245 0.3623],0.3622596153846154,0.6419509716674223
colors,"[0.6, 0.0, -0.08333333333333333]",3,[-0.0417  0.      0.3   ],0.3,0.81874802232237
complete rubbish,"[0.1, 0.1]",2,[0.1 0.1 0.1],0.1,0.6153881847429648
daily driver,"[0.35, 0.075, 0.075]",3,[0.075  0.075  0.2125],0.2125,1.244871960408231
detailed review,"[0.4666666666666666, 0.2, 0.4333333333333333]",3,[0.3167 0.4333 0.45  ],0.44999999999999996,1.0966765139795218
doing something,"[-0.1, -0.1]",2,[-0.1 -0.1 -0.1],-0.1,0.9413494172757211
experience,"[0.35, 0.35, 0.0, 0.0]",4,[0.    0.175 0.35 ],0.35,1.1925099812584419
finger print sensor,"[0.0, 0.13636363636363635]",2,[0.0341 0.0682 0.1023],0.10227272727272727,1.0001637912240748
fingerprint reader,"[0.08333333333333333, 0.0]",2,[0.0208 0.0417 0.0625],0.0625,0.789508374119287
fingerprint scanner,"[-0.2, 0.5]",2,[-0.025  0.15   0.325],0.325,0.7775746853923781
fingerprint sensor,"[0.2, 0.036309523809523805, -0.36388888888888893]",3,[-0.1638  0.0363  0.1182],-0.16378968253968257,1.327344770258096
flip case,"[-0.2571428571428572, -0.2571428571428572, 0.2]",3,[-0.2571 -0.2571 -0.0286],-0.2571428571428572,1.3941190488238424
front camera,"[0.13333333333333333, 0.23611111111111108, 0.2583333333333333, 0.3, 0.0, 0.5583333333333333]",6,[0.159  0.2472 0.2896],0.2895833333333333,1.4889783115540454
front camera quality,"[-0.1875, 0.5]",2,[-0.0156  0.1562  0.3281],0.328125,0.7570169624307228
good battery life,"[0.22499999999999998, 0.22499999999999998]",2,[0.225 0.225 0.225],0.22499999999999998,0.8855331467232364
having issues,"[-0.3, 0.0, 0.17916666666666667, 0.0037878787878787845]",4,[-0.075   0.0019  0.0476],-0.075,1.799193941477804
headphone jack,"[0.5, 0.0, 0.375, 0.0]",4,[0.     0.1875 0.4062],0.40625,1.4681457112477048
health insurance app,"[0.0, -0.8166666666666667]",2,[-0.6125 -0.4083 -0.2042],-0.6125,1.0169528389892115
heavy use,"[-0.6, -0.008333333333333338]",2,[-0.4521 -0.3042 -0.1562],-0.4520833333333333,0.9373034009196538
important apps,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.835912763755756
internal storage,"[0.06666666666666667, 0.3, -0.013888888888888902]",3,[0.0264 0.0667 0.1833],0.18333333333333332,1.0601342515631433
international model,"[0.0, 0.08333333333333333]",2,[0.0208 0.0417 0.0625],0.0625,0.6473080674615259
low light,"[0.14166666666666666, 0.2583333333333333, 0.3, 0.2, 0.2]",5,[0.2    0.2    0.2583],0.2583333333333333,1.799099151668537
low light conditions,"[0.13333333333333333, 0.2, 0.225]",3,[0.1667 0.2    0.2125],0.21250000000000002,1.5748877905027745
memory card,"[-0.013888888888888902, 0.0, 0.0]",3,[-0.0069  0.      0.    ],-0.006944444444444451,1.0666851450441213
mode,"[0.0, 0.0, 0.8]",3,[0.  0.  0.4],0.4,0.6023639062847522
mute button,"[-0.20277777777777778, 0.0]",2,[-0.1521 -0.1014 -0.0507],-0.15208333333333335,0.8435620429606087
notification shade,"[-0.15555555555555559, -0.15555555555555559]",2,[-0.1556 -0.1556 -0.1556],-0.15555555555555559,0.8139122632241271
notification sound,"[0.35555555555555557, 0.15833333333333335]",2,[0.2076 0.2569 0.3062],0.30625,0.798024599257075
one hand usage,"[0.0, -0.125]",2,[-0.0938 -0.0625 -0.0312],-0.09375,0.7163022068448737
other phones,"[-0.041666666666666664, 0.06785714285714285]",2,[-0.0143  0.0131  0.0405],0.04047619047619048,0.9184390089617068
phones,"[0.0, 0.6125, 0.0, 0.5, 0.0, -0.075]",6,[0.    0.    0.375],0.375,1.4702071077048717
power button,"[0.4, 0.0, -0.041666666666666664, 0.06785714285714285, 0.0, 0.0]",6,[0.     0.     0.0509],0.05089285714285714,1.6504156478483862
regular means,"[-0.1, -0.1]",2,[-0.1 -0.1 -0.1],-0.1,0.6221937018084704
small form factor,"[0.3875, 0.22499999999999998, 0.22499999999999998]",3,[0.225  0.225  0.3062],0.30625,1.520139318005254
software processing,"[-0.10833333333333334, -0.06666666666666661]",2,[-0.0979 -0.0875 -0.0771],-0.09791666666666665,0.784394070839987
strong signal,"[0.5633333333333334, 0.5633333333333334]",2,[0.5633 0.5633 0.5633],0.5633333333333334,0.7743730732291979
terrpain case,"[0.3, 0.3]",2,[0.3 0.3 0.3],0.3,0.6783525904436862
third party camera apps,"[0.03333333333333333, 0.03333333333333333]",2,[0.0333 0.0333 0.0333],0.03333333333333333,0.9495074484707566
useful app,"[0.39, 0.39]",2,[0.39 0.39 0.39],0.39,0.9658952723940238
using pixel 2,"[-0.1, 0.5]",2,[0.05 0.2  0.35],0.35,0.6098021057464592
was going,"[0.75, 0.0]",2,[0.1875 0.375  0.5625],0.5625,0.8498599385052816
wireless charging,"[0.1, 0.1]",2,[0.1 0.1 0.1],0.1,0.7437001163733141
