,sentiment,occurences,sentimentsSummary,sentimentEdges,score
4 K display,"[0.13636363636363635, 0.0, 0.42000000000000004, 0.0]",4,[0.     0.0682 0.2073],0.20727272727272728,0.7771129458439365
Battery life,"[-0.15555555555555559, 0.0]",2,[-0.1167 -0.0778 -0.0389],-0.1166666666666667,0.6625813755464813
G2,"[0.27499999999999997, 0.0, 0.0]",3,[0.     0.     0.1375],0.13749999999999998,0.8655547671365305
PC companion app,"[0.0, -0.175]",2,[-0.1312 -0.0875 -0.0438],-0.13124999999999998,1.0645906637977798
band 12,"[-0.25, 0.25, 0.0]",3,[-0.125  0.     0.125],-0.125,0.7368741184560069
battery,"[0.0, 0.25, 0.0, 0.0]",4,[0.     0.     0.0625],0.0625,1.3251627510929627
battery drain,"[0.0, 0.16666666666666666]",2,[0.0417 0.0833 0.125 ],0.125,0.8881974328730509
battery life,"[0.0, -0.4, 0.375, 0.09166666666666667, 0.0, 0.0, 0.4166666666666667, 0.3333333333333333, 0.0, -0.26638888888888884, 0.8]",11,[0.     0.     0.3542],0.35416666666666663,2.292154960485691
bug fixes,"[0.0, 0.4444444444444445]",2,[0.1111 0.2222 0.3333],0.33333333333333337,0.7723416797522862
business line,"[0.0, 0.13]",2,[0.0325 0.065  0.0975],0.0975,0.6409144442320469
calling,"[0.03571428571428571, -0.16666666666666666, 0.0]",3,[-0.0833  0.      0.0179],-0.08333333333333333,0.6441355487935373
case,"[0.6, 0.0, 0.08333333333333333]",3,[0.0417 0.0833 0.3417],0.3416666666666667,1.0751634181202994
chrome version,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.7423554807782826
clean install,"[0.18333333333333335, 0.18333333333333335]",2,[0.1833 0.1833 0.1833],0.18333333333333335,0.7194069591479242
device,"[0.15833333333333333, 0.0, 0.4, 0.25, -0.25]",5,[0.     0.1583 0.25  ],0.25,1.1415679062175583
different experience,"[0.1, 0.0]",2,[0.025 0.05  0.075],0.07500000000000001,0.7658463968954284
direct sunlight,"[-0.15833333333333333, 0.1]",2,[-0.0938 -0.0292  0.0354],-0.09375,0.6429480958764665
discovery app,"[0.0, 0.24285714285714285]",2,[0.0607 0.1214 0.1821],0.18214285714285713,0.8361351279700748
factory reset,"[-0.125, 0.0, 0.06818181818181818]",3,[-0.0625  0.      0.0341],-0.0625,1.1257572345173372
fast charge 2.0 charger,"[0.225, 0.2]",2,[0.2062 0.2125 0.2188],0.21875,0.9668875406508671
fingerprint issue,"[-0.16666666666666666, 0.0]",2,[-0.125  -0.0833 -0.0417],-0.125,0.8299971432856146
fresh water,"[0.02142857142857143, -0.10000000000000006]",2,[-0.0696 -0.0393 -0.0089],-0.06964285714285719,0.6368618175333169
full bars,"[0.057499999999999996, 0.35]",2,[0.1306 0.2037 0.2769],0.276875,0.6109164336189682
good way,"[0.7, 0.38690476190476186]",2,[0.4652 0.5435 0.6217],0.6217261904761904,0.6770345896681897
heating issues,"[-0.25, 0.0]",2,[-0.1875 -0.125  -0.0625],-0.1875,0.7129530365412816
heavy user,"[-0.2, 0.036111111111111094]",2,[-0.141  -0.0819 -0.0229],-0.14097222222222225,0.7033507713017434
internet connection,"[0.0, -0.3]",2,[-0.225 -0.15  -0.075],-0.22499999999999998,0.7394841974564649
issue,"[0.0, 0.0, 0.0, 0.0, 0.1, 0.11499999999999999, 0.0]",7,[0.   0.   0.05],0.05,1.5343318387290419
little bit,"[-0.1875, -0.09809027777777779]",2,[-0.1651 -0.1428 -0.1204],-0.16514756944444445,0.8033763362600671
long press,"[0.09814814814814814, 0.07678571428571429, -0.05]",3,[0.0134 0.0768 0.0875],0.08746693121693122,1.1528652468799612
mobile data,"[0.0, -0.04166666666666667, 0.0]",3,[-0.0208  0.      0.    ],-0.020833333333333336,0.6283375685423909
notification log,"[0.09814814814814814, -0.1, 0.0]",3,[-0.05    0.      0.0491],-0.05,1.4214964582551315
only thing,"[-0.125, 0.0]",2,[-0.0938 -0.0625 -0.0312],-0.09375,0.8708685799884505
other features,"[-0.07954545454545454, -0.07954545454545454]",2,[-0.0795 -0.0795 -0.0795],-0.07954545454545454,0.8345135925606696
other hand,"[-0.1625, -0.125]",2,[-0.1531 -0.1438 -0.1344],-0.153125,0.7758988478380858
personal line,"[0.0, 0.13]",2,[0.0325 0.065  0.0975],0.0975,0.6850671922507141
posts,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.6204336443216938
quick question,"[0.3333333333333333, 0.3333333333333333]",2,[0.3333 0.3333 0.3333],0.3333333333333333,0.7823786088359153
red light,"[0.2, 0.030000000000000006]",2,[0.0725 0.115  0.1575],0.15750000000000003,0.671317264700207
router,"[0.0, 0.0, 0.05]",3,[0.    0.    0.025],0.025,0.812355414432095
same thing,"[0.4, -0.0625, 0.0]",3,[-0.0312  0.      0.2   ],0.2,1.383545286981281
settings,"[-0.15555555555555559, 0.0, 0.0]",3,[-0.0778  0.      0.    ],-0.07777777777777779,0.8815376911692204
side keys,"[0.0, -0.06666666666666661]",2,[-0.05   -0.0333 -0.0167],-0.04999999999999996,0.6224155308308023
small chance,"[-0.25, -0.25]",2,[-0.25 -0.25 -0.25],-0.25,0.7845056518706577
smart settings,"[0.14285714285714285, 0.14285714285714285, 0.20238095238095236]",3,[0.1429 0.1429 0.1726],0.17261904761904762,0.8815376911692204
status bar,"[-0.15555555555555559, 0.0, -0.125]",3,[-0.1403 -0.125  -0.0625],-0.14027777777777778,1.128653956960684
update,"[0.0, 0.0, 0.0, 0.2]",4,[0.   0.   0.05],0.05,1.2859881401163973
was coming,"[0.09166666666666667, 0.0]",2,[0.0229 0.0458 0.0688],0.06875,0.827465491107839
was going,"[0.5, 0.3181818181818182]",2,[0.3636 0.4091 0.4545],0.45454545454545453,0.8498599385052816
was using,"[0.0, 0.3499999999999999, 0.0]",3,[0.    0.    0.175],0.17499999999999996,1.498050818108877
wireless charging,"[-0.75, 0.5]",2,[-0.4375 -0.125   0.1875],-0.4375,0.7437001163733141
