,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1080p screens,"[-0.0625, 0.03866666666666667, 0.5]",3,[-0.0119  0.0387  0.2693],0.2693333333333333,0.6088199052621674
128 GB SD card,"[0.08333333333333334, 0.08333333333333334]",2,[0.0833 0.0833 0.0833],0.08333333333333334,0.9938570409765729
16 gb,"[0.0, 0.3333333333333333, 0.3333333333333333, -0.175]",4,[-0.0438  0.1667  0.3333],0.3333333333333333,1.0821145751755532
2 GB RAM,"[0.2833333333333333, 0.2833333333333333, 0.05, 0.0]",4,[0.0375 0.1667 0.2833],0.2833333333333333,1.0821145751755532
2 gb,"[0.06250000000000003, 0.0, 0.0625]",3,[0.0312 0.0625 0.0625],0.06250000000000001,0.8575555115685283
32 gb,"[0.2, 0.0, 0.0]",3,[0.  0.  0.1],0.1,0.8575555115685283
4k display,"[0.0, 0.002678571428571419, 0.5]",3,[0.0013 0.0027 0.2513],0.2513392857142857,0.6158474389937951
4k video,"[0.0, -0.16666666666666666, -0.15555555555555559]",3,[-0.1611 -0.1556 -0.0778],-0.16111111111111112,0.864835293489991
5 using Tapatalk,"[0.0, 0.10833333333333334]",2,[0.0271 0.0542 0.0812],0.08125,0.6098021057464592
810 processor,"[0.175, 0.0, 0.35]",3,[0.0875 0.175  0.2625],0.26249999999999996,0.6607910783715496
Battery life,"[-0.4, 0.8]",2,[-0.1  0.2  0.5],0.5000000000000001,0.6625813755464813
Only thing,"[0.02878787878787878, 0.1875]",2,[0.0685 0.1081 0.1478],0.1478219696969697,0.8708685799884505
SIM card,"[0.0, 0.30059523809523814, 0.0]",3,[0.     0.     0.1503],0.15029761904761907,0.6364762053324088
TV market,"[0.4333333333333333, 0.4333333333333333]",2,[0.4333 0.4333 0.4333],0.4333333333333333,0.7888904019118184
Thanks,"[-0.024999999999999994, 0.037500000000000006, 0.2, -0.046428571428571416, -0.016666666666666663, 0.2, 0.2, 0.2, 0.225, 0.1]",10,[-0.0031  0.15    0.2   ],0.2,1.361647757847014
alarm ringtone,"[0.05, 0.15]",2,[0.075 0.1   0.125],0.12499999999999999,0.7809111374886503
amazing job,"[0.4, 0.10000000000000003]",2,[0.175 0.25  0.325],0.32500000000000007,0.7536349344910421
anything,"[-0.2, 0.0, 0.0, -0.2, -0.3499999999999999, 0.0, -0.5, 0.0, 0.0]",9,[-0.2  0.   0. ],-0.2,2.0172668953841515
app,"[0.0, 0.0, 0.06818181818181818, 0.0, 0.0625, 0.0, 0.0]",7,[0.     0.     0.0312],0.03125,1.9823555272657627
app updates,"[0.0, 0.0, 0.21428571428571427]",3,[0.     0.     0.1071],0.10714285714285714,1.5067433893102393
apps,"[-0.16666666666666666, 0.5, 0.10000000000000002, 0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.0]",9,[0.     0.     0.0667],0.06666666666666667,1.9347656436802803
bad batch,"[-0.039999999999999966, -0.6999999999999998]",2,[-0.535 -0.37  -0.205],-0.5349999999999999,0.804572194050267
band 12,"[0.0, 0.0, 0.5, 0.05, 0.0]",5,[0.   0.   0.05],0.05,1.0795010716404152
battery,"[-0.025, 0.0, 0.0, 0.5, 0.19999999999999998, 0.0, 0.5, 0.0, -0.6]",9,[0.  0.  0.2],0.19999999999999998,2.1003332678348294
battery drain issues,"[0.25, 0.125]",2,[0.1562 0.1875 0.2188],0.21875,1.0678878096611553
