,sentiment,occurences,sentimentsSummary,sentimentEdges,score
3 GB RAM,"[0.0, 0.13333333333333333, 0.25]",3,[0.0667 0.1333 0.1917],0.19166666666666665,0.8575555115685283
3 GB RAM model,"[0.0, -0.4777777777777778]",2,[-0.3583 -0.2389 -0.1194],-0.35833333333333334,0.7854909772278816
5 hands,"[0.5599999999999999, 0.5599999999999999, 0.0, 0.0]",4,[0.   0.28 0.56],0.5599999999999999,0.9572305635077912
64 GB ROM,"[0.0, 0.13333333333333333]",2,[0.0333 0.0667 0.1   ],0.1,0.7872376015985225
Battery life,"[0.9, 0.8, 0.74]",3,[0.77 0.8  0.85],0.8500000000000001,1.0501666339174147
Good luck,"[0.35, 0.7]",2,[0.4375 0.525  0.6125],0.6124999999999999,0.8029797929674225
Many thanks,"[0.26875, 0.35]",2,[0.2891 0.3094 0.3297],0.32968749999999997,0.7738948108863504
RAW files,"[0.0952991452991453, 0.17307692307692304]",2,[0.1147 0.1342 0.1536],0.15363247863247861,0.6902074382102809
USB debugging,"[-0.22916666666666666, -0.4]",2,[-0.3573 -0.3146 -0.2719],-0.35729166666666673,0.6610111163359759
USB storage,"[0.016666666666666673, -0.08888888888888889, 0.0, 0.0]",4,[-0.0222  0.      0.0042],-0.022222222222222223,1.407279306523251
app,"[0.4, 0.06818181818181818, 0.0]",3,[0.0341 0.0682 0.2341],0.2340909090909091,1.1191884393123699
app icons,"[0.0, -0.125, 0.25]",3,[-0.0625  0.      0.125 ],0.125,1.3859839214764424
audio output,"[0.16666666666666666, 0.2094017094017094]",2,[0.1774 0.188  0.1987],0.1987179487179487,0.7648069802507647
battery life,"[0.09375, 0.5, 0.9]",3,[0.2969 0.5    0.7   ],0.7,1.0501666339174147
battery saver,"[0.0, 0.125]",2,[0.0312 0.0625 0.0938],0.09375,0.8741470677622335
cache partition,"[0.43333333333333335, 0.012499999999999997, 0.012499999999999997]",3,[0.0125 0.0125 0.2229],0.22291666666666668,1.2782731860586836
doing anything,"[0.29523809523809524, 0.0]",2,[0.0738 0.1476 0.2214],0.22142857142857142,0.918565685672709
factory reset,"[0.2787878787878788, 0.0]",2,[0.0697 0.1394 0.2091],0.2090909090909091,0.710273734555309
family member,"[0.06818181818181818, 0.16666666666666666]",2,[0.0928 0.1174 0.142 ],0.14204545454545453,0.7523858033498311
favorite apps,"[0.5, -0.041666666666666664]",2,[0.0938 0.2292 0.3646],0.3645833333333333,0.8226860229585724
files,"[-0.25, 0.0, 0.0]",3,[-0.125  0.     0.   ],-0.125,0.6505316472016404
fingerprint sensor,"[-0.12499999999999999, 0.4, 0.3833333333333333]",3,[0.1292 0.3833 0.3917],0.39166666666666666,1.327344770258096
forum,"[0.4, 0.0, 0.0, 0.0]",4,[0.  0.  0.1],0.1,1.0900015578306745
global version,"[0.0, 0.2]",2,[0.05 0.1  0.15],0.15000000000000002,0.6975302074305858
gorilla glass,"[0.15833333333333333, 0.275, 0.0]",3,[0.0792 0.1583 0.2167],0.21666666666666667,1.0921938285264448
home screen,"[0.0, 0.0, -0.25]",3,[-0.125  0.     0.   ],-0.125,0.6781546677927358
internal memory,"[0.0, 0.0, 0.0, -0.016666666666666666, -0.016666666666666666]",5,[-0.0167  0.      0.    ],-0.016666666666666666,1.5444064379546096
internal storage,"[0.17857142857142858, 0.016666666666666673, 0.0]",3,[0.0083 0.0167 0.0976],0.09761904761904762,1.0601342515631433
issue,"[0.2, -0.2, -0.1]",3,[-0.15 -0.1   0.05],-0.15000000000000002,0.8662454500999403
low light,"[0.375, 0.4000000000000001]",2,[0.3813 0.3875 0.3938],0.39375000000000004,0.7748298302733668
many levels,"[0.7, 0.5599999999999999, 0.5599999999999999]",3,[0.56 0.56 0.63],0.6299999999999999,1.3139672525255355
other notifications,"[0.012499999999999997, 0.012499999999999997]",2,[0.0125 0.0125 0.0125],0.012499999999999997,0.905331968982923
other suggestions,"[0.025000000000000005, -0.125, 0.0625]",3,[-0.05    0.025   0.0438],-0.049999999999999996,1.3148804275496075
outgoing calls,"[-0.2878787878787879, 0.0]",2,[-0.2159 -0.1439 -0.072 ],-0.21590909090909094,0.7542227145299696
paste process,"[0.0, -0.08888888888888889]",2,[-0.0667 -0.0444 -0.0222],-0.06666666666666667,0.7066398795530058
pictures using Mix 2,"[0.5, 0.5]",2,[0.5 0.5 0.5],0.5,0.8541229013700331
portrait mode,"[0.5, 0.4]",2,[0.425 0.45  0.475],0.475,0.6467577171418235
power button,"[-0.12499999999999999, 0.3833333333333333]",2,[0.0021 0.1292 0.2562],0.25625,0.6384679264739628
processor,"[0.5, 0.35714285714285715, 0.0]",3,[0.1786 0.3571 0.4286],0.4285714285714286,0.6607910783715496
root access,"[0.3, 0.0]",2,[0.075 0.15  0.225],0.22499999999999998,0.6559061055615436
similar issue,"[-0.0625, 0.041666666666666664]",2,[-0.0365 -0.0104  0.0156],-0.036458333333333336,0.8728153149803448
speech recognition,"[0.0, -0.056249999999999994, 0.5, -0.16666666666666666, 0.0, 0.35, 0.06190476190476191]",7,[-0.0281  0.      0.206 ],0.20595238095238094,1.7170439509170805
superb device,"[1.0, 1.0]",2,[1. 1. 1.],1.0,0.657585664984326
three text files,"[0.0, 0.17857142857142858]",2,[0.0446 0.0893 0.1339],0.13392857142857142,0.9548583026245998
usb mass storage,"[-0.05300000000000001, -0.016666666666666666]",2,[-0.0439 -0.0348 -0.0258],-0.04391666666666667,0.9148403578515277
use,"[0.17857142857142858, -0.1777777777777778]",2,[-0.0887  0.0004  0.0895],0.08948412698412697,0.7065725584689245
was wondering,"[0.225, 0.225, 0.0]",3,[0.1125 0.225  0.225 ],0.225,1.371149058687703
