,sentiment,occurences,sentimentsSummary,sentimentEdges,score
Thanks,"[0.2, 0.30000000000000004, 0.2]",3,[0.2  0.2  0.25],0.25,0.6496710867101825
apps,"[0.0, -0.225]",2,[-0.1688 -0.1125 -0.0562],-0.16875,0.6103506053928607
device,"[0.5, 0.0625, 0.0, 0.1]",4,[0.0469 0.0812 0.2   ],0.2,0.9832930733136559
durable phones,"[0.184375, 0.0]",2,[0.0461 0.0922 0.1383],0.13828125000000002,0.7298229942064557
full reviews,"[0.3, 0.16249999999999998]",2,[0.1969 0.2312 0.2656],0.265625,0.7327135168970477
little bit,"[0.21914062499999998, 0.21914062499999998]",2,[0.2191 0.2191 0.2191],0.21914062499999998,0.8033763362600671
other hand,"[-0.125, -0.125]",2,[-0.125 -0.125 -0.125],-0.125,0.7758988478380858
price,"[0.0, 0.26, 0.25555555555555554]",3,[0.1278 0.2556 0.2578],0.2577777777777778,0.8484225792745048
price tag,"[0.21914062499999998, 0.0, -0.10416666666666666]",3,[-0.0521  0.      0.1096],0.10957031249999999,1.1446750344181775
security,"[0.5, 0.4]",2,[0.425 0.45  0.475],0.475,0.6149875191770576
security patches,"[0.1, 0.0]",2,[0.025 0.05  0.075],0.07500000000000001,0.8087825796135054
