,sentiment,occurences,sentimentsSummary,sentimentEdges,score
32 gb,"[0.0, 0.0, -0.16666666666666666, -0.16666666666666666, 0.0]",5,[-0.1667  0.      0.    ],-0.16666666666666666,1.2562961169936098
Bad design,"[-0.23333333333333328, -0.6999999999999998]",2,[-0.5833 -0.4667 -0.35  ],-0.5833333333333333,0.6199298121141621
OS,"[0.25, 0.0]",2,[0.0625 0.125  0.1875],0.1875,0.6072210522297913
SD card,"[0.0, -0.041666666666666664, 0.0]",3,[-0.0208  0.      0.    ],-0.020833333333333332,1.21133682074998
back,"[0.0, 0.0, 0.1]",3,[0.   0.   0.05],0.05,0.9298928168851572
bad design,"[-0.4699999999999999, -0.6999999999999998]",2,[-0.6425 -0.585  -0.5275],-0.6424999999999998,0.6199298121141621
battery,"[0.0, 0.0, 0.0, 0.0, -0.16666666666666666, -0.05, 0.0, 0.0]",8,[-0.0125  0.      0.    ],-0.0125,1.9877441266394438
battery backup,"[0.35, 0.2, 1.0, 0.0, 0.5]",5,[0.2  0.35 0.5 ],0.5,2.0253454194032856
battery capacity,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.7914373979681542
bit,"[0.0, -0.15555555555555559]",2,[-0.1167 -0.0778 -0.0389],-0.1166666666666667,0.6508794473304713
body ratio,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.7393112055823595
bottom bezel,"[-0.175, 0.4666666666666667]",2,[-0.0146  0.1458  0.3062],0.30624999999999997,0.7708184688865686
build quality,"[0.45126082251082256, 0.5]",2,[0.4634 0.4756 0.4878],0.48781520562770564,0.7643149769713367
card,"[-0.19999999999999998, -0.125, 0.0, 0.0, 0.0]",5,[-0.125  0.     0.   ],-0.125,0.9324207873790051
card support,"[0.4533333333333333, 0.0]",2,[0.1133 0.2267 0.34  ],0.33999999999999997,0.6392795749623967
case,"[0.43333333333333335, 0.5]",2,[0.45   0.4667 0.4833],0.48333333333333334,0.6783525904436862
cloud,"[0.0, 0.7, 0.0]",3,[0.   0.   0.35],0.35,0.6931645071721411
comment,"[0.2, 0.0, 0.16666666666666666]",3,[0.0833 0.1667 0.1833],0.18333333333333335,0.6759543179121188
country,"[0.0, 0.525, 0.5]",3,[0.25   0.5    0.5125],0.5125,0.737185634942836
daily driver,"[0.0, 0.125]",2,[0.0312 0.0625 0.0938],0.09375,0.7854267592083822
device,"[0.0, 0.0, 0.0, 0.09523809523809523, 0.0, 0.25]",6,[0.     0.     0.0714],0.07142857142857142,1.2708878608673295
devices,"[-0.16666666666666666, 0.0, 0.5, 0.0, 0.2]",5,[0.  0.  0.2],0.2,1.0569056863360415
display,"[0.0, 0.0, 0.13636363636363635, -0.4]",4,[-0.1     0.      0.0341],-0.1,0.7771129458439365
double tap,"[0.03333333333333333, 0.5]",2,[0.15   0.2667 0.3833],0.38333333333333336,0.863542724679456
fact,"[0.0, 0.0, 0.1875]",3,[0.     0.     0.0938],0.09375,0.7277867624030598
fast charging,"[0.2, 0.2, 0.2, 0.2]",4,[0.2 0.2 0.2],0.2,1.5493160036041178
favorite letter,"[0.4166666666666667, 0.4285714285714286]",2,[0.4196 0.4226 0.4256],0.42559523809523814,0.6043707915244779
feature,"[0.9099999999999999, 0.0, 0.0]",3,[0.    0.    0.455],0.45499999999999996,0.9407387620323595
flagships,"[0.0, 0.06499999999999999, 0.7]",3,[0.0325 0.065  0.3825],0.38249999999999995,0.8063149122055189
free apps,"[0.4, 0.3333333333333333]",2,[0.35   0.3667 0.3833],0.38333333333333336,0.8399000361404948
free gift,"[0.09583333333333334, -0.04, 0.4]",3,[0.0279 0.0958 0.2479],0.24791666666666667,1.0232036406416303
good camera,"[0.7, 0.26666666666666666, 0.4533333333333333]",3,[0.36   0.4533 0.5767],0.5766666666666667,0.7542451564588117
good experience,"[0.15499999999999997, 0.20999999999999996]",2,[0.1687 0.1825 0.1962],0.19624999999999998,0.8380915125849127
good specs,"[0.3039285714285714, 0.44999999999999996]",2,[0.3404 0.377  0.4135],0.4134821428571428,0.7452420218504056
hand,"[0.0, 0.4, 0.4666666666666667, 0.5]",4,[0.3    0.4333 0.475 ],0.475,0.6274454676796897
hardware,"[0.0, 0.4166666666666667, 0.0]",3,[0.     0.     0.2083],0.20833333333333334,0.9928484702748822
hardware issue,"[0.0, 0.08095238095238097]",2,[0.0202 0.0405 0.0607],0.06071428571428573,0.9010101139877079
