,sentiment,occurences,sentimentsSummary,sentimentEdges,score
3.5 mm jack,"[0.0, -0.3333333333333333, -0.3333333333333333, 0.0, 0.5]",5,[-0.3333  0.      0.    ],-0.3333333333333333,1.5143208771523928
Front facing speakers,"[0.0, 1.0]",2,[0.25 0.5  0.75],0.75,0.9487325496272445
audio jack,"[0.16, 0.16, 0.16, 0.0, -0.15, 0.0]",6,[0.   0.08 0.16],0.16,1.752977327795156
back,"[-0.10000000000000002, 0.0, 0.0, -0.5]",4,[-0.2  -0.05  0.  ],-0.2,1.173394091610441
bit,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6508794473304713
body ratio,"[-0.4, 0.0, -0.125, 0.0]",4,[-0.1938 -0.0625  0.    ],-0.19375,1.478622411164719
device,"[0.13333333333333333, 0.25, 0.0, -0.075]",4,[-0.0188  0.0667  0.1625],0.1625,0.9832930733136559
final version,"[-0.3499999999999999, 0.0]",2,[-0.2625 -0.175  -0.0875],-0.26249999999999996,0.6084225580435592
good camera,"[0.7, 0.7, 0.7]",3,[0.7 0.7 0.7],0.7,0.7542451564588117
good experience,"[0.7, 0.5333333333333333]",2,[0.575  0.6167 0.6583],0.6583333333333332,0.8380915125849127
hardware,"[-0.07142857142857142, 0.0, 0.5]",3,[-0.0357  0.      0.25  ],0.25,0.9928484702748822
high end,"[0.14785123966942149, 0.16]",2,[0.1509 0.1539 0.157 ],0.15696280991735537,0.6393624034237146
high price,"[0.16, 0.18000000000000002]",2,[0.165 0.17  0.175],0.17500000000000002,0.7734329901247439
inches,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,0.7661862874988873
long term reliability,"[-0.05, -0.05]",2,[-0.05 -0.05 -0.05],-0.05,0.8989829814840153
mobile phones,"[0.0, -0.17500000000000002]",2,[-0.1312 -0.0875 -0.0438],-0.13125,0.7714599277959356
money,"[0.0, -0.2, 0.0]",3,[-0.1  0.   0. ],-0.1,0.7217093826096475
new mobile,"[0.17784090909090908, 0.13636363636363635]",2,[0.1467 0.1571 0.1675],0.1674715909090909,0.6899160219322242
nice design,"[0.78, 0.6]",2,[0.645 0.69  0.735],0.735,0.6414448731920772
price tag,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.7222095373848603
removable battery,"[0.0, -0.475]",2,[-0.3562 -0.2375 -0.1188],-0.35624999999999996,0.9050331739403265
same price,"[0.24285714285714285, 0.0]",2,[0.0607 0.1214 0.1821],0.18214285714285713,0.9050199425674269
security patch,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.8900879345278706
size,"[0.0, 0.0, 0.2857142857142857, 0.2857142857142857]",4,[0.     0.1429 0.2857],0.2857142857142857,0.6864009532879691
small size,"[0.10333333333333335, -0.017857142857142863]",2,[0.0124 0.0427 0.073 ],0.0730357142857143,0.6931163360729948
social media,"[0.06666666666666667, 0.26666666666666666]",2,[0.1167 0.1667 0.2167],0.21666666666666667,0.7156387211516096
software,"[0.04375, 0.0, 0.5]",3,[0.0219 0.0438 0.2719],0.271875,1.0174682173943739
stereo speakers,"[0.55, -0.2, 0.0]",3,[-0.1    0.     0.275],0.275,1.0797055750665174
system cameras,"[-0.16296296296296298, 0.2]",2,[-0.0722  0.0185  0.1093],0.10925925925925928,0.6730472297678178
updates,"[0.0, 0.5, 0.35]",3,[0.175 0.35  0.425],0.425,0.8519209668253307
use,"[0.10972222222222221, 0.0]",2,[0.0274 0.0549 0.0823],0.08229166666666665,0.7065725584689245
