,sentiment,occurences,sentimentsSummary,sentimentEdges,score
299 Oppo HA-2 amp,"[0.0, 0.44375, 0.0]",3,[0.     0.     0.2219],0.221875,0.7305042551842765
299 Oppo HA-2 portable premium amp,"[0.05, 0.0]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.6504261366013359
2nd place,"[0.32, -0.2, -0.2]",3,[-0.2  -0.2   0.06],-0.2,0.6960012112727249
3.5 mm jack,"[1.0, 0.0, 0.5]",3,[0.25 0.5  0.75],0.75,1.0336848111836743
300-$400 headphones,"[0.5425, 0.5125, 0.1]",3,[0.3062 0.5125 0.5275],0.5275,0.950028700392088
3000 mAh,"[0.3166666666666667, -0.6999999999999998, 0.25, 0.1, -0.4]",5,[-0.4   0.1   0.25],-0.4,1.020514233786132
3000mah battery,"[0.43333333333333335, 0.0]",2,[0.1083 0.2167 0.325 ],0.325,0.6625813755464813
32 gb,"[0.0, 1.0, -0.050000000000000044, -0.06565656565656565]",4,[-0.0539 -0.025   0.25  ],0.25,1.0821145751755532
3rd party apps,"[0.0, 0.05, 0.5]",3,[0.025 0.05  0.275],0.275,1.228427421129025
64 GB version,"[0.0, 0.0, 0.2857142857142857]",3,[0.     0.     0.1429],0.14285714285714285,1.2364030508377926
64 gb,"[0.0, 0.2, 0.4, 1.0]",4,[0.15 0.3  0.55],0.55,1.0821145751755532
7.5 mm,"[0.0, 0.0, -0.30000000000000004, -0.25, -0.25]",5,[-0.25 -0.25  0.  ],-0.25,0.9246798820637865
820 chip,"[0.2, 0.0, 0.5, 0.0]",4,[0.    0.1   0.275],0.275,0.9680787727351045
820 processor,"[-0.08333333333333333, 0.05, 0.5]",3,[-0.0167  0.05    0.275 ],0.275,0.6607910783715496
Audio quality,"[0.75, 0.0, 1.0, 0.5, 0.0]",5,[0.   0.5  0.75],0.75,1.5123228927825358
BEST sound quality,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.8129600139682212
CLOSE attention,"[0.3333333333333333, 0.3333333333333333]",2,[0.3333 0.3333 0.3333],0.3333333333333333,0.7856779481498228
Capacitive buttons,"[0.45, 0.0]",2,[0.1125 0.225  0.3375],0.3375,0.7487094087797378
Clear partition cache,"[0.10000000000000002, 0.10000000000000002]",2,[0.1 0.1 0.1],0.10000000000000002,1.0496695962430829
Did anyone,"[-0.13333333333333328, -0.05833333333333333, -0.3]",3,[-0.2167 -0.1333 -0.0958],-0.21666666666666662,0.9702207825457059
Front facing,"[0.25, -0.16]",2,[-0.0575  0.045   0.1475],0.1475,0.7694480093424971
Gold,"[0.0, 0.5, 0.0, 0.5, 0.0]",5,[0.  0.  0.5],0.5,0.8475735911094888
Gold colour,"[0.5, 0.6]",2,[0.525 0.55  0.575],0.575,0.6068545816540074
Good luck,"[0.6, 0.875, 0.875, 0.875, 0.7, 0.7, 0.875, 0.875]",8,[0.7   0.875 0.875],0.875,2.4089393789022675
Great camera,"[0.8, 0.8, 0.2166666666666667]",3,[0.5083 0.8    0.8   ],0.8,0.7742616911663012
IR,"[0.0, 0.39999999999999997, 0.0, 0.0]",4,[0.  0.  0.1],0.09999999999999999,0.8425159222014601
Infrared port,"[0.0, 0.0, 0.4, 0.2, 0.0]",5,[0.  0.  0.2],0.2,1.2675151024978166
MP front camera,"[-0.045, -0.15]",2,[-0.1237 -0.0975 -0.0713],-0.12374999999999999,0.8407961896494139
Main camera,"[0.5383333333333333, 0.4666666666666667, 0.2888888888888889]",3,[0.3778 0.4667 0.5025],0.5025,0.6839032341288809
Many people,"[0.6666666666666666, 0.5, 0.10416666666666666]",3,[0.3021 0.5    0.5833],0.5833333333333333,1.2087538377657818
Nice review,"[0.6, 0.6]",2,[0.6 0.6 0.6],0.6,0.8393805931956262
Nice specs,"[0.6, 0.4]",2,[0.45 0.5  0.55],0.5499999999999999,0.8616862386123361
Only problem,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.9971754292571362
Radio,"[-0.033333333333333326, 1.0, 0.0, 0.5, 0.0]",5,[0.  0.  0.5],0.5,1.1458973125140264
Red colour,"[0.2, 0.25]",2,[0.2125 0.225  0.2375],0.2375,0.6947911745503528
Res music,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,0.8492334646490466
SD card,"[0.14444444444444446, 0.5]",2,[0.2333 0.3222 0.4111],0.4111111111111111,0.7642684418078175
Sense,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,0.9691443904444739
Settings menu,"[0.1, 0.26666666666666666, -0.3333333333333333]",3,[-0.1167  0.1     0.1833],0.18333333333333335,1.1840078052107323
Sound quality,"[0.55, 0.5125, 0.4]",3,[0.4562 0.5125 0.5312],0.53125,0.9477019467141129
Streaming radio apps,"[-0.25, -0.1]",2,[-0.2125 -0.175  -0.1375],-0.2125,1.0122765621932968
