,sentiment,occurences,sentimentsSummary,sentimentEdges,score
128 GB,"[0.0, 0.0, 0.16666666666666666, 0.0]",4,[0.     0.     0.0417],0.041666666666666664,1.0821145751755532
128 GB version,"[0.16666666666666666, 0.0, 0.13333333333333333, 0.0]",4,[0.     0.0667 0.1417],0.14166666666666666,1.560166944360173
16 mp,"[0.16666666666666666, 0.5414285714285714, 0.0]",3,[0.0833 0.1667 0.354 ],0.354047619047619,0.7982082096237185
1920 pixels,"[0.0, -0.3499999999999999, -0.75]",3,[-0.55  -0.35  -0.175],-0.5499999999999999,0.7301725054510572
2160p video recording,"[0.0, 1.0]",2,[0.25 0.5  0.75],0.75,0.7102559766665868
30 mins,"[0.0, 0.175, 0.175, -0.04444444444444443]",4,[-0.0111  0.0875  0.175 ],0.175,0.8220654898403863
3000mah battery,"[0.034999999999999996, 0.1]",2,[0.0512 0.0675 0.0838],0.08375,0.6625813755464813
3rd party app,"[0.3, 0.0]",2,[0.075 0.15  0.225],0.22499999999999998,0.8516478667545032
4k video recording,"[0.0, 0.175]",2,[0.0438 0.0875 0.1312],0.13124999999999998,0.7102559766665868
6.0 inch display,"[1.0, 0.0]",2,[0.25 0.5  0.75],0.75,0.6497385028027118
64 GB,"[0.35, 0.0, 0.0, 0.0]",4,[0.     0.     0.0875],0.0875,1.0821145751755532
64 gb,"[-0.025, 0.0, 0.25, 0.0, 1.0, 0.0, 0.0]",7,[0.    0.    0.125],0.125,1.5189398394246814
Chinese phones,"[0.0, 0.25]",2,[0.0625 0.125  0.1875],0.1875,0.811159218756642
Chinese version,"[-0.125, 0.0, 0.1, 0.1, 0.3361111111111111]",5,[0.  0.1 0.1],0.1,1.6855230411788673
Fast battery charging,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,1.0665426682434396
Full HD,"[0.3880952380952381, 0.175, 0.275, 0.425]",4,[0.25   0.3315 0.3973],0.3973214285714286,0.6802354298576962
Great device,"[0.8, 0.7, 0.8]",3,[0.75 0.8  0.8 ],0.8,1.2272413443454586
K videos,"[0.2, 0.39999999999999997, 0.39999999999999997]",3,[0.3 0.4 0.4],0.39999999999999997,0.6406120612657411
LTE bands,"[0.0, 0.08333333333333333, 0.5]",3,[0.0417 0.0833 0.2917],0.2916666666666667,0.6615408178514447
Many people,"[0.25, 0.5]",2,[0.3125 0.375  0.4375],0.4375,0.7626387609901181
Picture quality,"[1.0, 0.7, 0.2]",3,[0.45 0.7  0.85],0.85,1.0097264073313965
SD card,"[-0.4, 0.0]",2,[-0.3 -0.2 -0.1],-0.30000000000000004,0.7642684418078175
SIM cards,"[0.35, 0.35, 0.35, 0.0, -0.0014322916666666824, -0.0014322916666666824, 0.25]",7,[-0.0007  0.25    0.35  ],0.35,1.3985999777270788
Same problem,"[0.0, 0.13333333333333333]",2,[0.0333 0.0667 0.1   ],0.1,0.9988854426106751
Thanks,"[0.1, 0.35000000000000003, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.45, 0.2, 0.2, 0.2, 0.175, -0.16276041666666666, 0.13333333333333333, 0.26666666666666666]",17,[0.2 0.2 0.2],0.2,1.6754380149400037
VIP card,"[0.0, 0.35, -0.05]",3,[-0.025  0.     0.175],0.175,0.8872654186393671
advice,"[0.0, 0.0, 0.4166666666666667, 0.2, 0.0]",5,[0.  0.  0.2],0.2,1.2644575616100655
amazing phones,"[0.11212121212121214, 0.3026466836734694]",2,[0.1598 0.2074 0.255 ],0.2550153157854051,0.8096018427756992
android system,"[0.0, 0.38999999999999996, 0.5, 0.5]",4,[0.2925 0.445  0.5   ],0.5,0.9194453552386199
app running,"[0.0, 0.0, 0.26666666666666666]",3,[0.     0.     0.1333],0.13333333333333333,1.5370304457167603
application,"[0.0, 0.0, -0.041666666666666664]",3,[-0.0208  0.      0.    ],-0.020833333333333332,0.8585287937262305
apps,"[0.30000000000000004, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, -0.15555555555555559]",8,[0.   0.   0.05],0.05,1.8310518161785818
apps running,"[0.0, 0.0, 0.057500000000000016, 0.057500000000000016, 0.057500000000000016, 0.05227272727272729]",6,[0.0131 0.0549 0.0575],0.057500000000000016,2.3412925595605456
audio output,"[0.06439393939393939, 0.06439393939393939]",2,[0.0644 0.0644 0.0644],0.06439393939393939,0.7648069802507647
audio quality,"[0.675, 0.3]",2,[0.3938 0.4875 0.5812],0.58125,0.6513220181591796
back camera,"[0.0, 0.2325, 0.3666666666666667, 0.3]",4,[0.1744 0.2662 0.3167],0.31666666666666665,1.173394091610441
bad android skin,"[0.057500000000000016, 0.057500000000000016, 0.057500000000000016, 0.05227272727272729]",4,[0.0562 0.0575 0.0575],0.057500000000000016,1.2398596242283242
bad english,"[-0.11666666666666663, 0.10000000000000005]",2,[-0.0625 -0.0083  0.0458],-0.06249999999999996,0.8033657422614016
band 17,"[-0.2, 0.5, 0.0]",3,[-0.1   0.    0.25],0.25,0.7368741184560069
battery,"[0.6, -0.1, 0.35, 0.2, 0.5, 0.0, 0.5, 0.65, 0.0, 0.0, 0.0, -0.16666666666666666, 0.0, 0.0, 1.0, 0.0, 0.0, 0.43333333333333335, 0.0, -0.8, 1.0, 0.0, 0.0, 0.0, 0.39999999999999997, -0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0]",31,[0.    0.    0.375],0.375,3.282558206063438
battery consumption,"[-0.3499999999999999, 0.0, 0.5, 0.26]",4,[-0.0875  0.13    0.32  ],0.32,1.5677884821831356
battery drain,"[0.26, 0.5, 0.2, 0.2875, 0.0]",5,[0.2    0.26   0.2875],0.2875,2.0623305731947688
battery drainage,"[0.43333333333333335, -0.4625]",2,[-0.2385 -0.0146  0.2094],-0.2385416666666667,0.7712251764277229
battery draining,"[0.12200000000000003, -0.08750000000000001, 0.15, -0.33181818181818185]",4,[-0.1486  0.0173  0.129 ],-0.14857954545454546,1.6584565009702885
battery issue,"[0.0, 0.45833333333333337, 0.0]",3,[0.     0.     0.2292],0.22916666666666669,1.466963947539793
battery issues,"[0.275, 0.35]",2,[0.2938 0.3125 0.3312],0.33124999999999993,0.900639657449015
battery lifetime,"[0.5, 0.25]",2,[0.3125 0.375  0.4375],0.4375,0.8052982531020505
