,sentiment,occurences,sentimentsSummary,sentimentEdges,score
3.5 mm jack,"[0.0, 0.05833333333333335]",2,[0.0146 0.0292 0.0438],0.04375000000000001,0.6521825031906741
5.5 inch phones,"[0.22777777777777777, 0.0]",2,[0.0569 0.1139 0.1708],0.17083333333333334,0.7782375440879055
Good luck,"[0.875, 0.7, 0.875]",3,[0.7875 0.875  0.875 ],0.875,1.2726928606902024
Same problem,"[0.15833333333333333, 0.0]",2,[0.0396 0.0792 0.1188],0.11875,0.9988854426106751
Thanks,"[-0.33333333333333326, 0.6, 0.2, 0.2, 0.2, 0.25, 0.2, 0.1, 0.2, 0.2, 0.2, 0.2]",12,[0.2 0.2 0.2],0.2,1.469464723991295
advice,"[0.0, 0.0, 0.2, 0.2]",4,[0.  0.1 0.2],0.2,1.0891444609281968
anything,"[-0.7999999999999999, 0.0]",2,[-0.6 -0.4 -0.2],-0.6,0.6363768525962907
app,"[0.0, 0.0, 0.0, 0.1]",4,[0.    0.    0.025],0.025,1.412258572430755
app store,"[0.0, 0.5, 0.0]",3,[0.   0.   0.25],0.25,1.3804029065681387
auto mode,"[0.0, 0.3500000000000001, 0.3500000000000001]",3,[0.175 0.35  0.35 ],0.3500000000000001,1.0341349218027398
b133 update,"[0.4166666666666667, 0.0]",2,[0.1042 0.2083 0.3125],0.3125,0.6429940700581986
bad camera,"[-0.05499999999999994, -0.23333333333333328]",2,[-0.1887 -0.1442 -0.0996],-0.18874999999999995,0.6199298121141621
bad experience,"[-0.5999999999999999, -0.44999999999999996]",2,[-0.5625 -0.525  -0.4875],-0.5624999999999999,0.927075721756511
battery,"[0.0, 0.0, -0.125, 0.0]",4,[-0.0312  0.      0.    ],-0.03125,1.3251627510929627
battery drain,"[0.3333333333333333, 0.0]",2,[0.0833 0.1667 0.25  ],0.25,0.8881974328730509
big difference,"[0.0, 0.0, -0.07777777777777779]",3,[-0.0389  0.      0.    ],-0.038888888888888896,1.294077560372312
