,sentiment,occurences,sentimentsSummary,sentimentEdges,score
128 gb,"[0.18409090909090908, 0.31, 0.0, 0.0]",4,[0.     0.092  0.2156],0.21556818181818183,1.0821145751755532
15hrs use,"[0.1875, 0.0]",2,[0.0469 0.0938 0.1406],0.140625,0.7065725584689245
200 GB,"[0.0, 0.0, 0.0, 0.06666666666666667]",4,[0.     0.     0.0167],0.016666666666666666,1.0821145751755532
2800 mAh,"[0.13999999999999999, 0.0, 0.20199999999999999]",3,[0.07  0.14  0.171],0.17099999999999999,0.6966093375435327
2800 mAh battery,"[0.0, 0.7, 0.0]",3,[0.   0.   0.35],0.35,1.371994254391327
2800mah battery,"[0.3444444444444444, 0.3416666666666667, 0.0, 0.3444444444444444]",4,[0.2562 0.3431 0.3444],0.3444444444444444,1.3251627510929627
2800mh battery,"[-0.10500000000000001, -0.6999999999999998]",2,[-0.5512 -0.4025 -0.2537],-0.5512499999999999,0.6625813755464813
2nd battery,"[0.3, 0.0]",2,[0.075 0.15  0.225],0.22499999999999998,0.6625813755464813
3.5 mm headphone jack,"[0.3, 0.0, -0.25]",3,[-0.125  0.     0.15 ],0.15,1.4253839850097147
30 mins,"[0.5, 0.0, 0.26666666666666666, -0.6999999999999998]",4,[-0.175   0.1333  0.325 ],0.325,0.8220654898403863
3000mAh battery,"[0.0, 0.1416666666666667]",2,[0.0354 0.0708 0.1062],0.10625000000000001,0.6625813755464813
32 bit,"[0.2, 0.0625, 0.0, 0.0]",4,[0.     0.0312 0.0969],0.096875,1.3017588946609426
3800mah battery,"[0.04375, 0.625]",2,[0.1891 0.3344 0.4797],0.4796875,0.6625813755464813
3rd party app,"[-0.4, 0.3499999999999999]",2,[-0.2125 -0.025   0.1625],-0.21250000000000008,0.8516478667545032
4000 battery,"[0.3666666666666667, 0.0]",2,[0.0917 0.1833 0.275 ],0.275,0.6625813755464813
4000 mAh battery,"[0.0, 0.20714285714285713]",2,[0.0518 0.1036 0.1554],0.15535714285714286,0.8656319968245754
4000 mah,"[0.13636363636363635, 0.4, 0.2, 0.0, 0.0]",5,[0.     0.1364 0.2   ],0.2,1.020514233786132
4000mah battery,"[-0.07083333333333333, 0.0]",2,[-0.0531 -0.0354 -0.0177],-0.053125,0.6625813755464813
