,sentiment,occurences,sentimentsSummary,sentimentEdges,score
16 MP camera,"[1.0, 1.0, 0.6]",3,[0.8 1.  1. ],1.0,0.7982082096237185
200 GB,"[0.21103896103896103, 0.5, 0.0]",3,[0.1055 0.211  0.3555],0.3555194805194805,0.8575555115685283
200 gb,"[0.0, 0.5, 0.16666666666666666, 0.22999999999999998, 0.0, 0.2, 0.4, 0.0, 0.4]",9,[0.  0.2 0.4],0.4,1.7151110231370565
3000mah removable battery,"[0.0, 0.7]",2,[0.175 0.35  0.525],0.5249999999999999,0.9050331739403265
32 GB,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,0.8575555115685283
32 GB internal storage,"[0.0, 0.03333333333333333]",2,[0.0083 0.0167 0.025 ],0.025,0.9267122728448928
5.2 inch,"[-0.08333333333333333, 0.09000000000000001, 0.3]",3,[0.0033 0.09   0.195 ],0.195,0.6467263787225664
5.7 inch,"[0.0, -0.010833333333333334, 0.0]",3,[-0.0054  0.      0.    ],-0.005416666666666667,0.6467263787225664
5.7 inches,"[0.0, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.18359375]",16,[0.5 0.5 0.5],0.5,1.933638902246011
6.0 marshmallow,"[0.0, -0.5, -0.1875]",3,[-0.3438 -0.1875 -0.0938],-0.34375,0.8030105166510322
60 fps,"[0.38999999999999996, 0.3181818181818182, 0.22916666666666666]",3,[0.2737 0.3182 0.3541],0.35409090909090907,0.6995833979259414
64 GB,"[0.0, 0.0, 0.0, 0.2]",4,[0.   0.   0.05],0.05,1.0821145751755532
FREE high score,"[0.30333333333333334, 0.06083333333333335, 0.06083333333333335]",3,[0.0608 0.0608 0.1821],0.18208333333333335,1.429083128639521
Good luck,"[0.7, 0.7, 0.3065306122448979, 0.35]",4,[0.3391 0.525  0.7   ],0.7,1.605959585934845
H960 model,"[0.075, -0.05, 0.0]",3,[-0.025   0.      0.0375],0.0375,0.7183182712200379
H960A model,"[0.6, 0.35, 0.35, 0.0]",4,[0.2625 0.35   0.4125],0.4125,0.9064167396934675
Korean version,"[0.0, 0.4, 0.0]",3,[0.  0.  0.2],0.2,1.1952943766703785
LTE bands,"[0.0, 0.0, 0.25]",3,[0.    0.    0.125],0.125,0.6615408178514447
Mobile,"[0.0, 0.6, 0.0, 0.2]",4,[0.  0.1 0.3],0.30000000000000004,0.7928737345602788
OS,"[-0.5, 0.0]",2,[-0.375 -0.25  -0.125],-0.375,0.6072210522297913
Perfect device,"[1.0, 1.0]",2,[1. 1. 1.],1.0,0.7869118533341084
RAILS,"[0.0, -0.15, 0.25]",3,[-0.075  0.     0.125],0.125,0.6128454985597691
Removable battery,"[0.7, 0.05000000000000001, 0.0]",3,[0.025 0.05  0.375],0.375,1.434443642604065
SD slot,"[0.0, 0.7333333333333334]",2,[0.1833 0.3667 0.55  ],0.55,0.744387376605479
SIDE RAILS,"[0.06666666666666667, 0.1]",2,[0.075  0.0833 0.0917],0.09166666666666667,0.6321939007781322
Secondary display,"[-0.16666666666666666, -0.3]",2,[-0.2667 -0.2333 -0.2   ],-0.26666666666666666,0.6438766295187262
TB,"[0.4, 0.0, 0.0, 0.0]",4,[0.  0.  0.1],0.1,0.6260122722237437
Thanks,"[0.2, 0.25, 0.35, 0.2, 0.2, 0.2, 0.2, 0.1, 0.1, 0.2, 0.6]",11,[0.2   0.2   0.225],0.225,1.4180100147839785
V20b-AUG-17-2016 update,"[0.1, 0.1]",2,[0.1 0.1 0.1],0.1,0.6429940700581986
amazing device,"[0.6000000000000001, 0.3666666666666667]",2,[0.425  0.4833 0.5417],0.5416666666666667,0.7560304267986143
amazing phones,"[0.4, 0.6000000000000001]",2,[0.45 0.5  0.55],0.55,0.8096018427756992
android phones,"[0.5, 0.0, 0.4, 0.0, 0.7000000000000001]",5,[0.  0.4 0.5],0.5,1.3206053038412238
anything,"[0.2, 0.0, 0.0]",3,[0.  0.  0.1],0.1,1.0086334476920757
apps,"[-0.16666666666666666, 0.5, 0.0]",3,[-0.0833  0.      0.25  ],0.25,0.9673828218401401
apps cache,"[0.13333333333333333, 0.13333333333333333]",2,[0.1333 0.1333 0.1333],0.13333333333333333,0.9098112790718632
audio quality,"[0.024999999999999994, 0.0, 0.0, 0.2285714285714286, 0.27878787878787875]",5,[0.     0.025  0.2286],0.2285714285714286,1.5123228927825358
auto brightness,"[0.2, -0.06666666666666667]",2,[0.     0.0667 0.1333],0.13333333333333336,0.7296465920118238
auto mode,"[0.14333333333333334, 0.028571428571428574, 0.25]",3,[0.086  0.1433 0.1967],0.19666666666666666,1.0341349218027398
back,"[0.16666666666666666, 0.1961904761904762, 0.125]",3,[0.1458 0.1667 0.1814],0.18142857142857144,0.9298928168851572
back button,"[-0.4, -0.024999999999999994]",2,[-0.3062 -0.2125 -0.1188],-0.30625,0.933221294104104
back side,"[0.0, 0.1]",2,[0.025 0.05  0.075],0.07500000000000001,0.7783590995913074
bad RAM management,"[-0.6999999999999998, -0.6999999999999998, -0.6999999999999998, -0.6999999999999998]",4,[-0.7 -0.7 -0.7],-0.6999999999999998,1.5148299100756517
bad experience,"[-0.9099999999999998, -0.6999999999999998]",2,[-0.8575 -0.805  -0.7525],-0.8574999999999998,0.927075721756511
bad thing,"[-0.3499999999999999, -0.3499999999999999]",2,[-0.35 -0.35 -0.35],-0.3499999999999999,0.857061661314191
battery,"[0.0, 0.0, 0.0, -0.05, 0.5, 0.0, -0.6999999999999998, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.325, 0.0, 0.0, 0.2, 0.0, 0.0, -0.05, -0.05, 0.0, 0.0, 0.0, -0.25, 0.0, 0.1, 0.0, 0.13095238095238093, -0.03333333333333335, 0.0, 0.0, 0.0, 1.0, -0.0625, 0.2, -0.0625, -0.0625, -0.0625, -0.0625, -0.0625, -0.0625, 0.1, 0.7, -0.0625, 0.1, -0.0625, -0.0625, -0.0625, -0.0625, -0.0625, -0.0625]",53,[-0.0625  0.      0.    ],-0.0625,3.7952134138053113
battery backup,"[-0.6999999999999998, 0.8, -0.175, 1.0]",4,[-0.3062  0.3125  0.85  ],0.8500000000000001,1.7445375882766396
battery capacity,"[0.0, 0.0, 0.1, 0.0]",4,[0.    0.    0.025],0.025,1.5828747959363083
battery drains,"[0.275, 0.014814814814814808, 0.2, 0.3333333333333333]",4,[0.1537 0.2375 0.2896],0.28958333333333336,1.6435111945173595
battery issue,"[0.15, 0.0, -0.049999999999999996]",3,[-0.025  0.     0.075],0.075,1.466963947539793
battery settings,"[0.13333333333333333, 0.13333333333333333]",2,[0.1333 0.1333 0.1333],0.13333333333333333,0.9311520179571838
battery strength,"[0.0625, -0.5]",2,[-0.3594 -0.2188 -0.0781],-0.359375,0.9102305232567248
battery timing,"[0.06898674242424244, 0.1, 0.0, 0.9, -1.0]",5,[0.    0.069 0.1  ],0.1,1.8807456531809008
battery was 39%,"[0.15, 0.1]",2,[0.1125 0.125  0.1375],0.13749999999999998,0.9781712681209467
beautiful display,"[0.85, 0.85]",2,[0.85 0.85 0.85],0.85,0.6961502494412104
big cores,"[0.0, 0.06666666666666667, 0.06666666666666667]",3,[0.0333 0.0667 0.0667],0.06666666666666667,1.0915026020327407
big fan,"[-0.05833333333333335, 0.0]",2,[-0.0438 -0.0292 -0.0146],-0.04375000000000001,0.809948693922989
big music fan,"[0.3, 0.3]",2,[0.3 0.3 0.3],0.3,0.9412086340970863
big phones,"[0.25, -0.45]",2,[-0.275 -0.1    0.075],-0.275,0.8206467648090587
big problem,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.9059885162917859
blue faint spot,"[-0.053571428571428575, -0.16666666666666666]",2,[-0.1384 -0.1101 -0.0818],-0.13839285714285715,0.7993907602976669
bluetooth,"[0.0, 0.25, -0.0625]",3,[-0.0312  0.      0.125 ],0.125,0.7267583307942902
body ratio,"[0.0, 0.8333333333333334, 0.0, 0.0]",4,[0.     0.     0.2083],0.20833333333333334,1.478622411164719
boot loop issue,"[0.0, 0.1, 0.225, -0.6, -0.6]",5,[-0.6  0.   0.1],-0.6,1.7160131924183866
bootloop issues,"[0.0, 0.1, 0.0, 0.0, 0.0, 0.21428571428571427]",6,[0.    0.    0.075],0.07500000000000001,1.3000297375001015
bootloop problem,"[0.0, 0.0, 0.15000000000000002, 0.0, 0.0, 0.1, 0.0, 0.0, 0.6]",9,[0.  0.  0.1],0.1,2.1822369969059356
brand new mobile,"[0.36818181818181817, 0.33901515151515155]",2,[0.3463 0.3536 0.3609],0.3608901515151515,0.8639659750748269
build quality,"[0.5119047619047619, -0.1, 0.03125]",3,[-0.0344  0.0312  0.2716],0.27157738095238093,1.2114105772391228
bull crap,"[-0.07500000000000001, -0.8]",2,[-0.6188 -0.4375 -0.2563],-0.6187500000000001,0.697212246667297
call,"[0.0, -0.30000000000000004, 0.0, -0.041666666666666664, -0.3333333333333333, -0.0625]",6,[-0.2406 -0.0521 -0.0104],-0.24062500000000003,1.3086890106128757
camera quality,"[0.14333333333333334, -0.6999999999999998, 0.4, 0.16666666666666666, 0.42000000000000004, 0.45, 0.0, 0.0, 0.5, 0.0, 0.0]",11,[0.     0.1433 0.41  ],0.41000000000000003,1.2511574418164897
card slot,"[0.0, 0.0, 0.0, 0.1, 0.5, 0.5, 0.0, 0.0]",8,[0.  0.  0.2],0.2,1.8925039332459432
carrier tramp stamp,"[0.05, 0.0]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.7805898367359181
case,"[-1.0, 0.0, 0.0, 0.0, 0.41666666666666663, 0.7, 0.0, 0.15]",8,[0.     0.     0.2167],0.21666666666666665,2.0350577713310587
cell phones,"[0.75, 0.7000000000000001]",2,[0.7125 0.725  0.7375],0.7375,0.8792586447415764
charging cradle,"[0.11805555555555554, 0.20634920634920637, 0.0, 0.0]",4,[0.     0.059  0.1401],0.14012896825396826,1.4280948529374013
chinese copy,"[0.06145833333333334, 0.0]",2,[0.0154 0.0307 0.0461],0.04609375,0.6936111502473176
choice,"[-0.05, 0.5, 0.5, 0.5, -0.15000000000000002, 1.0]",6,[0.0875 0.5    0.5   ],0.5,0.9900851995850062
clear black technology,"[0.13472222222222222, -0.022222222222222213]",2,[0.017  0.0562 0.0955],0.09548611111111112,0.7485943604188295
clear cached data,"[0.10000000000000002, 0.10000000000000002]",2,[0.1 0.1 0.1],0.10000000000000002,0.7639104096024769
cloud,"[0.0, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0]",14,[0.   0.   0.15],0.15000000000000002,1.6651014121638121
color spectrum sensor,"[0.19464285714285715, 0.0]",2,[0.0487 0.0973 0.146 ],0.14598214285714287,0.9249121120477751
common knowledge,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.7367334541633693
common problem,"[-0.3, -0.3, -0.3]",3,[-0.3 -0.3 -0.3],-0.3,1.3868938660840582
customer service,"[0.5, 0.0, 0.4]",3,[0.2  0.4  0.45],0.45,1.2772162201473676
data plan,"[0.0, 0.4166666666666667, 0.0]",3,[0.     0.     0.2083],0.20833333333333334,0.611375626113094
date,"[0.625, 0.0, 1.0, 1.0]",4,[0.4688 0.8125 1.    ],1.0,1.1695492722137937
decent price,"[0.16666666666666666, 0.4333333333333333]",2,[0.2333 0.3    0.3667],0.36666666666666664,0.7945207840934938
default language,"[0.0, 0.08333333333333333]",2,[0.0208 0.0417 0.0625],0.0625,0.6400517442195917
demand quality sound,"[0.3, 0.3]",2,[0.3 0.3 0.3],0.3,0.8059754342672241
device,"[0.0, 0.37333333333333335, 0.5, 0.7, 0.7, 0.0, 0.0, 0.31666666666666665, 0.5, 0.0]",10,[0.    0.345 0.5  ],0.5,1.6332144428743864
disappointment,"[-0.6, -0.6, -0.6]",3,[-0.6 -0.6 -0.6],-0.6,0.7314368693705092
display,"[0.175, 0.0, 0.0, 0.15]",4,[0.     0.075  0.1562],0.15625,0.7771129458439365
enough 2k display,"[0.11249999999999999, 0.11249999999999999]",2,[0.1125 0.1125 0.1125],0.11249999999999999,0.8155231984638263
entire panel,"[0.0, 0.0625]",2,[0.0156 0.0312 0.0469],0.046875,0.7494777229394802
everyone,"[0.0, 0.7]",2,[0.175 0.35  0.525],0.5249999999999999,0.6374610318662493
everything,"[0.5, 0.3666666666666667, 0.0]",3,[0.1833 0.3667 0.4333],0.43333333333333335,0.6317248070035444
example,"[0.0, 0.3, 0.0]",3,[0.   0.   0.15],0.15,0.6598240224399003
experience,"[0.3, 0.0, 0.2]",3,[0.1  0.2  0.25],0.25,0.9450418010151597
extra ROM,"[0.075, 0.075]",2,[0.075 0.075 0.075],0.075,0.8153421091831647
extra batteries,"[0.4000000000000001, 0.3333333333333333]",2,[0.35   0.3667 0.3833],0.38333333333333336,0.8976005483516997
extra battery,"[0.0, 0.0, 0.25, 0.20634920634920637, 0.0, 0.0]",6,[0.     0.     0.1548],0.15476190476190477,2.4443182494713454
faced boot loop issue,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.8593478477416875
