,sentiment,occurences,sentimentsSummary,sentimentEdges,score
2nd update,"[0.25, 0.5]",2,[0.3125 0.375  0.4375],0.4375,0.6429940700581986
30 mins,"[0.28174603174603174, 0.5, 0.0]",3,[0.1409 0.2817 0.3909],0.39087301587301587,0.6514714872669906
3000 mah battery,"[0.7, 0.21500000000000002]",2,[0.3362 0.4575 0.5787],0.5787499999999999,0.8656319968245754
5.7 inch,"[0.35, 0.20833333333333334, 0.0]",3,[0.1042 0.2083 0.2792],0.2791666666666667,0.6467263787225664
64 GB model,"[0.2, 0.2, 0.5, 0.9]",4,[0.2  0.35 0.6 ],0.6,1.5709819544557633
64 GB version,"[0.16666666666666666, 1.0, 0.0, 0.0, 0.4, 0.0]",6,[0.     0.0833 0.3417],0.34166666666666673,2.016486523017879
64 gb,"[0.2535897435897436, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5]",7,[0.     0.     0.3768],0.3767948717948718,1.5189398394246814
64 gb storage,"[0.0, 0.1]",2,[0.025 0.05  0.075],0.07500000000000001,0.7734978421270414
810 chipset,"[0.3181818181818182, 0.16666666666666669, -0.10416666666666667]",3,[0.0313 0.1667 0.2424],0.24242424242424243,0.6630845905050059
810 processor,"[0.0, 0.1875, 1.0]",3,[0.0938 0.1875 0.5938],0.59375,0.6607910783715496
Battery backup,"[0.27499999999999997, 0.7, 1.0, 0.5, -1.0]",5,[0.275 0.5   0.7  ],0.7,2.0253454194032856
Cheers,"[0.25, 0.0, 0.0, 0.0]",4,[0.     0.     0.0625],0.0625,1.0025889880104735
Chinese company,"[-0.07916666666666666, 0.175, 0.2]",3,[0.0479 0.175  0.1875],0.1875,1.045650758834569
Chinese mobiles,"[0.19999999999999998, 0.19999999999999998]",2,[0.2 0.2 0.2],0.19999999999999998,0.6595754126522568
Flagship killer,"[0.0, -0.2]",2,[-0.15 -0.1  -0.05],-0.15000000000000002,0.6111847636436043
Future proof,"[0.4, 0.4]",2,[0.4 0.4 0.4],0.4,0.8275285073814969
GB,"[0.0, 0.0, 0.4, -0.3]",4,[-0.075  0.     0.1  ],0.1,1.0821145751755532
GB ram,"[-0.39000000000000007, 0.3, 0.2142857142857143, 0.7, -0.15185185185185188]",5,[-0.1519  0.2143  0.3   ],0.3,1.2562961169936098
Good battery,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.8855331467232364
Good luck,"[0.7, 0.7, 0.7, 0.7, 0.7]",5,[0.7 0.7 0.7],0.7,1.864461340917896
Great hardware,"[0.21250000000000002, 0.8]",2,[0.3594 0.5063 0.6531],0.6531250000000001,0.8667950176182153
