,sentiment,occurences,sentimentsSummary,sentimentEdges,score
16 gb,"[0.0, 0.2871428571428571, 0.0, 0.53, 0.2, 0.0, 0.0, 0.1, 0.18863636363636366, 0.7]",10,[0.     0.1443 0.2654],0.2653571428571428,1.7973534045813868
2014 flagship killer,"[0.4, 0.05]",2,[0.1375 0.225  0.3125],0.31250000000000006,0.6111847636436043
4k recording,"[0.25, 0.25, 0.13015211640211638, 0.18863636363636366]",4,[0.174  0.2193 0.25  ],0.25,0.6419652501029314
5.1.1 update,"[0.16666666666666669, 0.3333333333333333, 0.5361111111111111]",3,[0.25   0.3333 0.4347],0.43472222222222223,1.019121489228317
64 gb model,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.7854909772278816
Awesome device,"[0.75, 1.0]",2,[0.8125 0.875  0.9375],0.9375,0.8148167377752091
Battery backup,"[0.3444444444444445, 0.5]",2,[0.3833 0.4222 0.4611],0.46111111111111114,0.8722687941383198
Call quality,"[-1.0, 0.3, 0.8]",3,[-0.35  0.3   0.55],0.55,1.115706910829959
Cheers,"[0.0, 0.0, 0.04999999999999999]",3,[0.    0.    0.025],0.024999999999999994,0.7945329748162867
Chinese quality,"[0.15, 0.0]",2,[0.0375 0.075  0.1125],0.11249999999999999,0.67186958681956
Chinese version,"[0.2333333333333333, 0.025, 0.0, 0.0, 0.0, -0.09999999999999999]",6,[0.     0.     0.0188],0.018750000000000003,1.8764637307858638
GB RAM,"[0.0, -0.25, 0.0, 0.175, 0.0, 0.175, -0.07499999999999998]",7,[-0.0375  0.      0.0875],0.0875,1.5189398394246814
Global version,"[0.5, 0.2]",2,[0.275 0.35  0.425],0.425,0.6975302074305858
Good luck,"[0.7, 0.6875, 0.75, 0.875, 0.7, 0.7250000000000001, 0.7]",7,[0.7    0.7    0.7375],0.7375,2.2542492740998896
IR blaster,"[0.0, 0.11666666666666665, 0.16666666666666666]",3,[0.0583 0.1167 0.1417],0.14166666666666666,1.1501386912760954
Indian users,"[0.44583333333333336, 0.0, 0.6, 0.0]",4,[0.     0.2229 0.4844],0.484375,1.2863043332931487
Nice specs,"[0.3666666666666667, 0.3666666666666667]",2,[0.3667 0.3667 0.3667],0.3666666666666667,0.8616862386123361
OS,"[0.0, 0.0, 0.675]",3,[0.     0.     0.3375],0.3375,0.9624225974326619
Only thing,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.8708685799884505
Thanks,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.35, 0.2, 0.2, 0.2, 0.2, 0.2, -0.1, 0.2, 0.2, 0.0, 0.2, 0.1, 0.2]",18,[0.2 0.2 0.2],0.2,1.709238992060921
address book,"[0.175, 0.2]",2,[0.1812 0.1875 0.1938],0.19375000000000003,0.6025232196378387
advice,"[0.3866666666666666, 0.0, 0.0, 0.2]",4,[0.     0.1    0.2467],0.24666666666666667,1.0891444609281968
airplane mode,"[0.2372395833333333, 0.2372395833333333]",2,[0.2372 0.2372 0.2372],0.2372395833333333,0.6585925416174272
android version,"[0.5, 1.0, 0.0]",3,[0.25 0.5  0.75],0.75,0.7044425401707985
anyone,"[0.0, -0.4, 0.4666666666666666, 0.0]",4,[-0.1     0.      0.1167],0.11666666666666665,0.7866985271080389
anyone got something,"[0.2372395833333333, 0.2372395833333333]",2,[0.2372 0.2372 0.2372],0.2372395833333333,0.9821130820506381
anything,"[0.25, 0.0, 0.0]",3,[0.    0.    0.125],0.125,1.0086334476920757
app,"[0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.5]",7,[0.  0.  0.1],0.1,1.9823555272657627
app data,"[0.0, 0.05000000000000001]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.7061292862153775
apps,"[0.41666666666666663, 0.25, 0.0, 0.0]",4,[0.     0.125  0.2917],0.29166666666666663,1.2207012107857214
apps drawer,"[0.0, -0.125, -0.2, 0.25]",4,[-0.1438 -0.0625  0.0625],-0.14375,1.707875412751592
apps running,"[0.275, 0.16, 0.4]",3,[0.2175 0.275  0.3375],0.3375,1.4355569603372036
audio output,"[-0.6999999999999998, 0.5]",2,[-0.4 -0.1  0.2],-0.3999999999999999,0.7648069802507647
available 16 country,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.7961322560737086
back cover,"[0.0, 0.0, 0.14444444444444446, 0.0, 0.155, 0.0]",6,[0.     0.     0.1083],0.10833333333333334,2.3765769916239887
bad considering,"[-0.31343434343434334, 5.551115123125783e-17]",2,[-0.2351 -0.1567 -0.0784],-0.2350757575757575,0.8010874045087285
bad experience,"[-0.9099999999999998, -0.3499999999999999, -0.9099999999999998, -0.9099999999999998, -0.9099999999999998, -0.24611111111111109]",6,[-0.91 -0.91 -0.49],-0.9099999999999998,2.396455976069581
bad reviews,"[-0.3999999999999999, -0.3499999999999999]",2,[-0.3875 -0.375  -0.3625],-0.3874999999999999,0.9050510905220208
bad thing,"[-0.9099999999999998, -0.23333333333333328]",2,[-0.7408 -0.5717 -0.4025],-0.7408333333333332,0.857061661314191
bad unit,"[-0.09999999999999996, -0.6999999999999998]",2,[-0.55 -0.4  -0.25],-0.5499999999999999,0.7870738365543346
basic apps,"[-0.025925925925925936, 0.0]",2,[-0.0194 -0.013  -0.0065],-0.01944444444444445,0.8867192799105926
basic problem,"[0.049999999999999996, 0.049999999999999996]",2,[0.05 0.05 0.05],0.049999999999999996,0.9400749042471328
battery 40%,"[-0.15555555555555559, 0.06875]",2,[-0.0995 -0.0434  0.0127],-0.0994791666666667,0.6625813755464813
battery backup,"[0.26666666666666666, 0.16666666666666666, 0.325, 0.5666666666666667, 0.1, 0.4761904761904761, -0.35, 0.9099999999999999, 0.35, 1.0, -0.2518518518518518]",11,[0.1333 0.325  0.5214],0.5214285714285714,3.017554246392731
battery drain,"[-0.125, 0.0, 1.0, -0.03888888888888889, 0.175, 0.175, 0.2]",7,[-0.0194  0.175   0.1875],0.1875,2.4934854349350877
battery issues,"[-0.25, -0.125]",2,[-0.2188 -0.1875 -0.1562],-0.21875,0.900639657449015
battery problem,"[0.2833333333333333, -0.1]",2,[-0.0042  0.0917  0.1875],0.1875,1.0111672250542707
battery timing,"[1.0, 0.0]",2,[0.25 0.5  0.75],0.75,0.8099930645234458
beast,"[0.25, 0.0, 0.0, 0.175, 0.5]",5,[0.    0.175 0.25 ],0.25,0.8317644431532403
big issue,"[-0.025, 0.0]",2,[-0.0188 -0.0125 -0.0062],-0.018750000000000003,0.8052771799465611
big mistake,"[0.0, -0.08333333333333333]",2,[-0.0625 -0.0417 -0.0208],-0.0625,0.7705841406622487
brand name,"[0.17666666666666667, 0.5]",2,[0.2575 0.3383 0.4192],0.4191666666666667,0.7553704622295321
budget,"[0.0, 0.0, 0.7]",3,[0.   0.   0.35],0.35,0.6816906143922513
build quality,"[0.5, 1.0, 0.0]",3,[0.25 0.5  0.75],0.75,1.2114105772391228
business risk,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,0.9402843367345464
call centre,"[-0.2, -0.2]",2,[-0.2 -0.2 -0.2],-0.2,0.7552464095533563
call quality,"[0.0, 0.7, -0.2625, -0.05, -0.4247916666666667, -0.3, -0.13499999999999998, 0.0, 0.0]",9,[-0.2625 -0.05    0.    ],-0.2625,2.231413821659918
calls,"[-0.03111111111111111, -0.05681818181818182, -0.08333333333333333, -0.25, 0.5, 0.0, 0.0]",7,[-0.0701 -0.0311  0.    ],-0.07007575757575757,1.528731122229397
camera lens,"[0.0, 0.0, 0.0, 0.1]",4,[0.    0.    0.025],0.025,1.048597617355703
camera quality,"[0.0, 0.16, 0.0, 0.4761904761904761, 0.5, -0.2, 1.0, 0.425, 0.0, -0.125, 0.0]",11,[0.     0.     0.4506],0.45059523809523805,1.2511574418164897
card slot,"[-0.125, 0.0, 0.0, 0.2, 0.201010101010101, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0]",11,[0.  0.  0.1],0.1,2.182329315022155
cellular radio,"[0.2372395833333333, 0.2372395833333333]",2,[0.2372 0.2372 0.2372],0.2372395833333333,0.7055581566655901
certain way,"[-0.10357142857142858, -0.10357142857142858]",2,[-0.1036 -0.1036 -0.1036],-0.10357142857142858,0.6570012568142862
charger,"[0.24, 0.0, 0.0, 0.9099999999999999]",4,[0.     0.12   0.4075],0.4075,0.97026294270048
charger cable,"[-0.05173611111111112, 0.0]",2,[-0.0388 -0.0259 -0.0129],-0.03880208333333334,0.8186826707953985
cheap hardware,"[0.4, 0.4, -0.2]",3,[0.1 0.4 0.4],0.4,1.4559818159071891
chinese version,"[0.0, 0.125]",2,[0.0312 0.0625 0.0938],0.09375,0.7259152619283126
choice,"[0.475, 0.0, 5.551115123125783e-17, 0.5, 0.5]",5,[0.    0.475 0.5  ],0.5,0.8893384877371472
clear cache,"[0.10000000000000002, 0.10000000000000002]",2,[0.1 0.1 0.1],0.10000000000000002,0.8972037550371695
cm12 update,"[0.0, -0.10892857142857143]",2,[-0.0817 -0.0545 -0.0272],-0.08169642857142857,0.6429940700581986
common problem,"[-0.3, 0.06666666666666667]",2,[-0.2083 -0.1167 -0.025 ],-0.20833333333333331,0.8750326051581806
completed smartphone,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,0.7092486403305729
concerns support,"[0.2372395833333333, 0.2372395833333333]",2,[0.2372 0.2372 0.2372],0.2372395833333333,0.6244802206704109
constant usage,"[0.0, 0.21666666666666665]",2,[0.0542 0.1083 0.1625],0.16249999999999998,0.7309883110791601
contacts,"[0.0, -0.3, 0.6785714285714286, -0.1]",4,[-0.15   -0.05    0.1696],0.16964285714285715,1.1785793415646553
country,"[0.2, 0.0, -0.2, 0.0, 0.15000000000000002, 0.5, 0.4]",7,[0.   0.15 0.3 ],0.30000000000000004,1.3057354478640921
custom ROM,"[0.0, 0.0, -0.21250000000000002, 0.0]",4,[-0.0531  0.      0.    ],-0.053125000000000006,1.3091343801843245
custom roms,"[-0.1875, 0.0, 0.0, 0.0]",4,[-0.0469  0.      0.    ],-0.046875,1.274709698912331
customer care,"[-0.1, 0.0, 0.25, 0.0, 0.0, -0.1, 0.2, 0.0, 0.0, 0.0, 0.2333333333333333]",11,[0.  0.  0.1],0.1,2.8384462370901073
customer service,"[-0.09999999999999998, -0.2, -0.35, -0.3, 0.0, 0.0, -0.16666666666666666, -1.0, 0.3, -0.2, 0.0, 0.0, 0.0, 0.0]",14,[-0.2  -0.05  0.  ],-0.2,3.0680949612986503
customer support,"[-1.0, -0.2625, -1.0, 0.30833333333333335, 0.36388888888888893, 0.0, -0.28333333333333327, 0.0]",8,[-0.4625 -0.1312  0.0771],-0.46249999999999997,2.1404506948881963
cyanogen mod,"[0.175, 0.5, 0.2, 0.2, 0.05, -0.0375]",6,[0.0812 0.1875 0.2   ],0.2,1.8104054506055438
cyanogen mode,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.6257555735970506
dear friends,"[0.0, 0.0, 0.5]",3,[0.   0.   0.25],0.25,0.9002488281320404
defective device,"[0.0, 0.2, 0.35]",3,[0.1   0.2   0.275],0.275,1.2858401596091895
defective piece,"[-0.15, 0.0, 0.0]",3,[-0.075  0.     0.   ],-0.075,1.1049132539169215
defective unit,"[0.0, 0.525]",2,[0.1312 0.2625 0.3938],0.39375000000000004,0.7278291343190194
detailed information,"[0.20000000000000004, 0.07142857142857144]",2,[0.1036 0.1357 0.1679],0.16785714285714287,0.6193029581056866
developer options,"[0.0, 0.3333333333333333]",2,[0.0833 0.1667 0.25  ],0.25,0.6681655314992514
device,"[0.5, 0.4, -0.35, 0.4, 0.8, 0.0, 0.5, 0.0, 0.25, -0.6999999999999998, 0.0, 0.03125, 0.0, 0.0, 0.25, 0.053333333333333365, 0.6, 0.0]",18,[0.     0.0423 0.4   ],0.4,2.0501291850778314
different launcher,"[0.0, -0.02999999999999998]",2,[-0.0225 -0.015  -0.0075],-0.022499999999999985,0.742371503519217
direct sunlight,"[0.1, 0.1]",2,[0.1 0.1 0.1],0.1,0.6429480958764665
display,"[1.0, 0.0, 0.7, 0.6, 0.5, 1.0]",6,[0.525 0.65  0.925],0.925,1.0044039119157633
doubt,"[0.0, 0.10000000000000002, 0.0]",3,[0.   0.   0.05],0.05000000000000001,0.8294012343554226
easy process,"[0.6166666666666667, 0.5633333333333334]",2,[0.5767 0.59   0.6033],0.6033333333333334,0.771977845491495
everyone,"[0.0, 0.0, 0.0, 0.4]",4,[0.  0.  0.1],0.1,1.2749220637324985
everything,"[-0.22499999999999998, 0.8, 0.5, 0.0, 0.0, -0.6999999999999998]",6,[-0.1687  0.      0.375 ],0.375,1.030298783811267
excellent device,"[1.0, 1.0, 1.0]",3,[1. 1. 1.],1.0,1.2627740150812743
expandable storage,"[-0.16, 0.0, 0.0]",3,[-0.08  0.    0.  ],-0.08,1.0888361660831918
experience,"[0.0, 0.0, 0.675, -1.0, 0.0, 0.5]",6,[0.    0.    0.375],0.375,1.5412967916443805
extra features,"[0.2, 0.3]",2,[0.225 0.25  0.275],0.27499999999999997,0.7962555934570195
extra memory,"[0.0, -0.23333333333333328]",2,[-0.175  -0.1167 -0.0583],-0.17499999999999996,0.7990769804536684
facing hanging issue,"[0.0, 0.7, -0.1]",3,[-0.05  0.    0.35],0.35,1.3586136106726365
facing issues,"[0.0, 0.16, 0.0]",3,[0.   0.   0.08],0.08,1.1330496812103572
facing problem,"[0.25, 0.542]",2,[0.323 0.396 0.469],0.46900000000000003,0.8561124505369088
facing same issue,"[0.0, 0.14285714285714285]",2,[0.0357 0.0714 0.1071],0.10714285714285714,1.0370582990690704
factory reset,"[0.4, 0.25, 0.0, 0.0]",4,[0.     0.125  0.2875],0.2875,1.420547469110618
family member,"[0.025, 0.5666666666666667, 0.0]",3,[0.0125 0.025  0.2958],0.29583333333333334,1.1925032843844445
feature,"[1.0, 0.5, 1.0]",3,[0.75 1.   1.  ],1.0,0.9407387620323595
file manager,"[0.0, -0.3]",2,[-0.225 -0.15  -0.075],-0.22499999999999998,0.6205337452677321
flagship killer,"[0.0, 0.20000000000000004, 1.0, 0.1277777777777778, 0.4166666666666667, 0.3125, 0.25, 0.21428571428571427, 0.1787878787878788, -0.024999999999999967, -0.3, 0.0]",12,[0.     0.1894 0.2656],0.265625,2.1910744586744446
following defects,"[0.0, -0.1]",2,[-0.075 -0.05  -0.025],-0.07500000000000001,0.6892447541971984
front camera,"[0.35833333333333334, 0.1781746031746032, -0.1875]",3,[-0.0047  0.1782  0.2683],0.2682539682539683,0.9129628718180152
full charge,"[0.5249999999999999, 0.35, 0.35, 0.4791666666666667, 0.17500000000000002, 0.35, 0.35]",7,[0.35   0.35   0.4146],0.4145833333333333,1.7596833592826209
