,sentiment,occurences,sentimentsSummary,sentimentEdges,score
16 GB,"[-0.5, 0.0, 0.0, -0.051851851851851864, 0.11666666666666665, -0.2833333333333333]",6,[-0.2255 -0.0259  0.    ],-0.22546296296296295,1.3986127991563049
16 gb,"[0.0, 0.0, 0.0, 0.25, 0.5, 0.0, 0.5666666666666668, 0.2333333333333333]",8,[0.     0.1167 0.3125],0.3125,1.6231718627633298
2525 mAh battery,"[0.0, 0.0, 0.275]",3,[0.     0.     0.1375],0.1375,1.371994254391327
2nd having,"[0.21666666666666667, 0.21666666666666667]",2,[0.2167 0.2167 0.2167],0.21666666666666667,0.661110945777376
32 gb,"[0.0, 0.21428571428571427, 0.0, 0.0]",4,[0.     0.     0.0536],0.05357142857142857,1.0821145751755532
32bit processor,"[0.0, 0.125, 0.0]",3,[0.     0.     0.0625],0.0625,0.6607910783715496
6.0 update,"[0.0, 0.1]",2,[0.025 0.05  0.075],0.07500000000000001,0.6429940700581986
64 bit,"[-0.015625, 0.0]",2,[-0.0117 -0.0078 -0.0039],-0.01171875,0.6508794473304713
Awesome display,"[0.6, 0.6]",2,[0.6 0.6 0.6],0.6,0.751955690674309
Battery backup,"[0.7, 0.39999999999999997, 0.5333333333333333]",3,[0.4667 0.5333 0.6167],0.6166666666666667,1.3825133292584988
Camera quality,"[0.3, -0.15, -0.25, -0.25, -0.15]",5,[-0.25 -0.15 -0.15],-0.25,0.8397615375977435
Clear image,"[0.10000000000000002, 0.10000000000000002]",2,[0.1 0.1 0.1],0.10000000000000002,0.8355908613278101
FAST CHARGING,"[0.0, -0.05]",2,[-0.0375 -0.025  -0.0125],-0.037500000000000006,0.7746580018020589
GB ram,"[0.0, 0.1643939393939394, 0.0, -0.45, 0.9099999999999999, 0.2, 0.1875]",7,[0.     0.1644 0.1938],0.19375,1.5189398394246814
Heating problem,"[0.0, 0.28888888888888886, 0.7]",3,[0.1444 0.2889 0.4944],0.4944444444444444,1.3544223978827685
Memory card,"[0.0, 0.18888888888888888, 0.18888888888888888]",3,[0.0944 0.1889 0.1889],0.18888888888888888,1.0666851450441213
OP name,"[0.125, 0.125]",2,[0.125 0.125 0.125],0.125,0.775865705621242
OS,"[0.0, 0.475, 0.0]",3,[0.     0.     0.2375],0.2375,0.9624225974326619
Thanks,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2]",6,[0.2 0.2 0.2],0.2,1.0595679053507387
anything,"[0.1763888888888889, 0.0, 0.125, 0.0]",4,[0.     0.0625 0.1378],0.13784722222222223,1.2727537051925815
app store,"[0.32222222222222224, 0.32222222222222224]",2,[0.3222 0.3222 0.3222],0.32222222222222224,0.8709372656703592
asking price,"[0.36999999999999994, 0.0, 0.35]",3,[0.175 0.35  0.36 ],0.36,1.2000038267853759
audio quality,"[-0.2699999999999999, 0.0, 0.19499999999999995, 0.0]",4,[-0.0675  0.      0.0487],-0.06749999999999998,1.3026440363183591
average user,"[0.425, -0.075, -0.15]",3,[-0.1125 -0.075   0.175 ],0.175,0.9301493452545563
back camera quality,"[0.1, 0.1]",2,[0.1 0.1 0.1],0.1,0.765258257670905
back glass,"[0.0, -0.05]",2,[-0.0375 -0.025  -0.0125],-0.037500000000000006,0.8019234526470941
bad thing,"[-0.6999999999999998, 0.3499999999999999]",2,[-0.4375 -0.175   0.0875],-0.43749999999999994,0.857061661314191
battery,"[0.0, 0.2, 0.0, 0.5, 0.0, 0.0, 0.8, 0.0, 0.3666666666666667, 0.0, 0.0, 0.45499999999999996, 0.0, 0.0, -0.3]",15,[0.     0.     0.2833],0.2833333333333333,2.588632944947904
battery backup,"[0.5, -0.14, -0.14, 0.0, 0.0, 0.0, 0.06666666666666667, 0.0, 0.0, 0.1763888888888889, 0.7, 0.7]",12,[0.     0.     0.2573],0.2572916666666667,3.127050917535138
battery capacity,"[-0.2, 0.0]",2,[-0.15 -0.1  -0.05],-0.15000000000000002,0.7914373979681542
battery drains,"[0.23, 0.43333333333333335]",2,[0.2808 0.3317 0.3825],0.3825,0.8217555972586797
battery problem,"[0.0, 0.2875, 0.0]",3,[0.     0.     0.1438],0.14375,1.6026621336692892
big difference,"[-0.08482142857142858, -0.08482142857142858]",2,[-0.0848 -0.0848 -0.0848],-0.08482142857142858,0.8164720362680556
black theme,"[0.07685185185185187, 0.24734848484848487, 0.4166666666666667]",3,[0.1621 0.2473 0.332 ],0.3320075757575758,0.7813750932549756
camera app,"[-0.025, 0.0, 0.2333333333333333, 0.2333333333333333, -0.15]",5,[-0.025   0.      0.2333],0.2333333333333333,1.6395814282862444
camera quality,"[1.0, 0.0, 0.7, -0.05714285714285714, -0.05, -0.1499999999999999, 0.35, 0.75, 0.39249999999999996, 0.0, 0.7, 0.7, 0.25]",13,[0.   0.35 0.7 ],0.7,1.338321782804678
capacitive keys,"[0.05, 0.12, 0.25]",3,[0.085 0.12  0.185],0.185,1.0893782048748128
case,"[0.0, 0.45, 0.0, 0.2]",4,[0.     0.1    0.2625],0.2625,1.3567051808873725
charging,"[0.0, 0.0, 1.0]",3,[0.  0.  0.5],0.5,0.6895020663987016
cheap price,"[0.7, 0.55]",2,[0.5875 0.625  0.6625],0.6624999999999999,0.8602132537979102
choice,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,0.6070679607241752
common slot,"[0.18888888888888888, 0.18888888888888888]",2,[0.1889 0.1889 0.1889],0.18888888888888888,0.6444366866308882
complete package,"[0.1, 0.1]",2,[0.1 0.1 0.1],0.1,0.7167226645560659
customer care,"[0.10666666666666665, -0.3, 0.0, -0.3, 0.0]",5,[-0.3  0.   0. ],-0.3,1.9051303191600477
customer service,"[-0.20833333333333334, -1.0, -1.0, 0.19999999999999998, 0.19999999999999998, -0.52, 0.0, -1.0]",8,[-1.     -0.3642  0.05  ],-1.0,2.4175011451051405
date,"[0.0, 0.0, 1.0]",3,[0.  0.  0.5],0.5,0.9268458696022914
display,"[-0.15555555555555559, 0.0, 0.0, 0.0, 0.0, 0.26, 0.5499999999999999, 0.0, 0.15625, 0.0]",10,[0.     0.     0.1172],0.1171875,1.2907566638498271
doubt,"[0.0, 0.0, 0.6111111111111112]",3,[0.     0.     0.3056],0.3055555555555556,0.8294012343554226
email,"[0.0, 0.35]",2,[0.0875 0.175  0.2625],0.26249999999999996,0.6185925980006594
expandable storage,"[0.5, 0.25]",2,[0.3125 0.375  0.4375],0.4375,0.6869791339465586
experiencing annoying pop,"[-0.8, -0.8]",2,[-0.8 -0.8 -0.8],-0.8,0.7362119525354001
facing issues,"[-0.2, 0.03333333333333333]",2,[-0.1417 -0.0833 -0.025 ],-0.1416666666666667,0.714874756150269
fast charging,"[-0.1, 0.5549999999999999, 0.2, 0.2, 0.2, 0.2]",6,[0.2 0.2 0.2],0.2,2.002461885541904
features,"[0.04999999999999999, 0.0, 0.0, 0.5, 0.5]",5,[0.   0.05 0.5 ],0.5,0.9837279323277215
file manager,"[0.25, 0.2, 0.4]",3,[0.225 0.25  0.325],0.325,0.9835227166814098
finger print scanner,"[-0.3125, 0.0, 0.5833333333333334, -0.033333333333333305, -0.2, 0.0, 0.2]",7,[-0.1167  0.      0.1   ],-0.11666666666666665,2.6760874171315066
finger print sensor,"[0.0, -0.051851851851851864]",2,[-0.0389 -0.0259 -0.013 ],-0.038888888888888896,1.0001637912240748
fingerprint magnet,"[0.2, 0.0]",2,[0.05 0.1  0.15],0.15000000000000002,0.7453402300978947
fingerprint scanner,"[0.13636363636363635, 0.0, 0.0, 0.12, 0.0, 0.36666666666666664, 0.4, 0.0, 0.0, 0.0, 0.0, -0.75, 0.0]",13,[0.   0.   0.12],0.12,2.8773682496470196
frame drops,"[0.14166666666666666, -0.2]",2,[-0.1146 -0.0292  0.0562],-0.11458333333333336,0.7068768733106
friends,"[0.0, 0.0, 0.0, 0.5]",4,[0.    0.    0.125],0.125,0.8554532694363016
front camera,"[0.45438311688311683, -0.16666666666666666, 0.37666666666666665, 0.5, 0.75, 0.6666666666666666, 0.7, 0.6, 0.39999999999999997, 0.0, 0.0]",11,[0.1883 0.4544 0.6333],0.6333333333333333,1.9926860250460903
front camera clarity,"[0.75, 0.75]",2,[0.75 0.75 0.75],0.75,0.7619462829725526
full brightness,"[0.3499999999999999, 0.1763888888888889]",2,[0.2198 0.2632 0.3066],0.3065972222222222,0.679596080381097
full use,"[0.1625, 0.35]",2,[0.2094 0.2562 0.3031],0.303125,0.8492509061719289
games,"[0.2, 0.0, 0.0, 0.0]",4,[0.   0.   0.05],0.05,1.174192857029635
good battery backup,"[0.5228571428571428, 0.7]",2,[0.5671 0.6114 0.6557],0.6557142857142856,1.0435758602530891
good buy,"[0.4928571428571428, 0.7]",2,[0.5446 0.5964 0.6482],0.6482142857142856,0.8607036424467698
good camera,"[0.5228571428571428, 0.35, 0.7, 0.655, 0.7, 0.7, 0.75, 0.44999999999999996]",8,[0.5046 0.6775 0.7   ],0.7,1.42762713209107
