,sentiment,occurences,sentimentsSummary,sentimentEdges,score
3.5 mm jack,"[0.1761904761904762, 0.0, -0.13333333333333333]",3,[-0.0667  0.      0.0881],0.0880952380952381,1.0336848111836743
3000mah battery,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.6625813755464813
64 gb,"[0.2681818181818182, 0.2, -0.04791666666666669]",3,[0.076  0.2    0.2341],0.2340909090909091,0.8575555115685283
Double single core,"[0.029523809523809525, 0.17142857142857143]",2,[0.065  0.1005 0.136 ],0.13595238095238094,0.9161090807948866
GB RAM,"[0.0, 0.2, 0.0, 0.0, 0.0, 0.0, -0.4, 0.5, 0.35, 0.4]",10,[0.     0.     0.3125],0.31249999999999994,1.7973534045813868
IR blaster,"[0.1, 0.0]",2,[0.025 0.05  0.075],0.07500000000000001,0.7256567210598253
battery,"[0.0, 0.5, 0.06666666666666665, 0.0, 0.0, -0.05]",6,[0.   0.   0.05],0.04999999999999999,1.7127480094638958
body ratio,"[-0.025, -0.03333333333333333]",2,[-0.0312 -0.0292 -0.0271],-0.03125,0.7393112055823595
camera sensor,"[0.25, 0.0, 0.0, 0.13636363636363635]",4,[0.     0.0682 0.1648],0.16477272727272727,1.1154898612667559
case,"[0.6, 0.0, 0.05]",3,[0.025 0.05  0.325],0.325,1.0751634181202994
china brand,"[0.2, 0.075]",2,[0.1062 0.1375 0.1688],0.16875,0.6637607402641394
decent size,"[-0.06666666666666667, -0.06666666666666667]",2,[-0.0667 -0.0667 -0.0667],-0.06666666666666667,0.668262555494878
fancy ad,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.6816609622463633
finger print reader,"[-0.275, 0.0]",2,[-0.2062 -0.1375 -0.0688],-0.20625000000000002,0.9625214718274955
flagship model,"[0.0, 0.43333333333333335]",2,[0.1083 0.2167 0.325 ],0.325,0.7006413415641473
flagship phones,"[0.8, 0.35]",2,[0.4625 0.575  0.6875],0.6875000000000001,0.783476375854106
fm radio,"[0.25, 0.0, 0.0, 0.0]",4,[0.     0.     0.0625],0.0625,1.492421320977761
food option,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.7200765272740962
future updates,"[0.10248917748917748, -0.0625]",2,[-0.0213  0.02    0.0612],0.06124188311688311,0.862203020064983
gb ram,"[-0.04791666666666669, -0.3333333333333333, -0.3333333333333333, 0.65]",4,[-0.3333 -0.1906  0.1266],-0.3333333333333333,1.0821145751755532
good buy,"[0.475, 0.7, 0.390625]",3,[0.4328 0.475  0.5875],0.5874999999999999,1.3641829975122401
great thing,"[0.8, 0.1761904761904762]",2,[0.3321 0.4881 0.644 ],0.6440476190476191,0.7663444265250637
headphone jack,"[0.7, 1.0]",2,[0.775 0.85  0.925],0.925,0.7340728556238524
low light,"[0.18333333333333335, 0.0, 0.5]",3,[0.0917 0.1833 0.3417],0.3416666666666667,1.2280762254234248
major upgrade,"[0.03125, 0.390625, -0.03571428571428571]",3,[-0.0022  0.0312  0.2109],0.2109375,1.286603073789713
many cons,"[0.375, 0.43333333333333335]",2,[0.3896 0.4042 0.4188],0.41875,0.7593077508566127
many cores,"[0.5, 0.3]",2,[0.35 0.4  0.45],0.45,0.7505382151952621
mid range,"[0.35, 0.11904761904761905]",2,[0.1768 0.2345 0.2923],0.2922619047619047,0.7277123987918811
minor changes,"[-0.07537878787878788, -0.05]",2,[-0.069  -0.0627 -0.0563],-0.0690340909090909,0.7691054908843268
money,"[0.0, 0.0, -0.2]",3,[-0.1  0.   0. ],-0.1,0.7217093826096475
multi core,"[0.029523809523809525, 0.35, 0.17142857142857143]",3,[0.1005 0.1714 0.2607],0.2607142857142857,0.8797852474584508
new chipset,"[0.13636363636363635, 0.06818181818181818]",2,[0.0852 0.1023 0.1193],0.11931818181818181,0.7043496133799441
new phones,"[0.28409090909090906, 0.16818181818181818]",2,[0.1972 0.2261 0.2551],0.2551136363636363,0.8074608398876589
new standards,"[-0.1534090909090909, 0.13636363636363635]",2,[-0.081  -0.0085  0.0639],-0.08096590909090909,0.6757180161600447
other brands,"[-0.125, -0.125]",2,[-0.125 -0.125 -0.125],-0.125,0.8767516354195816
other companies,"[-0.0625, -0.125]",2,[-0.1094 -0.0938 -0.0781],-0.109375,0.8484571731520568
other phones,"[0.1875, 0.6067460317460317]",2,[0.2923 0.3971 0.5019],0.5019345238095237,0.9184390089617068
poor battery,"[-0.3833333333333333, -0.52]",2,[-0.4858 -0.4517 -0.4175],-0.48583333333333334,0.829968363861525
price,"[0.16666666666666669, 0.0, 0.0, 0.03125]",4,[0.     0.0156 0.0651],0.06510416666666667,1.0705900977322471
quick charge 2.0,"[0.5166666666666666, 0.3333333333333333, -0.04791666666666669]",3,[0.1427 0.3333 0.425 ],0.42499999999999993,1.1914044468535234
same design,"[0.25, -0.03571428571428571, 0.06818181818181818]",3,[0.0162 0.0682 0.1591],0.1590909090909091,1.0177901116720096
same size,"[0.008611111111111116, 0.16666666666666666, -0.19999999999999998]",3,[-0.0957  0.0086  0.0876],-0.09569444444444443,1.2661862573411529
single camera,"[0.18831168831168832, -0.07142857142857142, -0.03571428571428571, -0.03571428571428571]",4,[-0.0446 -0.0357  0.0203],-0.04464285714285714,0.9294555183882784
size,"[0.5, 0.0, 0.0, 0.0]",4,[0.    0.    0.125],0.125,0.6864009532879691
smart phones,"[0.43214285714285716, 0.34047619047619043, 0.34047619047619043]",3,[0.3405 0.3405 0.3863],0.38630952380952377,0.9014533608730662
snapdragon 845,"[0.0, 0.0, 0.0, 0.16666666666666666]",4,[0.     0.     0.0417],0.041666666666666664,1.009216977551179
stereo speakers,"[0.0, 0.13636363636363635, 0.0, 0.0]",4,[0.     0.     0.0341],0.03409090909090909,1.362436744812893
top notch,"[-0.14999999999999997, 0.5]",2,[0.0125 0.175  0.3375],0.3375,0.7838901837215428
variable aperture,"[0.0, 0.35416666666666663]",2,[0.0885 0.1771 0.2656],0.265625,0.6454798474013971
version,"[0.0, -0.3, 0.0]",3,[-0.15  0.    0.  ],-0.15,0.7044425401707985
world,"[0.5875, 0.5, 0.09375]",3,[0.2969 0.5    0.5438],0.54375,0.6355926697262996
