,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 percent,"[0.7, 0.0, 0.0]",3,[0.   0.   0.35],0.35,0.8410472334273166
1080p displays,"[0.22916666666666666, -0.125, 0.25]",3,[0.0521 0.2292 0.2396],0.23958333333333331,0.6426980211743492
1080x1920 pixels,"[0.2888888888888889, 0.2888888888888889, 0.3, 0.3]",4,[0.2889 0.2944 0.3   ],0.3,0.9213751178577783
16 GB,"[0.0, 0.0, 0.0, 0.0, -0.041666666666666664, -0.041666666666666664, 0.2888888888888889, 0.2888888888888889, 0.3, 0.3]",10,[0.     0.     0.2889],0.2888888888888889,1.7973534045813868
2-Internal software,"[0.32407407407407407, 0.32407407407407407, 0.2127777777777778]",3,[0.2684 0.3241 0.3241],0.32407407407407407,1.0174682173943739
2300 mah,"[-0.3499999999999999, 0.7, -0.2, -0.07499999999999998]",4,[-0.2375 -0.1375  0.1188],-0.2375,0.8790231153438345
2300 mah battery,"[0.0, 0.20833333333333334]",2,[0.0521 0.1042 0.1562],0.15625,0.8656319968245754
2300mah battery,"[0.215, -0.0625, 0.25, 0.28214285714285714]",4,[0.1456 0.2325 0.258 ],0.25803571428571426,1.3251627510929627
3.5 mm,"[0.4, 0.4, 0.4]",3,[0.4 0.4 0.4],0.4,0.631192215413311
3.5 mm jack,"[-0.1, -0.5]",2,[-0.4 -0.3 -0.2],-0.4,0.6521825031906741
3000 mah,"[-0.20208333333333328, 0.0, 0.2859375]",3,[-0.101  0.     0.143],0.14296875,0.6966093375435327
3000mah battery,"[0.625, 0.0]",2,[0.1562 0.3125 0.4688],0.46875,0.6625813755464813
4-I use,"[0.21833333333333335, 0.21833333333333335, 0.21833333333333335]",3,[0.2183 0.2183 0.2183],0.21833333333333335,1.1198910092118521
720p display,"[0.0, 0.0, 0.17777777777777778, 0.20833333333333334, 0.1464285714285714, 0.215, 0.05499999999999999, 0.0]",8,[0.     0.1007 0.1854],0.18541666666666667,1.1656694187659047
Adaptive brightness,"[0.11666666666666668, -0.2]",2,[-0.1208 -0.0417  0.0375],-0.12083333333333335,0.6577888996062372
Awesome device,"[1.0, 1.0]",2,[1. 1. 1.],1.0,0.8148167377752091
Battery backup,"[0.0, -1.0, -0.15]",3,[-0.575 -0.15  -0.075],-0.575,1.3825133292584988
Chinese brand,"[-0.0010416666666666595, 0.0]",2,[-0.0008 -0.0005 -0.0003],-0.0007812499999999946,0.6944487715218276
DEVICE error,"[0.0, 0.4222222222222222]",2,[0.1056 0.2111 0.3167],0.31666666666666665,0.7821764832624214
Display quality,"[0.7, 0.8]",2,[0.725 0.75  0.775],0.7750000000000001,0.6173423959973787
Excellent Camera feature,"[0.19375, 0.19375]",2,[0.1938 0.1938 0.1938],0.19375,0.8640280669191189
Fake story,"[-0.19999999999999998, -0.019999999999999997]",2,[-0.155 -0.11  -0.065],-0.155,0.7047509037134919
Fast battery charging feature,"[-0.05, -0.275]",2,[-0.2188 -0.1625 -0.1062],-0.21875000000000003,1.2434460272692887
Fast battery charging work,"[-0.05, 0.125]",2,[-0.0063  0.0375  0.0812],0.08125,1.1794799246606096
GB RAM capacity,"[0.19375, 0.19375]",2,[0.1938 0.1938 0.1938],0.19375,0.6920881537651892
GOOD CARE,"[0.6375, 0.6375, 0.6375]",3,[0.6375 0.6375 0.6375],0.6375,1.2724479850032235
Good luck,"[0.875, 0.7, 0.7, 0.7, 0.7, 0.7802083333333334, 0.7, 0.7, 0.875, 0.7]",10,[0.7    0.7    0.7602],0.7601562500000001,2.667441133885319
Internal storage,"[0.3, 0.0]",2,[0.075 0.15  0.225],0.22499999999999998,0.6688702420913953
Manual mode,"[0.0, 0.15]",2,[0.0375 0.075  0.1125],0.11249999999999999,0.6115383750117998
Many thanks,"[0.35, 0.2333333333333333, 0.35]",3,[0.2917 0.35   0.35  ],0.35,1.2265942547575563
Nice camera,"[0.55, 0.8, 0.6]",3,[0.575 0.6   0.7  ],0.7,1.0166660702892798
