,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 TB memory,"[0.0, 0.15625]",2,[0.0391 0.0781 0.1172],0.1171875,0.6143922078435451
16:9 settings,"[0.0, -0.0875, 0.0]",3,[-0.0438  0.      0.    ],-0.04375,0.8815376911692204
1st smartphone,"[0.6, 0.2, 0.125]",3,[0.1625 0.2    0.4   ],0.4,0.919976944273517
1st update,"[0.5, -0.05]",2,[0.0875 0.225  0.3625],0.3625,0.6429940700581986
200 gb,"[0.25, -0.2916666666666667, 0.0, 0.0, 0.2]",5,[0.  0.  0.2],0.2,1.2562961169936098
23mp photos,"[0.5, 0.0, 0.0, 0.0]",4,[0.    0.    0.125],0.125,0.8110364035227606
2900 mah,"[0.7000000000000001, 0.0, -0.09351851851851851]",3,[-0.0468  0.      0.35  ],0.35000000000000003,0.6966093375435327
2k display,"[0.1, -0.75, -0.75]",3,[-0.75  -0.75  -0.325],-0.75,0.6158474389937951
3.5 mm sound,"[0.45, 0.45, 0.3666666666666667]",3,[0.4083 0.45   0.45  ],0.45,0.9892364834006276
45 mins,"[0.125, 0.24, 0.2]",3,[0.1625 0.2    0.22  ],0.22,0.6514714872669906
4k display,"[0.0, 0.049999999999999996, 0.0, 0.0, 0.0, 0.5, -0.1]",7,[0.    0.    0.025],0.024999999999999998,1.0908159267548299
4k recording,"[-0.125, 0.0, 0.16666666666666666, -0.09351851851851851, 0.0, -0.07777777777777779, 0.375, 0.0, -0.125, 0.18666666666666665, 0.1, 0.0, 0.18333333333333335, -0.06666666666666667, 0.7472727272727273, -0.125, -0.125, 0.0, 0.3625]",19,[-0.0856  0.      0.175 ],0.175,1.3635109242934673
4k video,"[0.25, 0.17222222222222222, 0.16324074074074074, 0.15000000000000002, 0.175, 0.0]",6,[0.1533 0.1677 0.1743],0.17430555555555555,1.41048561209153
4k video recording,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.1875, 0.1, 0.0, 0.45, -0.09351851851851851]",10,[0.    0.    0.075],0.07500000000000001,2.3594192834503978
6.0.1 update,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.6429940700581986
60 image,"[0.19, 0.25, 0.08]",3,[0.135 0.19  0.22 ],0.22,0.7577505118437098
