,sentiment,occurences,sentimentsSummary,sentimentEdges,score
6 hrs,"[0.0, -0.15, -0.15]",3,[-0.15  -0.15  -0.075],-0.15,0.7598497650227735
auto mode,"[0.23809523809523808, 0.5, 0.0, 0.4916666666666667, 0.5]",5,[0.2381 0.4917 0.5   ],0.5,1.514980277290718
bad boyz nougat,"[-0.17499999999999993, -0.6999999999999998]",2,[-0.5687 -0.4375 -0.3062],-0.5687499999999999,0.9299337638668908
battery,"[0.5, 0.05, 0.05416666666666667]",3,[0.0521 0.0542 0.2771],0.27708333333333335,1.0501666339174147
battery indicator,"[0.1025, 0.16562500000000002]",2,[0.1183 0.1341 0.1498],0.14984375000000003,0.8853001895246208
battery life,"[0.8, 0.8, 1.0, 0.55, -0.5, 0.5, 0.20833333333333337]",7,[0.3542 0.55   0.8   ],0.8,1.860101085904112
call quality,"[-0.6999999999999998, 0.0]",2,[-0.525 -0.35  -0.175],-0.5249999999999999,0.703932686307918
car,"[0.0, -0.6, 0.0, 0.3333333333333333]",4,[-0.15    0.      0.0833],-0.15,1.2525799987780444
charging,"[0.020833333333333332, 0.0, 0.21666666666666667]",3,[0.0104 0.0208 0.1188],0.11875000000000001,0.6895020663987016
day photos,"[0.0, 0.16666666666666666]",2,[0.0417 0.0833 0.125 ],0.125,0.8027760967161907
good volume,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.7470711202978242
gps signal,"[0.6, -0.046875]",2,[0.1148 0.2766 0.4383],0.43828124999999996,0.7920886742128386
hardware,"[0.35416666666666663, 0.0]",2,[0.0885 0.1771 0.2656],0.265625,0.6264176406843298
lot,"[0.6, -0.06851851851851855, 0.0]",3,[-0.0343  0.      0.3   ],0.3,1.0799102642308318
low light,"[0.23809523809523808, 0.2, 0.09, 0.13214285714285715]",4,[0.1216 0.1661 0.2095],0.20952380952380956,1.5496596605467337
low light pics,"[0.21785714285714283, 0.21785714285714283, 0.3666666666666667]",3,[0.2179 0.2179 0.2923],0.2922619047619048,1.5751296520961489
manual mode,"[0.23809523809523808, 0.5, 0.0, 0.0, 0.1]",5,[0.     0.1    0.2381],0.23809523809523808,1.4199481340416613
mobile data,"[-0.02500000000000001, 0.0, -0.06666666666666668, -0.33749999999999997]",4,[-0.1344 -0.0458 -0.0188],-0.134375,0.7928737345602788
open camera,"[0.0, -0.010000000000000009]",2,[-0.0075 -0.005  -0.0025],-0.007500000000000007,0.616774963439207
other apps,"[-0.044642857142857144, 0.21785714285714283]",2,[0.021  0.0866 0.1522],0.15223214285714284,0.9438530778041819
other phones,"[-0.125, -0.020833333333333332, -0.01249999999999999, -0.0625, 0.14227272727272727]",5,[-0.0625 -0.0208 -0.0125],-0.0625,2.132549338348693
previous phones,"[-0.1416666666666666, 0.09166666666666666]",2,[-0.0833 -0.025   0.0333],-0.08333333333333329,0.7792119380758614
quick charge,"[0.3333333333333333, 0.16666666666666666, 0.41666666666666663]",3,[0.25   0.3333 0.375 ],0.375,1.1914044468535234
router,"[0.2916666666666667, 0.0, 0.0, -0.09166666666666667, 0.25]",5,[0.   0.   0.25],0.25,1.1900791715548569
same location,"[0.05, 0.05]",2,[0.05 0.05 0.05],0.05,0.803745659650762
same signal strength,"[-0.1, 0.0, 0.05]",3,[-0.05   0.     0.025],-0.05,1.7179496936845469
same time,"[-0.03125, -0.14583333333333334, 0.0]",3,[-0.0885 -0.0312 -0.0156],-0.08854166666666667,1.50694664627575
signal strength,"[0.05, -0.4, 0.14227272727272727, -0.26666666666666666, -0.52, 0.0]",6,[-0.3667 -0.1333  0.0375],-0.3666666666666667,2.112524403686309
software updates,"[0.1, 0.5]",2,[0.2 0.3 0.4],0.4,0.9061768475949811
sot,"[0.0, 0.5, 0.3]",3,[0.15 0.3  0.4 ],0.4,0.7393841993227288
stock android,"[0.0, 0.5, 0.45]",3,[0.225 0.45  0.475],0.475,0.8097900376890398
stock android battery stats,"[0.2857142857142857, 0.0]",2,[0.0714 0.1429 0.2143],0.21428571428571427,1.049320935847462
stock camera,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,0.8097900376890398
time,"[0.0, 0.25555555555555554, 0.0, 0.033333333333333326]",4,[0.     0.0167 0.0889],0.08888888888888888,1.2231509125329978
unlock bootloader,"[0.5, 0.8]",2,[0.575 0.65  0.725],0.7250000000000001,0.8443849694860153
was using,"[0.21111111111111114, 0.0]",2,[0.0528 0.1056 0.1583],0.15833333333333335,0.9451648335069538
wifi,"[1.0, 0.0, 0.0, 0.15]",4,[0.     0.075  0.3625],0.3625,1.0681595766652696
wifi strength,"[0.21428571428571427, 0.0]",2,[0.0536 0.1071 0.1607],0.1607142857142857,0.8228971442236889
