,sentiment,occurences,sentimentsSummary,sentimentEdges,score
auto mode,"[-1.0, -0.5]",2,[-0.875 -0.75  -0.625],-0.875,0.652466491372641
battery,"[0.1, 0.0, 0.5]",3,[0.05 0.1  0.3 ],0.3,1.0501666339174147
battery life,"[0.26666666666666666, 0.0, -0.125, 0.37, 0.5, 0.18555555555555558, -0.4, 0.05, 0.25, 0.0, 1.0, 0.475]",12,[0.     0.2178 0.3962],0.39625,2.375329385010377
camera app,"[0.0, 0.26666666666666666]",2,[0.0667 0.1333 0.2   ],0.2,0.7061292862153775
case,"[0.0, 0.0, 0.08333333333333333]",3,[0.     0.     0.0417],0.041666666666666664,1.0751634181202994
dark,"[-0.15, 0.3, -0.15, -0.15]",4,[-0.15   -0.15   -0.0375],-0.15,0.8014554138970895
facebook app,"[0.0, 0.4]",2,[0.1 0.2 0.3],0.30000000000000004,0.9067490902237435
fingerprint scanner,"[0.15444444444444444, 0.0]",2,[0.0386 0.0772 0.1158],0.11583333333333333,0.7775746853923781
first cycle,"[0.25, 0.3166666666666667, 0.37, 0.37, 0.2]",5,[0.25   0.3167 0.37  ],0.37,0.8254942178384449
heavy use,"[-0.2, 0.35]",2,[-0.0625  0.075   0.2125],0.21249999999999997,0.9373034009196538
heavy user,"[0.024999999999999994, -0.2, -0.2, 0.0]",4,[-0.2    -0.1     0.0062],-0.2,1.4067015426034868
home button,"[-0.15, 0.4166666666666667]",2,[-0.0083  0.1333  0.275 ],0.275,0.8412845134108682
hour,"[0.0, 0.0, 0.0, 0.05]",4,[0.     0.     0.0125],0.0125,0.9697071048371637
little bit,"[0.07083333333333335, -0.17708333333333331, -0.15625]",3,[-0.1667 -0.1562 -0.0427],-0.16666666666666666,1.2733213669389565
low light,"[0.22500000000000003, 0.2, 0.43333333333333335, 0.2, 0.2, 0.2]",6,[0.2    0.2    0.2188],0.21875,2.0029060556967915
meu sm-g965f folosind tapatalk,"[0.5, -0.24166666666666667, 0.04166666666666667, 0.0, 0.10555555555555556]",5,[0.     0.0417 0.1056],0.10555555555555556,0.6546820609213607
much difference,"[-0.16666666666666666, 0.25]",2,[-0.0625  0.0417  0.1458],0.14583333333333334,0.8902987824061389
normal usage,"[0.15, 0.325]",2,[0.1937 0.2375 0.2812],0.28125,0.7715772502807025
portrait mode,"[0.04545454545454545, 0.5]",2,[0.1591 0.2727 0.3864],0.38636363636363635,0.6467577171418235
power saving modes,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.7397418614803913
previous phones,"[-0.16666666666666666, 0.16666666666666669]",2,[-0.0833  0.      0.0833],0.08333333333333334,0.7792119380758614
previous post,"[-0.16666666666666666, 0.04166666666666667]",2,[-0.1146 -0.0625 -0.0104],-0.11458333333333333,0.7213045491165583
pro mode,"[0.12585470085470088, 0.0, 0.0]",3,[0.     0.     0.0629],0.06292735042735044,0.6023639062847522
sot,"[0.0, 0.25, 0.0]",3,[0.    0.    0.125],0.125,0.7393841993227288
sports mode,"[0.0, -1.0]",2,[-0.75 -0.5  -0.25],-0.75,0.6257755420748146
standby drain,"[0.0, 0.05]",2,[0.0125 0.025  0.0375],0.037500000000000006,0.8255932560858495
stock app,"[0.13333333333333333, 0.0, -1.0]",3,[-0.5     0.      0.0667],-0.5,1.4837299276751683
three shots,"[-1.0, -1.0]",2,[-1. -1. -1.],-1.0,0.6757424531843831
time,"[-0.125, -0.18111111111111108]",2,[-0.1671 -0.1531 -0.139 ],-0.1670833333333333,0.6115754562664989
was getting,"[-0.125, 0.23611111111111108]",2,[-0.0347  0.0556  0.1458],0.14583333333333331,0.8501796666093869
was using,"[-0.09999999999999999, 0.0]",2,[-0.075 -0.05  -0.025],-0.075,0.9451648335069538
