,sentiment,occurences,sentimentsSummary,sentimentEdges,score
battery,"[-0.05, 0.0]",2,[-0.0375 -0.025  -0.0125],-0.037500000000000006,0.6625813755464813
battery life,"[0.0, 0.0, -0.0861111111111111, -0.0861111111111111, 0.05333333333333331]",5,[-0.0861  0.      0.    ],-0.0861111111111111,1.5384663110304893
first few days,"[0.024999999999999994, 0.024999999999999994, -0.0861111111111111]",3,[-0.0306  0.025   0.025 ],-0.03055555555555555,1.188032457712168
intelligent scan,"[0.65, 0.5, 0.4]",3,[0.45  0.5   0.575],0.575,1.0021956127425087
low light,"[0.39999999999999997, 0.2, 0.2]",3,[0.2 0.2 0.3],0.3,1.2280762254234248
low light test,"[0.21666666666666667, 0.21666666666666667]",2,[0.2167 0.2167 0.2167],0.21666666666666667,1.017759589337006
new reviews,"[0.13636363636363635, 0.13636363636363635]",2,[0.1364 0.1364 0.1364],0.13636363636363635,0.8015549561596025
previous post,"[-0.08333333333333333, -0.10666666666666666]",2,[-0.1008 -0.095  -0.0892],-0.10083333333333332,0.7213045491165583
sot,"[0.1, 0.0, 0.0]",3,[0.   0.   0.05],0.05,0.7393841993227288
stock app,"[0.13333333333333333, 0.0, -1.0]",3,[-0.5     0.      0.0667],-0.5,1.4837299276751683
