,sentiment,occurences,sentimentsSummary,sentimentEdges,score
apps,"[0.3666666666666667, 0.0]",2,[0.0917 0.1833 0.275 ],0.275,0.6103506053928607
battery life,"[0.19375000000000003, 0.27666666666666667, 1.0, 0.35]",4,[0.2559 0.3133 0.5125],0.5125,1.3251627510929627
camera app,"[-0.35, 0.0]",2,[-0.2625 -0.175  -0.0875],-0.26249999999999996,0.7061292862153775
charging speed,"[0.0, 0.0, -0.1875]",3,[-0.0938  0.      0.    ],-0.09375,0.6895020663987016
fast charge,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.7663632498162143
fast charging,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.7746580018020589
full charge,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.6268118596108575
heavy gaming,"[-0.275, -0.2]",2,[-0.2563 -0.2375 -0.2188],-0.25625000000000003,0.702900660314409
price range,"[0.2, 1.0]",2,[0.4 0.6 0.8],0.8,0.8308466115887911
time,"[0.06666666666666668, 0.5, 0.0]",3,[0.0333 0.0667 0.2833],0.2833333333333333,0.9693241645438324
