,sentiment,occurences,sentimentsSummary,sentimentEdges,score
4 days,"[0.0, -0.15000000000000002, 0.0]",3,[-0.075  0.     0.   ],-0.07500000000000001,0.9118323394281177
battery life,"[0.6639999999999999, 0.475, 0.5, -0.11805555555555558, -0.09999999999999998, 0.17222222222222222, 0.0]",7,[-0.05    0.1722  0.4875],0.4875,1.860101085904112
bottom speaker,"[0.03666666666666667, 0.3]",2,[0.1025 0.1683 0.2342],0.23416666666666663,0.7949849727916416
build quality,"[1.0, 0.5416666666666667, 0.55]",3,[0.5458 0.55   0.775 ],0.775,1.2114105772391228
cable,"[0.0, 0.375, 0.0]",3,[0.     0.     0.1875],0.1875,0.8881806632623387
call volume,"[0.0, 0.125]",2,[0.0312 0.0625 0.0938],0.09375,0.767769188325757
camera app,"[0.5, 0.0]",2,[0.125 0.25  0.375],0.375,0.7061292862153775
car,"[0.07500000000000001, 0.0, 0.0]",3,[0.     0.     0.0375],0.037500000000000006,0.9926461636082761
case,"[-0.8, 0.2]",2,[-0.55 -0.3  -0.05],-0.55,0.6783525904436862
day,"[0.16666666666666666, 0.049166666666666664, 0.2]",3,[0.1079 0.1667 0.1833],0.18333333333333335,0.9567591248335382
device,"[-0.6, -0.25, 0.0]",3,[-0.425 -0.25  -0.125],-0.425,0.7792413242105017
different apps,"[0.0, 0.4333333333333333]",2,[0.1083 0.2167 0.325 ],0.32499999999999996,0.776907015944469
direct sunlight,"[0.1, 0.1]",2,[0.1 0.1 0.1],0.1,0.6429480958764665
everyday task,"[0.4, 0.15833333333333333]",2,[0.2188 0.2792 0.3396],0.33958333333333335,0.6322754763619726
everyone,"[0.225, 0.0]",2,[0.0562 0.1125 0.1688],0.16875,0.6374610318662493
few days,"[-0.2, 0.09999999999999999, -0.2, -0.02500000000000001, -0.2]",5,[-0.2   -0.2   -0.025],-0.2,1.7404360923017663
fingerprint sensor,"[0.25, -0.07692307692307693]",2,[0.0048 0.0865 0.1683],0.16826923076923078,0.8374613088033033
first day,"[0.25, -0.06666666666666661]",2,[0.0125 0.0917 0.1708],0.17083333333333334,0.6036477988584675
front camera,"[0.0, 0.0, 0.0, -0.015384615384615385]",4,[-0.0038  0.      0.    ],-0.0038461538461538464,1.1520308794720606
gaming,"[0.125, 0.024999999999999994, 0.3125, 0.3125]",4,[0.1    0.2188 0.3125],0.3125,0.7044004842978892
good phones,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.8188042858423757
great battery life,"[0.8, 0.40375]",2,[0.5028 0.6019 0.7009],0.7009375000000001,0.8925550996394357
great pictures,"[0.4787878787878788, 0.7333333333333334]",2,[0.5424 0.6061 0.6697],0.6696969696969698,0.7711249582027762
headphone jack,"[-1.0, -0.15555555555555559]",2,[-0.7889 -0.5778 -0.3667],-0.7888888888888889,0.7340728556238524
heavy user,"[0.024999999999999994, 0.45]",2,[0.1312 0.2375 0.3438],0.34375,0.7033507713017434
huge difference,"[0.20000000000000004, 0.4000000000000001]",2,[0.25 0.3  0.35],0.35000000000000003,0.8720151885588343
light usage,"[0.4, 0.55, 0.4, 0.4, 0.2, 0.328125, 0.45]",7,[0.3641 0.4    0.425 ],0.42500000000000004,2.040966405292714
light use,"[0.5333333333333333, 0.2]",2,[0.2833 0.3667 0.45  ],0.45,0.845722411388986
light user,"[-0.11249999999999999, 0.030555555555555575, 0.4]",3,[-0.041   0.0306  0.2153],0.2152777777777778,0.9054965049187335
little bit,"[-0.46875, -0.1875, -0.1875, 0.328125]",4,[-0.2578 -0.1875 -0.0586],-0.2578125,1.6067526725201342
long story,"[-0.025, -0.025, -0.025]",3,[-0.025 -0.025 -0.025],-0.025,1.3069737576424
low light,"[0.20000000000000004, 0.4366666666666667, 0.4333333333333333]",3,[0.3167 0.4333 0.435 ],0.435,1.2280762254234248
m8,"[0.0, 0.27999999999999997, 0.0]",3,[0.   0.   0.14],0.13999999999999999,0.9152825015328651
nougat update,"[0.058333333333333334, -0.2]",2,[-0.1354 -0.0708 -0.0063],-0.13541666666666669,0.9447690123364858
old m8,"[-0.30625, -0.1142857142857143]",2,[-0.2583 -0.2103 -0.1623],-0.25825892857142857,0.7402058935959643
other device,"[-0.125, 0.03472222222222223]",2,[-0.0851 -0.0451 -0.0052],-0.08506944444444445,0.87291400618023
other devices,"[0.037500000000000006, -0.125]",2,[-0.0844 -0.0438 -0.0031],-0.084375,0.8521130375671512
other phones,"[0.35833333333333334, 0.029761904761904757]",2,[0.1119 0.194  0.2762],0.27619047619047615,0.9184390089617068
other side,"[0.0625, -0.125, 0.0625]",3,[-0.0312  0.0625  0.0625],0.0625,1.2891677464641802
perfect size,"[1.0, 0.4166666666666667]",2,[0.5625 0.7083 0.8542],0.8541666666666666,0.6936318453727764
photoshop fix,"[0.3499999999999999, 0.5]",2,[0.3875 0.425  0.4625],0.46249999999999997,0.7247432677161038
pink hue,"[-0.07121212121212121, 0.07777777777777779]",2,[-0.034   0.0033  0.0405],0.04053030303030304,0.6306450242703546
pink tint,"[-0.16666666666666666, 0.2]",2,[-0.075   0.0167  0.1083],0.10833333333333336,0.6909451939532149
power button,"[-0.08570075757575758, -0.35, 0.2]",3,[-0.2179 -0.0857  0.0571],-0.21785037878787877,1.0119477213744235
power saver mode,"[0.0, -0.043750000000000004]",2,[-0.0328 -0.0219 -0.0109],-0.0328125,0.6777804690175143
previous phones,"[0.4166666666666667, 0.4166666666666667, -0.16111111111111112]",3,[0.1278 0.4167 0.4167],0.4166666666666667,1.235021701964496
previous post,"[-0.16666666666666666, 0.07777777777777779, 0.03472222222222223, -0.16666666666666666]",4,[-0.1667 -0.066   0.0455],-0.16666666666666666,1.4426090982331166
right setting,"[0.28968253968253965, 0.14285714285714285]",2,[0.1796 0.2163 0.253 ],0.25297619047619047,0.7373604911050938
router,"[0.0, 0.0, -0.022222222222222216]",3,[-0.0111  0.      0.    ],-0.011111111111111108,0.812355414432095
safe memory,"[0.3, 0.15357142857142858]",2,[0.1902 0.2268 0.2634],0.2633928571428571,0.699754414112556
same load,"[0.3125, 0.3125]",2,[0.3125 0.3125 0.3125],0.3125,0.8784825998069847
sd card,"[0.16, 0.0]",2,[0.04 0.08 0.12],0.12,0.7642684418078175
second floor,"[0.0, 0.025]",2,[0.0062 0.0125 0.0188],0.018750000000000003,0.6673690729256211
sharp panel,"[-0.30625, -0.5174999999999998, -0.5625, 0.041666666666666664]",4,[-0.5287 -0.4119 -0.2193],-0.5287499999999998,1.2617853859849686
signal strength,"[0.0, 0.05000000000000001, 0.215]",3,[0.025  0.05   0.1325],0.1325,1.2952884077687845
slight pink hue,"[-0.13333333333333333, -0.13333333333333333]",2,[-0.1333 -0.1333 -0.1333],-0.13333333333333333,0.8566443421174931
sot,"[-0.08333333333333333, 0.0, 0.0]",3,[-0.0417  0.      0.    ],-0.041666666666666664,0.7393841993227288
sound quality,"[0.7333333333333334, 0.2, 0.43333333333333335]",3,[0.3167 0.4333 0.5833],0.5833333333333334,0.9477019467141129
srgb mode,"[0.0, 0.8]",2,[0.2 0.4 0.6],0.6000000000000001,0.617551805804655
time,"[0.0, 0.21428571428571427, 0.0, -0.1875, -0.018750000000000003]",5,[-0.0188  0.      0.    ],-0.018750000000000003,1.4200342340487413
top notch,"[0.5, -0.25, -0.25]",3,[-0.25  -0.25   0.125],-0.25,1.2424365458820632
top speaker,"[0.03666666666666667, 0.11666666666666665, 0.3]",3,[0.0767 0.1167 0.2083],0.20833333333333331,1.2741053932364346
upper speaker,"[0.225, 0.125, 0.3]",3,[0.175  0.225  0.2625],0.2625,1.0632609315807602
was losing,"[-0.12187500000000001, -0.16666666666666666]",2,[-0.1555 -0.1443 -0.1331],-0.15546875,0.8889897122575415
was thinking,"[-0.25, 0.5]",2,[-0.0625  0.125   0.3125],0.3125,0.9325061528129835
white front,"[-0.08333333333333333, 0.0]",2,[-0.0625 -0.0417 -0.0208],-0.0625,0.8070132326700412
wifi,"[0.0, 0.19999999999999998, 0.0, 0.0, 0.5, 0.0]",6,[0.   0.   0.15],0.15,1.3805762252329534
wifi drain,"[0.6, 0.0]",2,[0.15 0.3  0.45],0.44999999999999996,0.7978514557747175
