,sentiment,occurences,sentimentsSummary,sentimentEdges,score
5ghz wifi signal,"[-0.6999999999999998, -0.244140625]",2,[-0.586  -0.4721 -0.3581],-0.5860351562499999,0.826532370322215
app usage,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.962271827733594
auto brightness,"[1.0, 0.37333333333333335]",2,[0.53   0.6867 0.8433],0.8433333333333334,0.7296465920118238
background,"[-0.2, -0.6, -0.25]",3,[-0.425 -0.25  -0.225],-0.425,0.7697660579507999
battery drain,"[0.42714285714285716, -0.6, 0.0]",3,[-0.3     0.      0.2136],-0.3,1.407759624340582
battery life,"[0.4255085939701324, 0.8, 1.0, 0.19999999999999998, 0.6000000000000001]",5,[0.4255 0.6    0.8   ],0.8,1.5384663110304893
case,"[0.0, 0.0, 0.2]",3,[0.  0.  0.1],0.1,1.0751634181202994
daily use,"[0.19166666666666665, 0.0]",2,[0.0479 0.0958 0.1438],0.14375,0.9168340478509647
double tap,"[0.0, 0.21999999999999997]",2,[0.055 0.11  0.165],0.16499999999999998,0.863542724679456
few days,"[-0.2, -0.2]",2,[-0.2 -0.2 -0.2],-0.2,0.7495650257792309
fingerprint magnet,"[-0.6999999999999998, 0.0]",2,[-0.525 -0.35  -0.175],-0.5249999999999999,0.7453402300978947
fingerprint scanner,"[0.18333333333333335, 0.65]",2,[0.3    0.4167 0.5333],0.5333333333333334,0.7775746853923781
first time,"[-0.25, -0.010185185185185195, 0.25]",3,[-0.1301 -0.0102  0.1199],-0.1300925925925926,0.9693241645438324
good battery,"[0.7, 0.9099999999999999]",2,[0.7525 0.805  0.8575],0.8574999999999999,0.8855331467232364
light use,"[0.08824074074074073, 0.4166666666666667]",2,[0.1703 0.2525 0.3346],0.33456018518518515,0.845722411388986
low light,"[0.2, 0.01666666666666668]",2,[0.0625 0.1083 0.1542],0.1541666666666667,0.7748298302733668
low light condition,"[0.04305555555555557, 0.04305555555555557]",2,[0.0431 0.0431 0.0431],0.04305555555555557,0.9879146803151269
low light test,"[0.21666666666666667, 0.21666666666666667]",2,[0.2167 0.2167 0.2167],0.21666666666666667,1.017759589337006
max brightness,"[0.0, 0.37333333333333335, 0.09444444444444443]",3,[0.0472 0.0944 0.2339],0.2338888888888889,0.7790568663772367
mobile data,"[0.4000000000000001, 0.4000000000000001, 0.0]",3,[0.2 0.4 0.4],0.4000000000000001,0.6283375685423909
mobile network,"[0.4000000000000001, 0.3214285714285714]",2,[0.3411 0.3607 0.3804],0.3803571428571429,0.6743357842074725
new reviews,"[0.13636363636363635, 0.13636363636363635]",2,[0.1364 0.1364 0.1364],0.13636363636363635,0.8015549561596025
normal usage,"[0.15, 0.09444444444444443, 0.15]",3,[0.1222 0.15   0.15  ],0.15,1.2229210081044557
other hand,"[-0.4124999999999999, -0.244140625]",2,[-0.3704 -0.3283 -0.2862],-0.37041015624999996,0.7758988478380858
previous post,"[0.3166666666666666, 0.04305555555555557]",2,[0.1115 0.1799 0.2483],0.24826388888888884,0.7213045491165583
skickat från min bla-l29,"[0.5681818181818181, 0.125, 0.0]",3,[0.0625 0.125  0.3466],0.34659090909090906,0.8338067744123265
smart resolution,"[0.20476190476190478, 0.05476190476190476, 0.21428571428571427, 0.26785714285714285]",4,[0.1673 0.2095 0.2277],0.2276785714285714,1.1482580616420306
special access,"[0.35714285714285715, 0.35714285714285715]",2,[0.3571 0.3571 0.3571],0.35714285714285715,0.7279665960815758
sunny day,"[-0.6999999999999998, 0.1]",2,[-0.5 -0.3 -0.1],-0.4999999999999999,0.7430919767313323
thanks,"[0.2, 0.2, -0.1]",3,[0.05 0.2  0.2 ],0.2,0.6496710867101825
time,"[0.0, 0.15, 0.0, 0.125, -0.15, 0.5, 0.0, 0.0]",8,[0.     0.     0.1312],0.13125,1.8347263687994968
use,"[0.1, -0.2]",2,[-0.125 -0.05   0.025],-0.12500000000000003,0.7065725584689245
user experience,"[0.06666666666666667, 0.5]",2,[0.175  0.2833 0.3917],0.39166666666666666,0.767851660293518
wifi,"[0.5, 0.0, 0.0]",3,[0.   0.   0.25],0.25,0.8464964369003187
youtube,"[0.2, 0.0, 0.0, 0.0]",4,[0.   0.   0.05],0.05,1.110024614600992
