,sentiment,occurences,sentimentsSummary,sentimentEdges,score
2 gb,"[0.25, 0.0, 0.3333333333333333]",3,[0.125  0.25   0.2917],0.29166666666666663,0.8575555115685283
battery,"[0.0, 0.31666666666666665]",2,[0.0792 0.1583 0.2375],0.2375,0.6625813755464813
battery life,"[0.05000000000000001, 0.5]",2,[0.1625 0.275  0.3875],0.3875,0.6625813755464813
charging speed,"[0.9, -0.30000000000000004, 0.604]",3,[0.152 0.604 0.752],0.752,0.6895020663987016
few days,"[0.35, -0.2, 0.07222222222222223]",3,[-0.0639  0.0722  0.2111],0.2111111111111111,1.188032457712168
good light,"[0.375, 0.47833333333333333]",2,[0.4008 0.4267 0.4525],0.4525,0.6631051704163434
good pictures,"[0.32499999999999996, 0.44999999999999996]",2,[0.3562 0.3875 0.4188],0.41874999999999996,0.7627503696399438
heavy gaming,"[-0.011111111111111118, -0.2]",2,[-0.1528 -0.1056 -0.0583],-0.1527777777777778,0.702900660314409
heavy user,"[0.175, -0.2]",2,[-0.1063 -0.0125  0.0812],-0.10625000000000002,0.7033507713017434
last year,"[0.0, 0.2333333333333333]",2,[0.0583 0.1167 0.175 ],0.175,0.7522591936145377
low light,"[0.2130952380952381, 0.375, 0.3, 0.32499999999999996]",4,[0.2783 0.3125 0.3375],0.33749999999999997,1.5496596605467337
low lighting pics,"[0.12, -0.071875]",2,[-0.0239  0.0241  0.072 ],0.07203124999999999,1.048170136709863
many apps,"[0.25, 0.175, 0.35]",3,[0.2125 0.25   0.3   ],0.3,1.4253841498817585
other phones,"[-0.5625, -0.125]",2,[-0.4531 -0.3438 -0.2344],-0.453125,0.9184390089617068
outdoor visibility,"[-0.15, 0.7, 0.7]",3,[0.275 0.7   0.7  ],0.7,1.0021777849878486
photo quality,"[-0.5, 0.0, 0.32]",3,[-0.25  0.    0.16],-0.25,0.9751907222890364
previous phones,"[0.10416666666666667, -0.16666666666666666]",2,[-0.099  -0.0312  0.0365],-0.09895833333333333,0.7792119380758614
previous post,"[0.008333333333333338, -0.16666666666666666]",2,[-0.1229 -0.0792 -0.0354],-0.12291666666666666,0.7213045491165583
sot,"[-0.21851851851851853, 0.0, 0.0]",3,[-0.1093  0.      0.    ],-0.10925925925925926,0.7393841993227288
turbo charger,"[0.20625, 0.0, -0.39000000000000007, 0.2, 0.21428571428571427, 0.0, 0.8]",7,[0.     0.2    0.2103],0.21026785714285712,1.3619362239401438
turbo charging,"[0.0, 0.2, 0.26666666666666666]",3,[0.1    0.2    0.2333],0.23333333333333334,0.6895020663987016
usb cable,"[-0.20138888888888892, -0.30000000000000004]",2,[-0.2753 -0.2507 -0.226 ],-0.27534722222222224,0.791909410489365
video recording,"[0.008333333333333338, 0.20555555555555557]",2,[0.0576 0.1069 0.1562],0.15625,0.7102559766665868
web browsing,"[-0.1, 0.0]",2,[-0.075 -0.05  -0.025],-0.07500000000000001,0.775042689368531
