,sentiment,occurences,sentimentsSummary,sentimentEdges,score
25 lol,"[0.8, 0.8]",2,[0.8 0.8 0.8],0.8,0.6359613932313475
battery life,"[0.5, 0.5, 0.8, 0.2]",4,[0.425 0.5   0.575],0.575,1.3251627510929627
body glove,"[0.016666666666666663, 1.0]",2,[0.2625 0.5083 0.7542],0.7541666666666667,0.6781362290150953
case,"[0.14727272727272728, 0.0, 0.14727272727272728, 0.0]",4,[0.     0.0736 0.1473],0.14727272727272728,1.3567051808873725
cell standby,"[0.5, 0.5, 0.5]",3,[0.5 0.5 0.5],0.5,1.3992181534978694
conflicting info,"[0.1, 0.1]",2,[0.1 0.1 0.1],0.1,0.6932003883880601
few months,"[0.14727272727272728, 0.14727272727272728]",2,[0.1473 0.1473 0.1473],0.14727272727272728,0.6624028723664792
few weeks,"[-0.2, -0.2, 0.016666666666666663]",3,[-0.2    -0.2    -0.0917],-0.2,1.209141622777859
finding cases,"[-0.041666666666666664, -0.041666666666666664]",2,[-0.0417 -0.0417 -0.0417],-0.041666666666666664,0.6522259889983576
last years,"[-0.041666666666666664, -0.041666666666666664]",2,[-0.0417 -0.0417 -0.0417],-0.041666666666666664,0.7520382041239815
model year part,"[0.24166666666666667, 0.24166666666666667]",2,[0.2417 0.2417 0.2417],0.24166666666666667,0.8654748467470288
new cases,"[0.14727272727272728, 0.14727272727272728]",2,[0.1473 0.1473 0.1473],0.14727272727272728,0.7484141738953918
official name being,"[-0.041666666666666664, -0.041666666666666664]",2,[-0.0417 -0.0417 -0.0417],-0.041666666666666664,1.023662354603663
official name sequence,"[-0.041666666666666664, -0.041666666666666664]",2,[-0.0417 -0.0417 -0.0417],-0.041666666666666664,0.8415905594411582
other things,"[0.24166666666666667, 0.24166666666666667]",2,[0.2417 0.2417 0.2417],0.24166666666666667,0.8292866856835406
time,"[0.45, 0.5]",2,[0.4625 0.475  0.4875],0.4875,0.6115754562664989
tudia case,"[-0.25, 0.0]",2,[-0.1875 -0.125  -0.0625],-0.1875,0.6783525904436862
