,sentiment,occurences,sentimentsSummary,sentimentEdges,score
5.1.1 leads,"[-0.11896825396825397, -0.11896825396825397, -0.11896825396825397, -0.11896825396825397]",4,[-0.119 -0.119 -0.119],-0.11896825396825397,0.7211954033643877
beta program,"[-0.08333333333333333, 0.15]",2,[-0.025   0.0333  0.0917],0.09166666666666666,0.73705939070075
boot loop,"[-0.11896825396825397, -0.11896825396825397, -0.11896825396825397, -0.11896825396825397]",4,[-0.119 -0.119 -0.119],-0.11896825396825397,0.739112286986464
coming week,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.6254634671325464
connected devices,"[0.5, 0.5]",2,[0.5 0.5 0.5],0.5,0.6522846910238548
daily driver,"[-0.3222222222222222, -0.3222222222222222, -0.3222222222222222, -0.3222222222222222]",4,[-0.3222 -0.3222 -0.3222],-0.3222222222222222,1.5708535184167645
device,"[-0.2, 0.04999999999999999, 0.0]",3,[-0.1    0.     0.025],-0.1,0.7792413242105017
dirty flash,"[-0.6, -0.6, -0.6, -0.6]",4,[-0.6 -0.6 -0.6],-0.6,0.9035358090313924
enabling usb debugging,"[0.5, 0.5]",2,[0.5 0.5 0.5],0.5,0.7860975500611341
facing exact same issue,"[0.125, 0.125]",2,[0.125 0.125 0.125],0.125,1.130146844079388
first time,"[0.25, 0.25, 0.03148148148148147, 0.03148148148148147, 0.03148148148148147, 0.03148148148148147]",6,[0.0315 0.0315 0.1954],0.19537037037037036,1.5808996208103312
full reviews,"[0.35, 0.35]",2,[0.35 0.35 0.35],0.35,0.7327135168970477
good luck,"[0.7, 0.7]",2,[0.7 0.7 0.7],0.7,0.8029797929674225
headunit app,"[0.55, 0.55, 0.55]",3,[0.55 0.55 0.55],0.55,1.1191884393123699
home button did nothing,"[-0.125, -0.125, -0.125, -0.125]",4,[-0.125 -0.125 -0.125],-0.125,2.168862701658439
last apps,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",4,[0.3333 0.3333 0.3333],0.3333333333333333,1.701993758637605
notification area,"[-0.1777777777777778, -0.1777777777777778, -0.1777777777777778, -0.1777777777777778]",4,[-0.1778 -0.1778 -0.1778],-0.1777777777777778,1.5519998116816331
notification panel,"[0.03148148148148147, 0.5, 0.03148148148148147, 0.5, 0.03148148148148147, 0.5, 0.03148148148148147, 0.5]",8,[0.0315 0.2657 0.5   ],0.5,2.4999558981345573
notification tray,"[0.0, -0.15555555555555559]",2,[-0.1167 -0.0778 -0.0389],-0.1166666666666667,0.7789119827407275
ota image,"[0.15833333333333333, 0.15833333333333333]",2,[0.1583 0.1583 0.1583],0.15833333333333333,0.811531762400753
other discoveries,"[-0.125, -0.125, -0.125, -0.125]",4,[-0.125 -0.125 -0.125],-0.125,1.2650076156952041
other option,"[0.15833333333333333, 0.15833333333333333]",2,[0.1583 0.1583 0.1583],0.15833333333333333,0.8845139340830228
other volume channels,"[-0.11896825396825397, -0.11896825396825397, -0.11896825396825397, -0.11896825396825397]",4,[-0.119 -0.119 -0.119],-0.11896825396825397,1.9427773169969471
previous post,"[0.3166666666666667, -0.16666666666666666, -0.16666666666666666]",3,[-0.1667 -0.1667  0.075 ],-0.16666666666666666,1.1432406619493263
profile icons,"[0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857]",4,[0.2857 0.2857 0.2857],0.2857142857142857,1.3455233399466167
reboots,"[-0.08333333333333333, -0.08333333333333333, -0.08333333333333333, -0.08333333333333333]",4,[-0.0833 -0.0833 -0.0833],-0.08333333333333333,0.9505527596015412
right side,"[0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857]",4,[0.2857 0.2857 0.2857],0.2857142857142857,1.5067297441071033
search bar,"[0.3333333333333333, 0.25, 0.3333333333333333, 0.25, 0.3333333333333333, 0.25, 0.3333333333333333, 0.25]",8,[0.25   0.2917 0.3333],0.3333333333333333,1.9005404974412008
settings panel,"[0.0, -0.1777777777777778, 0.0, -0.1777777777777778, 0.0, -0.1777777777777778, 0.0, -0.1777777777777778]",8,[-0.1778 -0.0889  0.    ],-0.1777777777777778,2.3395535446856455
short google play services,"[-0.08333333333333333, -0.08333333333333333, -0.08333333333333333, -0.08333333333333333]",4,[-0.0833 -0.0833 -0.0833],-0.08333333333333333,1.3336970625344173
system partition,"[0.15833333333333333, 0.15833333333333333]",2,[0.1583 0.1583 0.1583],0.15833333333333333,0.7232107843919879
threads,"[0.55, 0.55, 0.55]",3,[0.55 0.55 0.55],0.55,0.7740219990470916
top,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",4,[0.3333 0.3333 0.3333],0.3333333333333333,1.0156815235137255
unboxing videos,"[-0.2, -0.2]",2,[-0.2 -0.2 -0.2],-0.2,0.6704723003532611
unlock screen missing,"[-0.2, -0.2, -0.2, -0.2]",4,[-0.2 -0.2 -0.2],-0.2,1.5577589052422487
volume pane,"[-0.11896825396825397, -0.11896825396825397, -0.11896825396825397, -0.11896825396825397]",4,[-0.119 -0.119 -0.119],-0.11896825396825397,1.2974698781614842
