,sentiment,occurences,sentimentsSummary,sentimentEdges,score
adaptive brightness,"[0.0, 0.24999999999999997, -0.03749999999999999]",3,[-0.0187  0.      0.125 ],0.12499999999999999,1.0425707392665196
android system,"[0.0, 0.125, 0.0, -0.08666666666666667]",4,[-0.0217  0.      0.0312],0.03125,0.9194453552386199
antenna lines,"[0.0625, 0.0625]",2,[0.0625 0.0625 0.0625],0.0625,0.6280911482936464
anything,"[0.2, 0.05, -0.08666666666666667, -0.12500000000000003]",4,[-0.0962 -0.0183  0.0875],-0.09625,1.2727537051925815
apps running,"[0.15, -0.25]",2,[-0.15 -0.05  0.05],-0.15,0.9057355992233422
auto brightness,"[0.0, -0.9099999999999999, 0.7, 1.0, 0.8, 0.1]",6,[0.025 0.4   0.775],0.7750000000000001,1.8861090791295532
auto mode,"[0.0, 0.020476190476190488]",2,[0.0051 0.0102 0.0154],0.015357142857142866,0.652466491372641
battery,"[0.0, 0.0, 0.125, 0.15476190476190477, 0.1]",5,[0.    0.1   0.125],0.125,1.5384663110304893
battery drain,"[0.02500000000000001, 0.0]",2,[0.0063 0.0125 0.0188],0.018750000000000006,0.8881974328730509
battery life,"[0.5, 0.5, 0.55, 0.39999999999999997, 0.2, 0.0]",6,[0.25 0.45 0.5 ],0.5,1.7127480094638958
battery usage,"[0.5, 0.3133333333333333]",2,[0.36   0.4067 0.4533],0.4533333333333333,0.9324721875338766
beautiful screen,"[0.85, 0.3653409090909091, 0.85]",3,[0.6077 0.85   0.85  ],0.85,0.7495795312581454
bit,"[-0.15555555555555559, 0.1375]",2,[-0.0823 -0.009   0.0642],-0.0822916666666667,0.6508794473304713
brightness bar,"[0.0, 0.43333333333333335]",2,[0.1083 0.2167 0.325 ],0.325,0.7365175216239439
build quality,"[0.2619047619047619, -0.4, 0.0]",3,[-0.2    0.     0.131],-0.2,1.2114105772391228
button customization,"[-0.15, 0.5]",2,[0.0125 0.175  0.3375],0.3375,0.8192784988694296
calls,"[0.3, 0.0, 0.0, 0.2]",4,[0.    0.1   0.225],0.22500000000000003,1.0890900257876472
case,"[0.0, -0.4, 0.0]",3,[-0.2  0.   0. ],-0.2,1.0751634181202994
color saturation,"[-0.5, 0.4666666666666666]",2,[-0.2583 -0.0167  0.225 ],-0.25833333333333336,0.6957006434458759
custom roms,"[-0.08214285714285716, 0.1, 0.1]",3,[0.0089 0.1    0.1   ],0.1,1.0101835360408002
customer service,"[0.0, -0.2916666666666667]",2,[-0.2188 -0.1458 -0.0729],-0.21875,0.8058337150350469
dark mode,"[-0.15, 0.056666666666666664, 0.02500000000000001, -0.15]",4,[-0.15   -0.0625  0.0329],-0.15,1.277437985562961
dash charge,"[0.26666666666666666, 0.12916666666666665, 0.8]",3,[0.1979 0.2667 0.5333],0.5333333333333333,0.6679606446580285
dash charger,"[0.3333333333333333, 0.016666666666666663, 0.1]",3,[0.0583 0.1    0.2167],0.21666666666666667,0.7689151900098105
day use,"[0.65, 0.0, 0.08333333333333333, 0.0]",4,[0.     0.0417 0.225 ],0.225,1.976335520027073
device,"[0.6, 0.35714285714285715, 1.0, 0.4]",4,[0.3893 0.5    0.7   ],0.7,0.9832930733136559
direct sunlight,"[0.55, 0.34375000000000006]",2,[0.3953 0.4469 0.4984],0.49843750000000003,0.6429480958764665
display,"[0.0, 0.5, -1.0, 0.0]",4,[-0.25   0.     0.125],-0.25,0.7771129458439365
good job,"[0.85, 0.9099999999999999]",2,[0.865 0.88  0.895],0.8949999999999999,0.7636056932017851
good lighting,"[0.6, 0.25]",2,[0.3375 0.425  0.5125],0.5125,0.7487359990741765
gorilla glass 4,"[-0.09375, 0.3, 0.3]",3,[0.1031 0.3    0.3   ],0.3,1.0921938285264448
hand,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.7]",6,[0.    0.    0.375],0.375,0.810961502599723
heavy usage,"[-0.2, 0.30000000000000004]",2,[-0.075  0.05   0.175],0.17500000000000004,0.8344317699891267
little bit,"[0.15625, -0.09375]",2,[-0.0312  0.0312  0.0938],0.09375,0.8033763362600671
low light,"[0.2, 0.3375, -0.046666666666666634, 0.3]",4,[0.1383 0.25   0.3094],0.30937499999999996,1.5496596605467337
manual mode,"[0.0, 0.0, 0.24444444444444446, 0.0, 0.2]",5,[0.  0.  0.2],0.2,1.4199481340416613
