,sentiment,occurences,sentimentsSummary,sentimentEdges,score
2 days,"[-1.0, 0.0, 0.4]",3,[-0.5  0.   0.2],-0.5,0.9118323394281177
amoled display,"[0.7, 0.2, 0.25]",3,[0.225 0.25  0.475],0.475,0.6158474389937951
android system,"[0.5, 0.2, -0.02596768465909091]",3,[0.087 0.2   0.35 ],0.35,0.7286432047577275
audio output,"[0.6000000000000001, -0.3333333333333333]",2,[-0.1     0.1333  0.3667],0.36666666666666675,0.7648069802507647
battery,"[0.0, 0.5, 0.11666666666666665]",3,[0.0583 0.1167 0.3083],0.30833333333333335,1.0501666339174147
battery drop,"[0.0, -0.1]",2,[-0.075 -0.05  -0.025],-0.07500000000000001,0.8891995559624298
battery life,"[0.2, 0.5750000000000001, -0.10416666666666666, 0.425, 0.6, 1.0, 0.0, -0.25, 0.9, -0.02596768465909091]",10,[-0.0195  0.3125  0.5938],0.59375,2.201047686576971
battery performance,"[0.0, 0.425]",2,[0.1062 0.2125 0.3188],0.31875,0.6625813755464813
build quality,"[0.0, 0.5, 0.3441964285714285]",3,[0.1721 0.3442 0.4221],0.42209821428571426,1.2114105772391228
call quality,"[-0.15555555555555559, 0.7, 0.328125]",3,[0.0863 0.3281 0.5141],0.5140625,1.115706910829959
chinese version,"[0.0125, 0.0125, -0.25]",3,[-0.1188  0.0125  0.0125],-0.11875,1.1505484688575514
dash charge,"[0.5750000000000001, 0.25, 0.8, 0.6000000000000001, 0.0]",5,[0.25  0.575 0.6  ],0.6000000000000001,0.9785446573056883
dash charger,"[0.13874999999999998, 0.9, 0.7000000000000001]",3,[0.4194 0.7    0.8   ],0.8,0.7689151900098105
dash charging,"[0.5, 0.0, 0.6000000000000001]",3,[0.25 0.5  0.55],0.55,0.6895020663987016
day,"[0.0, 0.125, 0.0, 0.0]",4,[0.     0.     0.0312],0.03125,1.207295597716935
device,"[0.2, -0.525, -0.125]",3,[-0.325  -0.125   0.0375],-0.325,0.7792413242105017
few days,"[-0.2, -0.02500000000000001, -0.25]",3,[-0.225  -0.2    -0.1125],-0.225,1.188032457712168
heavy gaming,"[0.07499999999999998, -0.2]",2,[-0.1313 -0.0625  0.0062],-0.13125000000000003,0.702900660314409
light use,"[-0.2, 0.4, 0.1]",3,[-0.05  0.1   0.25],0.25,1.3404383080710138
little bit,"[-0.1875, -0.10178571428571428, -0.040277777777777767]",3,[-0.1446 -0.1018 -0.071 ],-0.14464285714285713,1.2733213669389565
low light,"[0.3, 0.1787878787878788, 0.2, 0.325, 0.2, 0.22999999999999998, 0.2, 0.06666666666666667, 0.2, 0.2, 0.3]",11,[0.2   0.2   0.265],0.265,2.680470813911056
manual mode,"[0.0, 0.3]",2,[0.075 0.15  0.225],0.22499999999999998,0.6115383750117998
many pictures,"[0.1619047619047619, 0.5]",2,[0.2464 0.331  0.4155],0.4154761904761905,0.8204431838990963
night,"[0.15000000000000002, 0.0, 0.0, 0.0]",4,[0.     0.     0.0375],0.037500000000000006,0.6556569464296352
normal usage,"[0.075, 0.11666666666666665]",2,[0.0854 0.0958 0.1062],0.10625,0.7715772502807025
one thing,"[0.625, 0.6, 0.45, 0.024999999999999967, 0.13055555555555556]",5,[0.1306 0.45   0.6   ],0.6,1.113703407139751
other devices,"[-0.012499999999999997, -0.125]",2,[-0.0969 -0.0688 -0.0406],-0.096875,0.8521130375671512
others,"[0.3375, 0.3875]",2,[0.35   0.3625 0.375 ],0.375,0.6220682846843032
outdoor visibility,"[0.9099999999999999, 0.0, 0.22555555555555554]",3,[0.1128 0.2256 0.5678],0.5677777777777777,1.0021777849878486
photo quality,"[0.5, 0.7]",2,[0.55 0.6  0.65],0.6499999999999999,0.6152768420989932
previous device,"[-0.10416666666666666, -0.03333333333333332, -0.16666666666666666, -0.16666666666666666]",4,[-0.1667 -0.1354 -0.0865],-0.16666666666666666,1.4462795908290356
same time,"[-0.09166666666666667, 0.21666666666666667]",2,[-0.0146  0.0625  0.1396],0.13958333333333334,0.950777476180093
scrolling smoothness,"[0.0, 0.6000000000000001, 1.0]",3,[0.3 0.6 0.8],0.8,1.0655167000323147
security patches,"[0.2, -0.39]",2,[-0.2425 -0.095   0.0525],-0.2425,0.8087825796135054
service centre,"[0.03125, 0.1503314393939394, 0.1503314393939394]",3,[0.0908 0.1503 0.1503],0.1503314393939394,1.216521626084328
signal strength,"[0.0, 0.08750000000000001]",2,[0.0219 0.0438 0.0656],0.065625,0.8172359959175246
software updates,"[-0.175, 0.5]",2,[-0.0062  0.1625  0.3312],0.33125,0.9061768475949811
sot,"[0.0, 0.0, -0.25]",3,[-0.125  0.     0.   ],-0.125,0.7393841993227288
srgb mode,"[-0.4, 0.0, 0.6, 0.8, 0.5, 0.0]",6,[0.    0.25  0.575],0.575,1.5963482602576669
stock kernel,"[0.03333333333333333, 0.0]",2,[0.0083 0.0167 0.025 ],0.025,0.7194049218125669
stock oos,"[0.1875, 0.0]",2,[0.0469 0.0938 0.1406],0.140625,0.7182950521492507
stock oxygen,"[-0.3, 0.0]",2,[-0.225 -0.15  -0.075],-0.22499999999999998,0.6923921174125357
volume,"[0.41500000000000004, 0.7, -0.03437500000000002]",3,[0.1903 0.415  0.5575],0.5575,0.7344514047281357
was wondering,"[0.13636363636363635, 0.175]",2,[0.146  0.1557 0.1653],0.16534090909090907,0.8650987377075682
whole time,"[0.2, 0.2]",2,[0.2 0.2 0.2],0.2,0.9173867899129385
