,sentiment,occurences,sentimentsSummary,sentimentEdges,score
1 day,"[1.0, 1.0]",2,[1. 1. 1.],1.0,0.6036477988584675
4 gb,"[0.35, 0.0, 0.1]",3,[0.05  0.1   0.225],0.22499999999999998,0.8575555115685283
accurate colors,"[0.3111111111111111, 0.4000000000000001]",2,[0.3333 0.3556 0.3778],0.3777777777777778,0.7738828820902296
aftermarket 15w charger,"[0.26, -0.16666666666666666]",2,[-0.06    0.0467  0.1533],0.15333333333333335,0.7038029686785015
anything,"[-0.2916666666666667, 0.17500000000000002]",2,[-0.175  -0.0583  0.0583],-0.175,0.6363768525962907
audio quality,"[0.25, -0.6999999999999998, -1.0, 5.551115123125783e-17]",4,[-0.775  -0.35    0.0625],-0.7749999999999999,1.3026440363183591
awesome battery life,"[1.0, 0.7666666666666666]",2,[0.825  0.8833 0.9417],0.9416666666666667,0.9268689815328116
battery,"[0.23999999999999994, 0.5]",2,[0.305 0.37  0.435],0.435,0.6625813755464813
battery life,"[0.5, 1.0, 0.0, 1.0, 0.6, 0.2916666666666667, 0.0, 0.0, 0.27, 0.8, 0.2380952380952381, -0.3, 1.0, 1.0, 0.4666666666666666, 0.3333333333333333]",16,[0.1786 0.4    0.85  ],0.8500000000000001,2.6503255021859253
big difference,"[0.0, -0.15]",2,[-0.1125 -0.075  -0.0375],-0.11249999999999999,0.8164720362680556
bit,"[0.07222222222222223, 0.0]",2,[0.0181 0.0361 0.0542],0.05416666666666667,0.6508794473304713
blue tint,"[0.1, 0.2916666666666667, -0.010000000000000009, 0.16666666666666666]",4,[0.0725 0.1333 0.1979],0.19791666666666669,1.535881833028341
bluish tint,"[0.0, 0.2]",2,[0.05 0.1  0.15],0.15000000000000002,0.6863212335550409
call quality,"[0.0, 0.10714285714285714, -0.6, -0.3, 0.5, 0.0]",6,[-0.225   0.      0.0804],-0.22499999999999998,1.8196395971378772
car,"[0.2, 0.0, 0.0]",3,[0.  0.  0.1],0.1,0.9926461636082761
charger,"[0.2, -0.05000000000000002, 0.0, 0.0, -0.4]",5,[-0.05  0.    0.  ],-0.05000000000000002,1.1264403930421658
charging speed,"[0.30833333333333335, 0.18333333333333332, 0.0, 0.0]",4,[0.     0.0917 0.2146],0.21458333333333332,0.8700547376798868
color saturation,"[0.35166666666666674, 0.0, 0.0]",3,[0.     0.     0.1758],0.17583333333333337,1.102659431589293
day,"[0.125, 0.0, 0.0, 0.21666666666666667]",4,[0.     0.0625 0.1479],0.14791666666666667,1.207295597716935
deal breaker,"[0.0, 0.4666666666666666]",2,[0.1167 0.2333 0.35  ],0.35,0.6570090840347022
default mode,"[0.45000000000000007, 0.25]",2,[0.3  0.35 0.4 ],0.4,0.6581788057133657
device,"[0.0, 0.6, 0.2, 0.06666666666666667, 0.0, 0.2, -0.07142857142857142, 0.0]",8,[0.     0.0333 0.2   ],0.2,1.474939609970484
did anyone,"[0.0, 0.3333333333333333]",2,[0.0833 0.1667 0.25  ],0.25,0.6121411592414687
display,"[-0.25, -0.15555555555555559, 0.0]",3,[-0.2028 -0.1556 -0.0778],-0.20277777777777778,0.6158474389937951
email,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.6185925980006594
fast charging,"[-0.03333333333333333, 0.037500000000000006]",2,[-0.0156  0.0021  0.0198],0.019791666666666673,0.7746580018020589
few pictures,"[-0.19375, -0.1]",2,[-0.1703 -0.1469 -0.1234],-0.1703125,0.6817836313883089
fingerprint scanner,"[0.4, 0.0]",2,[0.1 0.2 0.3],0.30000000000000004,0.7775746853923781
good news,"[0.35, 0.7]",2,[0.4375 0.525  0.6125],0.6124999999999999,0.7347216498752924
great battery life,"[0.6, 0.15000000000000005, 0.15000000000000005, 0.3, 0.21000000000000002]",5,[0.15 0.21 0.3 ],0.3,2.0724487620877947
heavy user,"[0.1, 0.30000000000000004]",2,[0.15 0.2  0.25],0.25000000000000006,0.7033507713017434
high accuracy,"[0.16, 0.16, 0.18]",3,[0.16 0.16 0.17],0.16999999999999998,1.0460876378705473
light usage,"[0.4, 0.4, 0.21666666666666667]",3,[0.3083 0.4    0.4   ],0.4,1.1522786777703462
long time,"[-0.0033333333333333353, -0.05, -0.05]",3,[-0.05   -0.05   -0.0267],-0.05,1.3899401380590382
low light,"[0.2, 0.3]",2,[0.225 0.25  0.275],0.27499999999999997,0.7748298302733668
multitask button,"[-0.4, -0.2]",2,[-0.35 -0.3  -0.25],-0.35000000000000003,0.7912135091578518
next level,"[0.25, 0.25]",2,[0.25 0.25 0.25],0.25,0.8027742365948712
other adapter,"[-0.125, 0.15023809523809523]",2,[-0.0562  0.0126  0.0814],0.08142857142857142,0.8210630393922901
other phones,"[-0.0625, 0.025000000000000005]",2,[-0.0406 -0.0187  0.0031],-0.040625,0.9184390089617068
other way,"[-0.14583333333333331, -0.09722222222222221]",2,[-0.1337 -0.1215 -0.1094],-0.13368055555555552,0.7974176335415595
