,sentiment,occurences,sentimentsSummary,sentimentEdges,score
5 ghz band,"[0.0, 0.5]",2,[0.125 0.25  0.375],0.375,0.6597426803238706
auto focus,"[0.6, 0.7]",2,[0.625 0.65  0.675],0.6749999999999999,0.7709317123592522
battery health,"[0.5, 0.11111111111111112]",2,[0.2083 0.3056 0.4028],0.4027777777777778,0.8686218368983052
battery life,"[0.0, 0.0, 0.5, 0.4, 1.0, 0.15666666666666668, 0.15666666666666668]",7,[0.0783 0.1567 0.45  ],0.45,1.860101085904112
bottom speaker,"[0.0, -0.15000000000000002]",2,[-0.1125 -0.075  -0.0375],-0.11250000000000002,0.7949849727916416
color accuracy,"[0.0, 0.08333333333333333]",2,[0.0208 0.0417 0.0625],0.0625,0.6901533059414747
color calibration,"[-0.5, -1.0]",2,[-0.875 -0.75  -0.625],-0.875,0.6469766486751165
color temperature,"[0.06111111111111111, 0.12878787878787878]",2,[0.078  0.0949 0.1119],0.11186868686868687,0.7963016952692233
exchange unit,"[-0.04999999999999999, -0.04999999999999999]",2,[-0.05 -0.05 -0.05],-0.04999999999999999,0.6766713449853415
fast charging,"[0.016666666666666677, 0.2]",2,[0.0625 0.1083 0.1542],0.1541666666666667,0.7746580018020589
few apps,"[-0.26, 0.1375]",2,[-0.1606 -0.0612  0.0381],-0.16062500000000002,0.776974131162082
hand,"[0.26666666666666666, 0.8, 0.8, 0.0, 0.0, 0.7]",6,[0.0667 0.4833 0.775 ],0.7750000000000001,0.810961502599723
long time,"[0.205, -0.05]",2,[0.0137 0.0775 0.1412],0.14125,0.8769545887846665
modern standard,"[0.1, 0.2333333333333333]",2,[0.1333 0.1667 0.2   ],0.19999999999999998,0.6189555637758906
only thing,"[0.16666666666666666, 0.0]",2,[0.0417 0.0833 0.125 ],0.125,0.8708685799884505
other apps,"[0.008333333333333378, 0.2375]",2,[0.0656 0.1229 0.1802],0.18020833333333333,0.9438530778041819
other end,"[-0.125, 0.14583333333333334]",2,[-0.0573  0.0104  0.0781],0.078125,0.7883465728206704
other things,"[0.08035714285714285, 0.037500000000000006]",2,[0.0482 0.0589 0.0696],0.06964285714285715,0.8292866856835406
photo quality,"[0.0, 0.525]",2,[0.1312 0.2625 0.3938],0.39375000000000004,0.6152768420989932
portrait mode,"[0.35, 0.0]",2,[0.0875 0.175  0.2625],0.26249999999999996,0.6467577171418235
router,"[0.0, 0.05, 0.0]",3,[0.    0.    0.025],0.025,0.812355414432095
speakers,"[0.0, 1.0, 0.0]",3,[0.  0.  0.5],0.5,0.702697220782978
time,"[1.0, 0.0, -0.05]",3,[-0.025  0.     0.5  ],0.5,0.9693241645438324
top notch,"[0.5, 0.5]",2,[0.5 0.5 0.5],0.5,0.7838901837215428
